"accession_ID"	"Sample"	"dataset"	"Developmental_ssGSEA"	"Injury_ssGSEA"	"Classical_ssGSEA"	"Mesenchymal_ssGSEA"	"Proneural_ssGSEA"	"Developmental_pval_ssGSEA"	"Injury_pval_ssGSEA"	"Classical_pval_ssGSEA"	"Mesenchymal_pval_ssGSEA"	"Proneural_pval_ssGSEA"	"Wang_2017"	"Richards_2021"
"GSM1194851"	"GSC2"	"GSE49161"	-453.417221469073	1462.12276306833	-327.037272669136	2034.0290918562	-164.562506981125	1	0.000999000999000999	0.989010989010989	0.000999000999000999	0.903096903096903	"MES"	"INJ"
"GSM1194852"	"GSC11"	"GSE49161"	1787.99336905629	-789.525213508867	2180.63975015939	-1763.9165548542	-104.983407429061	0.000999000999000999	1	0.001998001998002	1	0.873126873126873	"CL"	"DEV"
"GSM1194853"	"GSC17"	"GSE49161"	-486.50973982336	1310.56245041959	165.162777063983	934.168563361012	318.325410186418	1	0.000999000999000999	0.884115884115884	0.0859140859140859	0.542457542457542	"MES"	"INJ"
"GSM1194854"	"GSC20"	"GSE49161"	-1152.59012000532	2304.61119763736	-507.264043698194	3148.90889661537	-248.344328524022	1	0.000999000999000999	0.998001998001998	0.000999000999000999	0.931068931068931	"MES"	"INJ"
"GSM1194855"	"GSC23"	"GSE49161"	1396.88908993221	-776.386888388758	1889.03177680038	-2282.34487820605	178.100531888826	0.000999000999000999	1	0.001998001998002	1	0.682317682317682	"CL"	"DEV"
"GSM1194856"	"GSC7-2"	"GSE49161"	742.443408352854	-355.359819273452	657.206467560571	-1639.9641558042	350.406276017247	0.020979020979021	1	0.516483516483517	1	0.508491508491508	"PN"	"DEV"
"GSM1194857"	"GSC6-27"	"GSE49161"	881.755375097402	131.95615361956	375.678779067664	-299.66060013177	-638.394475251858	0.000999000999000999	1	0.755244755244755	0.942057942057942	0.986013986013986	"CL"	"DEV"
"GSM1194858"	"GSC13"	"GSE49161"	1814.54241575141	-767.575699959499	2479.32389428818	-1198.91167893121	326.064312817847	0.000999000999000999	1	0.000999000999000999	1	0.534465534465534	"CL"	"DEV"
"GSM1194859"	"GSC16"	"GSE49161"	1712.27777307132	-779.162843641498	991.590957985256	-721.612617841601	1259.92708877132	0.000999000999000999	1	0.232767232767233	0.992007992007992	0.018981018981019	"PN"	"DEV"
"GSM1194860"	"GSC30"	"GSE49161"	1101.6362198731	22.8137909130483	2172.47314603195	-164.12247787171	-166.392101276745	0.000999000999000999	1	0.001998001998002	0.897102897102897	0.903096903096903	"CL"	"DEV"
"GSM1194861"	"GSC42"	"GSE49161"	-350.419431275456	1165.50554480985	1206.56784306957	853.363293112548	-1316.16188101926	1	0.000999000999000999	0.0929070929070929	0.124875124875125	1	"CL"	"INJ"
"GSM1194862"	"GSC28"	"GSE49161"	-1968.4351374986	2624.90192382965	-927.898048274396	3076.0150126322	-1086.40080442676	1	0.000999000999000999	1	0.000999000999000999	0.999000999000999	"MES"	"INJ"
"GSM1194863"	"GSC34"	"GSE49161"	1899.58512424889	-762.524779882909	2026.26326845117	-1094.14140704079	1320.04038968112	0.000999000999000999	1	0.001998001998002	1	0.015984015984016	"CL"	"DEV"
"GSM1194864"	"GSC37"	"GSE49161"	549.912716582254	958.80670315213	242.058203837628	1090.39785107101	1216.75145707693	0.732267732267732	0.000999000999000999	0.839160839160839	0.035964035964036	0.022977022977023	"PN"	"INJ"
"GSM1194865"	"GSC38"	"GSE49161"	1465.5473740295	-373.994289428186	-145.334925845594	-707.647369536212	2892.49711493562	0.000999000999000999	1	0.975024975024975	0.991008991008991	0.000999000999000999	"PN"	"DEV"
"GSM1194866"	"GSC35"	"GSE49161"	1385.64204898004	-649.698133668718	91.0218266055296	-1651.55885543147	743.22832548735	0.000999000999000999	1	0.916083916083916	1	0.200799200799201	"PN"	"DEV"
"GSM1194867"	"GSC46"	"GSE49161"	684.942410845099	339.400607615829	-732.358524290003	494.520965521856	1744.98265107225	0.101898101898102	0.986013986013986	1	0.388611388611389	0.002997002997003	"PN"	"DEV"
"GSM1638621"	"1123_Rep_1"	"GSE67089"	-1220.05876061138	1572.84999824038	-2135.00872977903	923.906802060718	-688.808876146735	1	0.000999000999000999	1	0.0909090909090909	0.988011988011988	"MES"	"INJ"
"GSM1638622"	"1123_Rep_2"	"GSE67089"	-1031.30360803961	1535.20197324181	-1964.12454798812	1281.6679704698	-915.196595608217	1	0.000999000999000999	1	0.011988011988012	0.998001998001998	"MES"	"INJ"
"GSM1638623"	"1123_Rep_3"	"GSE67089"	-637.208363500049	1087.09453864991	-2660.21380651525	486.12928938432	-277.369572924119	1	0.000999000999000999	1	0.394605394605395	0.936063936063936	"MES"	"INJ"
"GSM1638624"	"157_Rep_1"	"GSE67089"	1652.17233091975	-643.144715836113	2550.15498734989	-816.706649396295	374.347720202194	0.000999000999000999	1	0.000999000999000999	0.996003996003996	0.487512487512487	"CL"	"DEV"
"GSM1638625"	"157_Rep_2"	"GSE67089"	1597.90270557402	-484.769523060885	2313.15336318191	-389.699311514855	363.343945213686	0.000999000999000999	1	0.000999000999000999	0.965034965034965	0.495504495504495	"CL"	"DEV"
"GSM1638626"	"157_Rep_3"	"GSE67089"	1439.94497130154	-596.248477289396	1403.60314189073	-1092.15703874175	372.896811308438	0.000999000999000999	1	0.034965034965035	1	0.488511488511489	"CL"	"DEV"
"GSM1638630"	"528_Rep_1"	"GSE67089"	630.704030242443	167.196233777219	-1075.11991339634	95.3791884029771	2094.00947959832	0.317682317682318	1	1	0.738261738261738	0.000999000999000999	"PN"	"DEV"
"GSM1638631"	"528_Rep_2"	"GSE67089"	115.670819508519	322.555195387148	-2307.14902972123	-648.443937556944	1345.02079865458	1	0.993006993006993	1	0.989010989010989	0.014985014985015	"PN"	"INJ"
"GSM1638632"	"528_Rep_3"	"GSE67089"	411.623169656446	409.323801020074	-1271.27748105386	674.464134337196	2034.5358393876	0.997002997002997	0.843156843156843	1	0.235764235764236	0.000999000999000999	"PN"	"INJ"
"GSM1638633"	"816_Rep_1"	"GSE67089"	1575.52724902711	-93.5378322284098	3290.9316208879	-61.0084609125917	-19.9741987485211	0.000999000999000999	1	0.000999000999000999	0.846153846153846	0.818181818181818	"CL"	"DEV"
"GSM1638634"	"816_Rep_2"	"GSE67089"	1731.69447647601	-236.993804954266	3310.53284637159	-325.536636308281	279.897710327929	0.000999000999000999	1	0.000999000999000999	0.947052947052947	0.575424575424575	"CL"	"DEV"
