"zmean_diff"	"TFs"	"p_value"	"p_value_adjusted"	"TFs1"
"MA0025.1_NFIL3"	6.66608627900947	"NFIL3"	7.53182715631543e-05	0.00241498323203126	"NFIL3"
"MA0030.1_FOXF2"	4.73993024106994	"FOXF2"	0.0236541140155383	0.0803884175565662	"FOXF2"
"MA0031.1_FOXD1"	0.710232889516547	"FOXD1"	0.370063352824038	0.532702660753073	"FOXD1"
"MA0051.1_IRF2"	-0.472055139009342	"IRF2"	0.688600645948664	0.808435044074795	"IRF2"
"MA0056.1_MZF1"	-2.22090898298461	"MZF1"	0.00975919053851646	0.0450564953056427	"MZF1"
"MA0057.1_MZF1(var.2)"	18.4152031037133	"MZF1(var.2)"	2.1739643119823e-05	0.000927366239004732	"MZF1(var.2)"
"MA0059.1_MAX::MYC"	-0.509961386187866	"MAX::MYC"	0.307410869381038	0.469072954690927	"MAX::MYC"
"MA0066.1_PPARG"	-0.643897140248638	"PPARG"	0.509916347883113	0.667231455786201	"PPARG"
"MA0069.1_Pax6"	0.665747765051981	"Pax6"	0.621587674981153	0.757298191621243	"Pax6"
"MA0070.1_PBX1"	-2.38006030056709	"PBX1"	0.013449720314159	0.0557731521284391	"PBX1"
"MA0071.1_RORA"	-4.17049047393733	"RORA"	0.00929524633236751	0.0437651181482303	"RORA"
"MA0072.1_RORA(var.2)"	3.26233383290042	"RORA(var.2)"	0.00203228216208574	0.0187467660665868	"RORA(var.2)"
"MA0073.1_RREB1"	13.2042806075669	"RREB1"	0.00603139983963098	0.0354051003573143	"RREB1"
"MA0074.1_RXRA::VDR"	-2.99233677193657	"RXRA::VDR"	0.0132403257631507	0.0554132152309641	"RXRA::VDR"
"MA0077.1_SOX9"	3.01628748952456	"SOX9"	0.00616629465206937	0.0357328869581456	"SOX9"
"MA0081.1_SPIB"	-3.38854624369219	"SPIB"	0.159502209776023	0.314825322352674	"SPIB"
"MA0084.1_SRY"	5.62694021033046	"SRY"	0.00214658390963574	0.0194051185431071	"SRY"
"MA0091.1_TAL1::TCF3"	0.106398894889461	"TAL1::TCF3"	0.934101627292664	0.961762951107709	"TAL1::TCF3"
"MA0101.1_REL"	4.50630578409519	"REL"	0.000275145359247237	0.00518190426582296	"REL"
"MA0107.1_RELA"	2.14298705559724	"RELA"	0.00838323169824947	0.0425755137933569	"RELA"
"MA0115.1_NR1H2::RXRA"	-1.56925040353704	"NR1H2::RXRA"	0.331802708189161	0.49496641617657	"NR1H2::RXRA"
"MA0119.1_NFIC::TLX1"	1.64802357019228	"NFIC::TLX1"	0.171849824525734	0.327747344665114	"NFIC::TLX1"
"MA0130.1_ZNF354C"	0.433286803473606	"ZNF354C"	0.590186671405719	0.734888086709049	"ZNF354C"
"MA0139.1_CTCF"	-0.893816368865791	"CTCF"	0.757541035266448	0.862532463593721	"CTCF"
"MA0149.1_EWSR1-FLI1"	6.87064514691815	"EWSR1-FLI1"	0.00372693627720203	0.0276159868409069	"EWSR1-FLI1"
"MA0138.2_REST"	-0.776594783054406	"REST"	0.63760358561905	0.770579734491472	"REST"
"MA0152.1_NFATC2"	3.96723072313505	"NFATC2"	0.0323099992832184	0.104315140542962	"NFATC2"
"MA0155.1_INSM1"	0.548798228040912	"INSM1"	0.807658308250325	0.890394037388163	"INSM1"
"MA0158.1_HOXA5"	6.03448364543777	"HOXA5"	0.00142424468952108	0.0141978081580432	"HOXA5"
"MA0159.1_RARA::RXRA"	-2.51734799384435	"RARA::RXRA"	0.0142136651458791	0.0578152166264001	"RARA::RXRA"
"MA0160.1_NR4A2"	-2.56493384975754	"NR4A2"	0.00650171811301942	0.0364897930237314	"NR4A2"
"MA0163.1_PLAG1"	1.66412838455646	"PLAG1"	0.463169478562354	0.623073227113643	"PLAG1"
"MA0259.1_ARNT::HIF1A"	2.32611523879494	"ARNT::HIF1A"	0.155387683314637	0.310278851332939	"ARNT::HIF1A"
"MA0462.1_BATF::JUN"	-6.93303333173613	"BATF::JUN"	4.73858029455206e-05	0.00178486524428128	"BATF::JUN"
"MA0465.1_CDX2"	-1.03146040978773	"CDX2"	0.167346231520782	0.320510579014379	"CDX2"
"MA0468.1_DUX4"	0.285287110170133	"DUX4"	0.957499425915162	0.970984973522377	"DUX4"
"MA0470.1_E2F4"	4.81594726121861	"E2F4"	0.0169526526452123	0.0638549916302998	"E2F4"
