Sample	day	value
sgCtrl	d1	0.079
sgCtrl	d1	0.075
sgCtrl	d1	0.077
sgCtrl	d1	0.074
sgCtrl	d1	0.075
sgCtrl	d1	0.079
sgCtrl	d1	0.07
sgCtrl	d1	0.073
sgCtrl	d1	0.076
sgCtrl	d1	0.076
sgCtrl	d3	0.202
sgCtrl	d3	0.181
sgCtrl	d3	0.17
sgCtrl	d3	0.185
sgCtrl	d3	0.166
sgCtrl	d3	0.174
sgCtrl	d3	0.155
sgCtrl	d3	0.18
sgCtrl	d3	0.175
sgCtrl	d3	0.171
sgCtrl	d5	1.143
sgCtrl	d5	1.126
sgCtrl	d5	1.12
sgCtrl	d5	1.065
sgCtrl	d5	1.253
sgCtrl	d5	1.108
sgCtrl	d5	1.021
sgCtrl	d5	1.078
sgCtrl	d5	1.047
sgCtrl	d5	1.146
sgCtrl	d7	1.694
sgCtrl	d7	1.952
sgCtrl	d7	1.843
sgCtrl	d7	1.999
sgCtrl	d7	1.819
sgCtrl	d7	1.935
sgCtrl	d7	1.843
sgCtrl	d7	1.831
sgCtrl	d7	1.711
sgCtrl	d7	1.741
sgFosl1_1	d1	0.109
sgFosl1_1	d1	0.106
sgFosl1_1	d1	0.105
sgFosl1_1	d1	0.106
sgFosl1_1	d1	0.104
sgFosl1_1	d1	0.105
sgFosl1_1	d1	0.103
sgFosl1_1	d1	0.107
sgFosl1_1	d1	0.104
sgFosl1_1	d1	0.11
sgFosl1_1	d3	0.281
sgFosl1_1	d3	0.256
sgFosl1_1	d3	0.243
sgFosl1_1	d3	0.259
sgFosl1_1	d3	0.259
sgFosl1_1	d3	0.267
sgFosl1_1	d3	0.256
sgFosl1_1	d3	0.268
sgFosl1_1	d3	0.275
sgFosl1_1	d3	0.254
sgFosl1_1	d5	1.2
sgFosl1_1	d5	1.205
sgFosl1_1	d5	1.214
sgFosl1_1	d5	1.193
sgFosl1_1	d5	1.306
sgFosl1_1	d5	1.081
sgFosl1_1	d5	1.198
sgFosl1_1	d5	1.246
sgFosl1_1	d5	1.205
sgFosl1_1	d5	1.235
sgFosl1_1	d7	1.994
sgFosl1_1	d7	1.899
sgFosl1_1	d7	1.92
sgFosl1_1	d7	1.854
sgFosl1_1	d7	2.069
sgFosl1_1	d7	1.942
sgFosl1_1	d7	2.086
sgFosl1_1	d7	1.934
sgFosl1_1	d7	2.045
sgFosl1_1	d7	1.844
sgFosl1_3	d1	0.113
sgFosl1_3	d1	0.109
sgFosl1_3	d1	0.125
sgFosl1_3	d1	0.117
sgFosl1_3	d1	0.112
sgFosl1_3	d1	0.129
sgFosl1_3	d1	0.114
sgFosl1_3	d1	0.113
sgFosl1_3	d1	0.117
sgFosl1_3	d1	0.117
sgFosl1_3	d3	0.347
sgFosl1_3	d3	0.327
sgFosl1_3	d3	0.342
sgFosl1_3	d3	0.343
sgFosl1_3	d3	0.34
sgFosl1_3	d3	0.351
sgFosl1_3	d3	0.326
sgFosl1_3	d3	0.332
sgFosl1_3	d3	0.339
sgFosl1_3	d3	0.336
sgFosl1_3	d5	1.47
sgFosl1_3	d5	1.591
sgFosl1_3	d5	1.482
sgFosl1_3	d5	1.701
sgFosl1_3	d5	1.726
sgFosl1_3	d5	1.593
sgFosl1_3	d5	1.71
sgFosl1_3	d5	1.617
sgFosl1_3	d5	1.586
sgFosl1_3	d5	1.58
sgFosl1_3	d7	2.092
sgFosl1_3	d7	2.144
sgFosl1_3	d7	1.878
sgFosl1_3	d7	2.078
sgFosl1_3	d7	2.105
sgFosl1_3	d7	2.104
sgFosl1_3	d7	2.239
sgFosl1_3	d7	2.251
sgFosl1_3	d7	2.062
sgFosl1_3	d7	2.335
