sgRNA	Marker	norm_value
sgCtrl	GFAP	1.901623134
sgCtrl	GFAP	0.189114325
sgCtrl	GFAP	1.145980338
sgCtrl	GFAP	0.486960048
sgCtrl	GFAP	0.098183846
sgCtrl	GFAP	0.964997155
sgCtrl	GFAP	0.057299761
sgCtrl	GFAP	0.160225334
sgCtrl	GFAP	0.072997262
sgCtrl	GFAP	0.029127521
sgCtrl	GFAP	0.011830057
sgCtrl	GFAP	0.413871437
sgCtrl	GFAP	0.276721702
sgCtrl	GFAP	1.604209702
sgCtrl	GFAP	4.421706724
sgCtrl	GFAP	0.235572757
sgCtrl	GFAP	0.013326249
sgCtrl	GFAP	0.01719227
sgCtrl	GFAP	1.056908793
sgCtrl	GFAP	0.165179388
sgCtrl	GFAP	0.153897359
sgCtrl	GFAP	0.070327898
sgCtrl	GFAP	0.156730725
sgCtrl	GFAP	0.623949146
sgCtrl	GFAP	0.015189066
sgCtrl	GFAP	0.871871199
sgCtrl	GFAP	0.071354342
sgCtrl	GFAP	0.295978765
sgCtrl	GFAP	0.048456007
sgCtrl	GFAP	0.046765796
sgCtrl	GFAP	0.480471178
sgCtrl	GFAP	0.156367141
sgCtrl	GFAP	1.787601465
sgCtrl	GFAP	2.346140474
sgCtrl	GFAP	13.81208661
sgCtrl	GFAP	1.739785029
sgFosl1_1	GFAP	9.434700224
sgFosl1_1	GFAP	7.493926497
sgFosl1_1	GFAP	12.65264914
sgFosl1_1	GFAP	13.89730235
sgFosl1_1	GFAP	12.68166468
sgFosl1_1	GFAP	3.709124662
sgFosl1_1	GFAP	5.167235164
sgFosl1_1	GFAP	6.500896518
sgFosl1_1	GFAP	12.62077411
sgFosl1_1	GFAP	14.13871031
sgFosl1_1	GFAP	13.71061311
sgFosl1_1	GFAP	8.20509498
sgFosl1_1	GFAP	22.31586368
sgFosl1_1	GFAP	20.04958547
sgFosl1_1	GFAP	10.92437782
sgFosl1_1	GFAP	8.778496284
sgFosl1_1	GFAP	5.15082861
sgFosl1_1	GFAP	5.624870631
sgFosl1_1	GFAP	4.241111062
sgFosl1_1	GFAP	3.936084367
sgFosl1_1	GFAP	6.789117493
sgFosl1_1	GFAP	7.27839639
sgFosl1_1	GFAP	18.1384807
sgFosl1_1	GFAP	20.04603374
sgFosl1_1	GFAP	29.61326735
sgFosl1_1	GFAP	21.51073274
sgFosl1_1	GFAP	12.42806179
sgFosl1_1	GFAP	7.227798732
sgFosl1_1	GFAP	2.118163124
sgFosl1_1	GFAP	15.73713954
sgFosl1_1	GFAP	8.111824755
sgFosl1_1	GFAP	4.470785352
sgFosl1_1	GFAP	10.3416993
sgFosl1_1	GFAP	15.31591938
sgFosl1_1	GFAP	19.42086381
sgFosl1_1	GFAP	15.8195346
sgFosl1_3	GFAP	29.96306466
sgFosl1_3	GFAP	25.31367624
sgFosl1_3	GFAP	36.00866636
sgFosl1_3	GFAP	26.82836477
sgFosl1_3	GFAP	31.40163351
sgFosl1_3	GFAP	40.60603384
sgFosl1_3	GFAP	35.06597526
sgFosl1_3	GFAP	35.12566251
sgFosl1_3	GFAP	32.89950143
sgFosl1_3	GFAP	37.13391919
sgFosl1_3	GFAP	38.45687229
sgFosl1_3	GFAP	44.78867003
sgFosl1_3	GFAP	38.43124029
sgFosl1_3	GFAP	30.34856692
sgFosl1_3	GFAP	44.3413003
sgFosl1_3	GFAP	37.64769147
sgFosl1_3	GFAP	42.58773338
sgFosl1_3	GFAP	37.28738129
sgFosl1_3	GFAP	47.52953499
sgFosl1_3	GFAP	47.28250507
sgFosl1_3	GFAP	46.05667153
sgFosl1_3	GFAP	37.50670897
sgFosl1_3	GFAP	45.14045346
sgFosl1_3	GFAP	38.78969374
sgFosl1_3	GFAP	54.05680103
sgFosl1_3	GFAP	39.58920918
sgFosl1_3	GFAP	43.62526678
sgFosl1_3	GFAP	46.2968244
sgFosl1_3	GFAP	48.89453312
sgFosl1_3	GFAP	29.96098149
sgFosl1_3	GFAP	35.21516104
sgFosl1_3	GFAP	41.07374355
sgFosl1_3	GFAP	47.56771128
sgFosl1_3	GFAP	45.20138932
sgFosl1_3	GFAP	58.95516667
sgFosl1_3	GFAP	45.29279634
sgCtrl	CD44	0.580048805
sgCtrl	CD44	1.03723431
sgCtrl	CD44	1.046765018
sgCtrl	CD44	0.992132665
sgCtrl	CD44	1.112592939
sgCtrl	CD44	1.040163269
sgCtrl	CD44	0.885607869
sgCtrl	CD44	0.992349014
sgCtrl	CD44	0.975423277
sgCtrl	CD44	1.002018288
sgCtrl	CD44	1.056547103
sgCtrl	CD44	0.889248721
sgCtrl	CD44	1.128689852
sgCtrl	CD44	1.03368721
sgCtrl	CD44	0.901121669
sgCtrl	CD44	1.082447221
sgCtrl	CD44	0.832733612
sgCtrl	CD44	1.029687836
sgCtrl	CD44	0.899867357
sgCtrl	CD44	1.069859805
sgCtrl	CD44	1.164448293
sgCtrl	CD44	1.164460656
sgCtrl	CD44	1.188493988
sgCtrl	CD44	0.999699744
sgCtrl	CD44	0.817882254
sgCtrl	CD44	0.588098034
sgCtrl	CD44	0.928774217
sgCtrl	CD44	0.917485413
