Sample	Treatment	day	value
shGFP	-Dox	d1	0.131
shGFP	-Dox	d1	0.141
shGFP	-Dox	d1	0.154
shGFP	-Dox	d1	0.163
shGFP	-Dox	d1	0.154
shGFP	-Dox	d1	0.148
shGFP	-Dox	d1	0.148
shGFP	-Dox	d1	0.149
shGFP	-Dox	d1	0.156
shGFP	-Dox	d1	0.153
shGFP	-Dox	d1	0.162
shGFP	-Dox	d1	0.162
shGFP	-Dox	d1	0.151
shGFP	-Dox	d1	0.146
shGFP	-Dox	d1	0.156
shGFP	+Dox	d1	0.151
shGFP	+Dox	d1	0.146
shGFP	+Dox	d1	0.145
shGFP	+Dox	d1	0.15
shGFP	+Dox	d1	0.166
shGFP	+Dox	d1	0.15
shGFP	+Dox	d1	0.16
shGFP	+Dox	d1	0.15
shGFP	+Dox	d1	0.144
shGFP	+Dox	d1	0.151
shGFP	+Dox	d1	0.153
shGFP	+Dox	d1	0.145
shGFP	+Dox	d1	0.141
shGFP	+Dox	d1	0.15
shGFP	+Dox	d1	0.144
shFOSL1_3	-Dox	d1	0.127
shFOSL1_3	-Dox	d1	0.129
shFOSL1_3	-Dox	d1	0.127
shFOSL1_3	-Dox	d1	0.126
shFOSL1_3	-Dox	d1	0.12
shFOSL1_3	-Dox	d1	0.116
shFOSL1_3	-Dox	d1	0.124
shFOSL1_3	-Dox	d1	0.124
shFOSL1_3	-Dox	d1	0.123
shFOSL1_3	-Dox	d1	0.117
shFOSL1_3	-Dox	d1	0.13
shFOSL1_3	-Dox	d1	0.124
shFOSL1_3	-Dox	d1	0.128
shFOSL1_3	-Dox	d1	0.125
shFOSL1_3	-Dox	d1	0.121
shFOSL1_3	+Dox	d1	0.147
shFOSL1_3	+Dox	d1	0.147
shFOSL1_3	+Dox	d1	0.146
shFOSL1_3	+Dox	d1	0.152
shFOSL1_3	+Dox	d1	0.162
shFOSL1_3	+Dox	d1	0.151
shFOSL1_3	+Dox	d1	0.147
shFOSL1_3	+Dox	d1	0.143
shFOSL1_3	+Dox	d1	0.155
shFOSL1_3	+Dox	d1	0.146
shFOSL1_3	+Dox	d1	0.145
shFOSL1_3	+Dox	d1	0.145
shFOSL1_3	+Dox	d1	0.138
shFOSL1_3	+Dox	d1	0.139
shFOSL1_3	+Dox	d1	0.164
shFOSL1_10	-Dox	d1	0.169
shFOSL1_10	-Dox	d1	0.166
shFOSL1_10	-Dox	d1	0.165
shFOSL1_10	-Dox	d1	0.164
shFOSL1_10	-Dox	d1	0.164
shFOSL1_10	-Dox	d1	0.166
shFOSL1_10	-Dox	d1	0.158
shFOSL1_10	-Dox	d1	0.162
shFOSL1_10	-Dox	d1	0.161
shFOSL1_10	-Dox	d1	0.158
shFOSL1_10	-Dox	d1	0.165
shFOSL1_10	-Dox	d1	0.155
shFOSL1_10	-Dox	d1	0.146
shFOSL1_10	-Dox	d1	0.147
shFOSL1_10	-Dox	d1	0.157
shFOSL1_10	+Dox	d1	0.173
shFOSL1_10	+Dox	d1	0.179
