"Sample"	"Developmental"	"Injury"	"Classical"	"Mesenchymal"	"Proneural"	"Developmental_pval"	"Injury_pval"	"Classical_pval"	"Mesenchymal_pval"	"Proneural_pval"	"Wang_2017"	"Richards_2021"	"FOSL1"
"BT100_L"	4441.68407218034	2407.29758838248	8018.00385017698	4013.41228210311	3423.76176334899	0.000999000999000999	1	0.244755244755245	0.519480519480519	0.000999000999000999	"PN"	"DEV"	8.62695882064523
"BT106_L"	3444.74452861978	3341.91428520825	7128.28279136359	5199.45635642333	1715.15688048925	1	0.00699300699300699	0.985014985014985	0.014985014985015	0.717282717282717	"MES"	"INJ"	10.9701618609252
"BT108_L"	3892.35005541963	2954.81013890778	7568.67997980218	4720.47557181247	2250.98676115764	0.000999000999000999	1	0.793206793206793	0.0849150849150849	0.215784215784216	"MES"	"DEV"	12.5388064812338
"BT119_L"	3584.96771847661	3142.44769950051	7653.02503178159	4503.35960933163	1721.33432924518	0.925074925074925	1	0.712287712287712	0.173826173826174	0.709290709290709	"MES"	"DEV"	11.3876589167627
"BT126_L"	4907.02722793929	1898.68399981819	8282.81760563877	1406.89192496154	3188.07141764006	0.000999000999000999	1	0.0699300699300699	1	0.002997002997003	"PN"	"DEV"	10.7679051966679
"BT134_L"	4644.8023723289	2099.88443120773	7901.90058547521	2186.32947620595	2609.93110397951	0.000999000999000999	1	0.383616383616384	1	0.050949050949051	"PN"	"DEV"	6.05388580953669
"BT140_L"	4571.60067657458	2244.68034712784	8650.75946081424	1377.20231344633	2694.73998682756	0.000999000999000999	1	0.003996003996004	1	0.033966033966034	"CL"	"DEV"	9.01519211564472
"BT143_L"	3897.72052701405	2950.68640587704	8727.89649847981	3457.44810232575	1573.46775416266	0.000999000999000999	1	0.002997002997003	0.884115884115884	0.816183816183816	"CL"	"DEV"	11.3875204290643
"BT147_L"	4364.40015251996	2402.64649271676	8465.97008367172	2631.91609498373	2188.33580295194	0.000999000999000999	1	0.012987012987013	1	0.278721278721279	"CL"	"DEV"	9.2550767323115
"BT169_L"	1892.64508584797	4902.03420447272	7127.67238609438	5991.99547227577	916.609035161229	1	0.000999000999000999	0.985014985014985	0.000999000999000999	0.997002997002997	"MES"	"INJ"	13.2850252207254
"BT189_L"	4362.3058171857	2284.39550398709	7819.11221633549	1821.23467576388	2439.75197958352	0.000999000999000999	1	0.494505494505495	1	0.10989010989011	"PN"	"DEV"	7.74926008879807
"BT208_L"	1910.06217136492	4765.11254830117	5815.87493825042	7091.28417561981	786.849318723877	1	0.000999000999000999	1	0.000999000999000999	0.998001998001998	"MES"	"INJ"	13.922628937818
"BT238_L"	5183.8102802221	1566.62286605452	8852.39947399697	475.734826342882	2979.29723310393	0.000999000999000999	1	0.001998001998002	1	0.00899100899100899	"CL"	"DEV"	7.35835521712596
"BT241_L"	4621.66961573945	2040.28063632663	8525.11627165345	1393.97736256337	2342.0956852748	0.000999000999000999	1	0.00799200799200799	1	0.155844155844156	"CL"	"DEV"	8.40296060675226
"BT248_L"	2163.36106987663	4635.97849690685	6509.11831108566	7286.59118779637	2115.96424703332	1	0.000999000999000999	1	0.000999000999000999	0.343656343656344	"MES"	"INJ"	12.2031340456329
"BT284_L"	3771.24946533147	2907.50540144128	7795.97936257962	3064.08546577405	1737.98264026413	0.000999000999000999	1	0.528471528471528	0.983016983016983	0.696303696303696	"CL"	"DEV"	9.89833218859168
"BT301_L"	4622.42744023419	2146.00360235658	7746.52208638963	2922.84431776112	2074.86673926312	0.000999000999000999	1	0.597402597402597	0.992007992007992	0.386613386613387	"PN"	"DEV"	12.1885863601619
"BT41_L"	4899.23019955769	2013.288469475	8904.87082579667	2126.53364162792	1924.09694846469	0.000999000999000999	1	0.001998001998002	1	0.528471528471528	"CL"	"DEV"	10.6391611972626
"BT426_L"	4815.63012925833	2101.46387108166	7640.98010036408	1909.64788266714	4802.66406179363	0.000999000999000999	1	0.725274725274725	1	0.000999000999000999	"PN"	"DEV"	9.07930586622897
"BT428_L"	4461.89070016018	2427.84496834612	8216.86087806867	2886.31643007284	1793.97879427336	0.000999000999000999	1	0.103896103896104	0.992007992007992	0.65034965034965	"CL"	"DEV"	10.2493449444659
"BT429_L"	4581.65230642241	2327.46156508516	8392.46534766935	2357.7861277864	3579.36405981171	0.000999000999000999	1	0.028971028971029	1	0.000999000999000999	"PN"	"DEV"	8.47997316442408
"BT48_L"	4804.0153707163	1995.12689271691	8155.71540236178	1953.68580634343	3225.42180478831	0.000999000999000999	1	0.12987012987013	1	0.000999000999000999	"PN"	"DEV"	7.79251964577777
"BT50_L"	4647.1783702614	1947.80930621707	8850.71860287429	342.863024596636	2058.68757750398	0.000999000999000999	1	0.001998001998002	1	0.400599400599401	"CL"	"DEV"	5.58962481182654
"BT53_L"	4355.20735251559	2107.63259056338	7727.7864688269	1251.89107820334	1645.28034540044	0.000999000999000999	1	0.625374625374625	1	0.773226773226773	"CL"	"DEV"	7.09859292762379
"BT67_L"	4505.38801885757	2288.92065510603	8202.94653396958	2002.6121223258	2628.90748529652	0.000999000999000999	1	0.106893106893107	1	0.04995004995005	"PN"	"DEV"	9.12967462900019
"BT69_L"	5007.41161499327	1603.61841185798	8404.82736696776	1660.49601714577	2670.51757144885	0.000999000999000999	1	0.025974025974026	1	0.042957042957043	"CL"	"DEV"	9.00353075271079
"BT73_L"	3675.89578274962	2823.98398625934	7804.31520670736	2991.47224571991	1347.69545765395	0.0919080919080919	1	0.513486513486514	0.987012987012987	0.928071928071928	"CL"	"DEV"	11.112400025379
"BT75_L"	4123.58227826129	2749.67254234694	8431.30553684567	3053.3895995334	1030.34623318855	0.000999000999000999	1	0.018981018981019	0.983016983016983	0.991008991008991	"CL"	"DEV"	11.8005382332235
"BT84_L"	4297.47952432583	2646.73203151823	7722.61393260915	2984.54966650676	1747.42952639378	0.000999000999000999	1	0.631368631368631	0.987012987012987	0.692307692307692	"CL"	"DEV"	9.93351007663749
"BT89_L"	4929.67636605653	1844.6554422499	7705.78770137145	2368.23366255227	2751.48985412861	0.000999000999000999	1	0.646353646353646	1	0.024975024975025	"PN"	"DEV"	11.1217772231233
"BT94_L"	4360.77649530854	2496.26356557557	8269.7962978527	3109.10274673537	1771.74108709972	0.000999000999000999	1	0.0769230769230769	0.978021978021978	0.673326673326673	"CL"	"DEV"	11.4606725871816
"G361_L"	3102.80339440357	3679.27413695916	6406.45073143971	5547.26515512017	2071.56286286024	1	0.000999000999000999	1	0.002997002997003	0.38961038961039	"MES"	"INJ"	12.5901324586909
"G411_L"	2806.14443512636	3987.00887643215	6686.4494961491	6052.17353103837	1827.92668318477	1	0.000999000999000999	1	0.000999000999000999	0.617382617382617	"MES"	"INJ"	13.5315754758885
"G489_L"	4534.87334933416	2207.95898416658	9127.53065287225	1604.65829448577	1914.70566566138	0.000999000999000999	1	0.000999000999000999	1	0.533466533466533	"CL"	"DEV"	9.24850274261279
"G498_L"	3436.17869725477	3404.58321412017	8409.08218730226	3985.07256924878	1194.75310017544	1	0.000999000999000999	0.025974025974026	0.54045954045954	0.965034965034965	"CL"	"INJ"	11.9439933337929
"G523_L"	4546.32482787085	2282.61204513446	7398.14825717932	2464.71239664625	4123.755950629	0.000999000999000999	1	0.91008991008991	1	0.000999000999000999	"PN"	"DEV"	9.50934876220635
"G549_L"	2526.70636902463	4568.22947093393	7804.48010063189	5965.25847809448	1343.38539416836	1	0.000999000999000999	0.513486513486514	0.000999000999000999	0.928071928071928	"MES"	"INJ"	12.552522708519
"G551_L"	3166.60244052653	3800.34677398338	7936.16397064793	4807.77502720018	1634.87242595233	1	0.000999000999000999	0.336663336663337	0.0549450549450549	0.779220779220779	"MES"	"INJ"	12.2078892811259
"G561_L"	2802.71726454977	4000.26614399277	7014.20338660274	5309.69664931642	1257.29483986689	1	0.000999000999000999	0.996003996003996	0.00799200799200799	0.95004995004995	"MES"	"INJ"	12.1645939031848
