Sample	Treatment	day	value
shGFP	-Dox	d1	0.204
shGFP	-Dox	d1	0.216
shGFP	-Dox	d1	0.214
shGFP	-Dox	d1	0.21
shGFP	-Dox	d1	0.217
shGFP	-Dox	d1	0.223
shGFP	-Dox	d1	0.217
shGFP	-Dox	d1	0.214
shGFP	-Dox	d1	0.218
shGFP	-Dox	d1	0.217
shGFP	-Dox	d1	0.236
shGFP	-Dox	d1	0.222
shGFP	-Dox	d1	0.226
shGFP	-Dox	d1	0.218
shGFP	-Dox	d1	0.218
shGFP	+Dox	d1	0.206
shGFP	+Dox	d1	0.198
shGFP	+Dox	d1	0.195
shGFP	+Dox	d1	0.21
shGFP	+Dox	d1	0.215
shGFP	+Dox	d1	0.2
shGFP	+Dox	d1	0.205
shGFP	+Dox	d1	0.212
shGFP	+Dox	d1	0.211
shGFP	+Dox	d1	0.223
shGFP	+Dox	d1	0.202
shGFP	+Dox	d1	0.218
shGFP	+Dox	d1	0.214
shGFP	+Dox	d1	0.214
shGFP	+Dox	d1	0.221
shFOSL1_3	-Dox	d1	0.18
shFOSL1_3	-Dox	d1	0.178
shFOSL1_3	-Dox	d1	0.174
shFOSL1_3	-Dox	d1	0.175
shFOSL1_3	-Dox	d1	0.173
shFOSL1_3	-Dox	d1	0.203
shFOSL1_3	-Dox	d1	0.182
shFOSL1_3	-Dox	d1	0.185
shFOSL1_3	-Dox	d1	0.181
shFOSL1_3	-Dox	d1	0.184
shFOSL1_3	-Dox	d1	0.193
shFOSL1_3	-Dox	d1	0.188
shFOSL1_3	-Dox	d1	0.18
shFOSL1_3	-Dox	d1	0.191
shFOSL1_3	-Dox	d1	0.184
shFOSL1_3	+Dox	d1	0.182
shFOSL1_3	+Dox	d1	0.18
shFOSL1_3	+Dox	d1	0.182
shFOSL1_3	+Dox	d1	0.202
shFOSL1_3	+Dox	d1	0.184
shFOSL1_3	+Dox	d1	0.182
shFOSL1_3	+Dox	d1	0.185
shFOSL1_3	+Dox	d1	0.18
shFOSL1_3	+Dox	d1	0.188
shFOSL1_3	+Dox	d1	0.197
shFOSL1_3	+Dox	d1	0.209
shFOSL1_3	+Dox	d1	0.191
shFOSL1_3	+Dox	d1	0.191
shFOSL1_3	+Dox	d1	0.187
shFOSL1_3	+Dox	d1	0.21
shGFP	-Dox	d3	0.362
shGFP	-Dox	d3	0.324
shGFP	-Dox	d3	0.299
shGFP	-Dox	d3	0.316
shGFP	-Dox	d3	0.309
shGFP	-Dox	d3	0.346
shGFP	-Dox	d3	0.336
shGFP	-Dox	d3	0.321
shGFP	-Dox	d3	0.333
shGFP	-Dox	d3	0.326
shGFP	-Dox	d3	0.355
shGFP	-Dox	d3	0.337
shGFP	-Dox	d3	0.327
shGFP	-Dox	d3	0.325
shGFP	-Dox	d3	0.344
shGFP	+Dox	d3	0.332
shGFP	+Dox	d3	0.335
shGFP	+Dox	d3	0.326
shGFP	+Dox	d3	0.322
shGFP	+Dox	d3	0.348
shGFP	+Dox	d3	0.312
shGFP	+Dox	d3	0.33
shGFP	+Dox	d3	0.346
shGFP	+Dox	d3	0.34
shGFP	+Dox	d3	0.348
shGFP	+Dox	d3	0.337
shGFP	+Dox	d3	0.338
shGFP	+Dox	d3	0.342
shGFP	+Dox	d3	0.351
shGFP	+Dox	d3	0.358
shFOSL1_3	-Dox	d3	0.285
shFOSL1_3	-Dox	d3	0.292
shFOSL1_3	-Dox	d3	0.284
shFOSL1_3	-Dox	d3	0.277
shFOSL1_3	-Dox	d3	0.293
shFOSL1_3	-Dox	d3	0.31
shFOSL1_3	-Dox	d3	0.292
shFOSL1_3	-Dox	d3	0.251
shFOSL1_3	-Dox	d3	0.3
shFOSL1_3	-Dox	d3	0.298
shFOSL1_3	-Dox	d3	0.299
shFOSL1_3	-Dox	d3	0.352
shFOSL1_3	-Dox	d3	0.275
shFOSL1_3	-Dox	d3	0.253
shFOSL1_3	-Dox	d3	0.301
shFOSL1_3	+Dox	d3	0.285
