Sample	Treatment	day	value
shGFP	-Dox	d1	0.377
shGFP	-Dox	d1	0.416
shGFP	-Dox	d1	0.378
shGFP	-Dox	d1	0.373
shGFP	-Dox	d1	0.394
shGFP	-Dox	d1	0.313
shGFP	-Dox	d1	0.324
shGFP	-Dox	d1	0.37
shGFP	-Dox	d1	0.366
shGFP	-Dox	d1	0.376
shGFP	+Dox	d1	0.462
shGFP	+Dox	d1	0.459
shGFP	+Dox	d1	0.466
shGFP	+Dox	d1	0.442
shGFP	+Dox	d1	0.441
shGFP	+Dox	d1	0.434
shGFP	+Dox	d1	0.421
shGFP	+Dox	d1	0.447
shGFP	+Dox	d1	0.454
shGFP	+Dox	d1	0.487
shFOSL1_3	-Dox	d1	0.407
shFOSL1_3	-Dox	d1	0.384
shFOSL1_3	-Dox	d1	0.393
shFOSL1_3	-Dox	d1	0.383
shFOSL1_3	-Dox	d1	0.383
shFOSL1_3	-Dox	d1	0.377
shFOSL1_3	-Dox	d1	0.39
shFOSL1_3	-Dox	d1	0.383
shFOSL1_3	-Dox	d1	0.412
shFOSL1_3	-Dox	d1	0.408
shFOSL1_3	+Dox	d1	0.377
shFOSL1_3	+Dox	d1	0.357
shFOSL1_3	+Dox	d1	0.354
shFOSL1_3	+Dox	d1	0.334
shFOSL1_3	+Dox	d1	0.338
shFOSL1_3	+Dox	d1	0.336
shFOSL1_3	+Dox	d1	0.331
shFOSL1_3	+Dox	d1	0.332
shFOSL1_3	+Dox	d1	0.351
shFOSL1_3	+Dox	d1	0.373
shFOSL1_10	-Dox	d1	0.164
shFOSL1_10	-Dox	d1	0.139
shFOSL1_10	-Dox	d1	0.157
shFOSL1_10	-Dox	d1	0.157
shFOSL1_10	-Dox	d1	0.136
shFOSL1_10	-Dox	d1	0.159
shFOSL1_10	-Dox	d1	0.147
shFOSL1_10	-Dox	d1	0.15
shFOSL1_10	-Dox	d1	0.149
shFOSL1_10	-Dox	d1	0.155
shFOSL1_10	+Dox	d1	0.45
shFOSL1_10	+Dox	d1	0.425
shFOSL1_10	+Dox	d1	0.418
shFOSL1_10	+Dox	d1	0.412
shFOSL1_10	+Dox	d1	0.414
shFOSL1_10	+Dox	d1	0.419
shFOSL1_10	+Dox	d1	0.49
shFOSL1_10	+Dox	d1	0.431
shFOSL1_10	+Dox	d1	0.433
shFOSL1_10	+Dox	d1	0.468
shGFP	-Dox	d3	0.434
shGFP	-Dox	d3	0.419
shGFP	-Dox	d3	0.449
shGFP	-Dox	d3	0.445
shGFP	-Dox	d3	0.441
shGFP	-Dox	d3	0.483
shGFP	-Dox	d3	0.438
shGFP	-Dox	d3	0.441
shGFP	-Dox	d3	0.468
shGFP	-Dox	d3	0.495
shGFP	+Dox	d3	0.682
shGFP	+Dox	d3	0.638
shGFP	+Dox	d3	0.625
shGFP	+Dox	d3	0.611
shGFP	+Dox	d3	0.589
shGFP	+Dox	d3	0.618
shGFP	+Dox	d3	0.64
shGFP	+Dox	d3	0.628
shGFP	+Dox	d3	0.655
shGFP	+Dox	d3	0.721
shFOSL1_3	-Dox	d3	0.605
shFOSL1_3	-Dox	d3	0.556
shFOSL1_3	-Dox	d3	0.566
shFOSL1_3	-Dox	d3	0.585
shFOSL1_3	-Dox	d3	0.524
shFOSL1_3	-Dox	d3	0.534
shFOSL1_3	-Dox	d3	0.612
shFOSL1_3	-Dox	d3	NA
shFOSL1_3	-Dox	d3	0.568
shFOSL1_3	-Dox	d3	0.622
shFOSL1_3	+Dox	d3	0.422
shFOSL1_3	+Dox	d3	0.397
shFOSL1_3	+Dox	d3	0.373
shFOSL1_3	+Dox	d3	0.384
shFOSL1_3	+Dox	d3	0.38
shFOSL1_3	+Dox	d3	0.39
shFOSL1_3	+Dox	d3	0.404
shFOSL1_3	+Dox	d3	0.393
shFOSL1_3	+Dox	d3	0.417
shFOSL1_3	+Dox	d3	0.41
shFOSL1_10	-Dox	d3	0.28
shFOSL1_10	-Dox	d3	0.262
shFOSL1_10	-Dox	d3	0.257
shFOSL1_10	-Dox	d3	0.239
shFOSL1_10	-Dox	d3	0.246
shFOSL1_10	-Dox	d3	0.236
shFOSL1_10	-Dox	d3	0.246
shFOSL1_10	-Dox	d3	0.24
shFOSL1_10	-Dox	d3	0.229
shFOSL1_10	-Dox	d3	0.25
shFOSL1_10	+Dox	d3	0.399
shFOSL1_10	+Dox	d3	0.372
shFOSL1_10	+Dox	d3	0.375
shFOSL1_10	+Dox	d3	0.345
shFOSL1_10	+Dox	d3	0.356
