Cell_line	Group	day	value
H543	Ctrl	d1	0.056
H543	Ctrl	d1	0.056
H543	Ctrl	d1	0.057
H543	Ctrl	d1	0.056
H543	Ctrl	d1	0.059
H543	Ctrl	d1	0.055
H543	Ctrl	d1	0.06
H543	Ctrl	d1	0.062
H543	Ctrl	d1	0.061
H543	pBabe FOSL1	d1	0.062
H543	pBabe FOSL1	d1	0.057
H543	pBabe FOSL1	d1	0.059
H543	pBabe FOSL1	d1	0.059
H543	pBabe FOSL1	d1	0.06
H543	pBabe FOSL1	d1	0.058
H543	pBabe FOSL1	d1	0.055
H543	pBabe FOSL1	d1	0.055
H543	pBabe FOSL1	d1	0.058
H543	Ctrl	d3	0.105
H543	Ctrl	d3	0.1
H543	Ctrl	d3	0.102
H543	Ctrl	d3	0.103
H543	Ctrl	d3	0.101
H543	Ctrl	d3	0.105
H543	Ctrl	d3	0.096
H543	Ctrl	d3	0.103
H543	Ctrl	d3	0.099
H543	pBabe FOSL1	d3	0.112
H543	pBabe FOSL1	d3	0.102
H543	pBabe FOSL1	d3	0.112
H543	pBabe FOSL1	d3	0.102
H543	pBabe FOSL1	d3	0.104
H543	pBabe FOSL1	d3	0.113
H543	pBabe FOSL1	d3	0.103
H543	pBabe FOSL1	d3	0.11
H543	pBabe FOSL1	d3	0.113
H543	Ctrl	d5	0.224
H543	Ctrl	d5	0.222
H543	Ctrl	d5	0.254
H543	Ctrl	d5	0.227
H543	Ctrl	d5	0.241
H543	Ctrl	d5	0.253
H543	Ctrl	d5	0.255
H543	Ctrl	d5	0.227
H543	Ctrl	d5	0.25
H543	pBabe FOSL1	d5	0.24
H543	pBabe FOSL1	d5	0.231
H543	pBabe FOSL1	d5	0.232
H543	pBabe FOSL1	d5	0.217
H543	pBabe FOSL1	d5	0.231
H543	pBabe FOSL1	d5	0.228
H543	pBabe FOSL1	d5	0.231
H543	pBabe FOSL1	d5	0.245
H543	pBabe FOSL1	d5	0.239
H543	Ctrl	d7	0.575
H543	Ctrl	d7	0.553
H543	Ctrl	d7	0.6
H543	Ctrl	d7	0.563
H543	Ctrl	d7	0.59
H543	Ctrl	d7	0.588
H543	Ctrl	d7	0.58
H543	Ctrl	d7	0.551
H543	Ctrl	d7	0.538
H543	pBabe FOSL1	d7	0.518
H543	pBabe FOSL1	d7	0.499
H543	pBabe FOSL1	d7	0.53
H543	pBabe FOSL1	d7	0.487
H543	pBabe FOSL1	d7	0.528
H543	pBabe FOSL1	d7	0.561
H543	pBabe FOSL1	d7	0.546
H543	pBabe FOSL1	d7	0.539
H543	pBabe FOSL1	d7	0.507
H676	Ctrl	d1	0.055
H676	Ctrl	d1	0.055
H676	Ctrl	d1	0.055
H676	Ctrl	d1	0.054
H676	Ctrl	d1	0.053
H676	Ctrl	d1	0.053
H676	Ctrl	d1	0.054
H676	Ctrl	d1	0.054
H676	Ctrl	d1	0.058
H676	pBabe FOSL1	d1	0.059
H676	pBabe FOSL1	d1	0.056
H676	pBabe FOSL1	d1	0.065
H676	pBabe FOSL1	d1	0.06
H676	pBabe FOSL1	d1	0.062
H676	pBabe FOSL1	d1	0.059
H676	pBabe FOSL1	d1	0.058
H676	pBabe FOSL1	d1	0.06
H676	pBabe FOSL1	d1	0.056
H676	Ctrl	d3	0.189
H676	Ctrl	d3	0.182
H676	Ctrl	d3	0.184
H676	Ctrl	d3	0.175
H676	Ctrl	d3	0.187
H676	Ctrl	d3	0.193
H676	Ctrl	d3	0.17
H676	Ctrl	d3	0.198
H676	Ctrl	d3	0.174
H676	pBabe FOSL1	d3	0.211
H676	pBabe FOSL1	d3	0.19
H676	pBabe FOSL1	d3	0.203
H676	pBabe FOSL1	d3	0.2
H676	pBabe FOSL1	d3	0.216
H676	pBabe FOSL1	d3	0.196
H676	pBabe FOSL1	d3	0.203
H676	pBabe FOSL1	d3	0.203
H676	pBabe FOSL1	d3	0.194
H676	Ctrl	d5	0.586
H676	Ctrl	d5	0.615
H676	Ctrl	d5	0.627
H676	Ctrl	d5	0.599
H676	Ctrl	d5	0.653
H676	Ctrl	d5	0.56
H676	Ctrl	d5	0.539
H676	Ctrl	d5	0.606
H676	Ctrl	d5	0.594
H676	pBabe FOSL1	d5	0.649
H676	pBabe FOSL1	d5	0.59
H676	pBabe FOSL1	d5	0.649
H676	pBabe FOSL1	d5	0.634
H676	pBabe FOSL1	d5	0.653
H676	pBabe FOSL1	d5	0.596
H676	pBabe FOSL1	d5	0.644
H676	pBabe FOSL1	d5	0.659
H676	pBabe FOSL1	d5	0.598
H676	Ctrl	d7	1.05
H676	Ctrl	d7	1.142
H676	Ctrl	d7	1.221
H676	Ctrl	d7	1.002
H676	Ctrl	d7	1.163
H676	Ctrl	d7	1.139
H676	Ctrl	d7	1.163
H676	Ctrl	d7	1.166
H676	Ctrl	d7	1.061
H676	pBabe FOSL1	d7	1.285
H676	pBabe FOSL1	d7	1.436
H676	pBabe FOSL1	d7	1.255
H676	pBabe FOSL1	d7	1.367
H676	pBabe FOSL1	d7	1.278
H676	pBabe FOSL1	d7	1.394
H676	pBabe FOSL1	d7	1.331
H676	pBabe FOSL1	d7	NA
H676	pBabe FOSL1	d7	1.352
