Cell_line	Sample	Treatment	day	value
h543	shGFP	-Dox	d1	0.124
h543	shGFP	-Dox	d1	0.123
h543	shGFP	-Dox	d1	0.123
h543	shGFP	-Dox	d1	0.118
h543	shGFP	-Dox	d1	0.122
h543	shGFP	-Dox	d1	0.117
h543	shGFP	-Dox	d1	0.12
h543	shGFP	-Dox	d1	0.12
h543	shGFP	-Dox	d1	0.126
h543	shGFP	-Dox	d1	0.127
h543	shGFP	+Dox	d1	0.11
h543	shGFP	+Dox	d1	0.105
h543	shGFP	+Dox	d1	0.105
h543	shGFP	+Dox	d1	0.108
h543	shGFP	+Dox	d1	0.107
h543	shGFP	+Dox	d1	0.106
h543	shGFP	+Dox	d1	0.109
h543	shGFP	+Dox	d1	0.115
h543	shGFP	+Dox	d1	0.117
h543	shGFP	+Dox	d1	0.127
h543	shFOSL1_3	-Dox	d1	0.064
h543	shFOSL1_3	-Dox	d1	0.059
h543	shFOSL1_3	-Dox	d1	0.057
h543	shFOSL1_3	-Dox	d1	0.058
h543	shFOSL1_3	-Dox	d1	0.059
h543	shFOSL1_3	-Dox	d1	0.059
h543	shFOSL1_3	-Dox	d1	0.061
h543	shFOSL1_3	-Dox	d1	0.059
h543	shFOSL1_3	-Dox	d1	0.058
h543	shFOSL1_3	-Dox	d1	0.063
h543	shFOSL1_3	+Dox	d1	0.114
h543	shFOSL1_3	+Dox	d1	0.106
h543	shFOSL1_3	+Dox	d1	0.096
h543	shFOSL1_3	+Dox	d1	0.104
h543	shFOSL1_3	+Dox	d1	0.101
h543	shFOSL1_3	+Dox	d1	0.109
h543	shFOSL1_3	+Dox	d1	0.095
h543	shFOSL1_3	+Dox	d1	0.097
h543	shFOSL1_3	+Dox	d1	0.101
h543	shFOSL1_3	+Dox	d1	0.108
h543	shFOSL1_10	-Dox	d1	0.143
h543	shFOSL1_10	-Dox	d1	0.138
h543	shFOSL1_10	-Dox	d1	0.135
h543	shFOSL1_10	-Dox	d1	0.127
h543	shFOSL1_10	-Dox	d1	0.134
h543	shFOSL1_10	-Dox	d1	0.13
h543	shFOSL1_10	-Dox	d1	0.13
h543	shFOSL1_10	-Dox	d1	0.127
h543	shFOSL1_10	-Dox	d1	0.139
h543	shFOSL1_10	-Dox	d1	0.142
h543	shFOSL1_10	+Dox	d1	0.096
h543	shFOSL1_10	+Dox	d1	0.102
h543	shFOSL1_10	+Dox	d1	0.098
h543	shFOSL1_10	+Dox	d1	0.099
h543	shFOSL1_10	+Dox	d1	0.101
h543	shFOSL1_10	+Dox	d1	0.104
h543	shFOSL1_10	+Dox	d1	0.105
h543	shFOSL1_10	+Dox	d1	0.105
h543	shFOSL1_10	+Dox	d1	0.097
h543	shFOSL1_10	+Dox	d1	0.095
h543	shGFP	-Dox	d3	0.278
h543	shGFP	-Dox	d3	0.271
h543	shGFP	-Dox	d3	0.26
h543	shGFP	-Dox	d3	0.261
h543	shGFP	-Dox	d3	0.261
h543	shGFP	-Dox	d3	0.256
h543	shGFP	-Dox	d3	0.265
h543	shGFP	-Dox	d3	0.275
h543	shGFP	-Dox	d3	0.284
h543	shGFP	-Dox	d3	0.274
h543	shGFP	+Dox	d3	0.228
h543	shGFP	+Dox	d3	0.219
