NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCRG1	SCRG1	1	0.35992518067359924	0.07618984	Yes	
row_1	PMP2	PMP2	15	0.22165721654891968	0.122534715	Yes	
row_2	PPP1R3C	PPP1R3C	22	0.18822473287582397	0.16212381	Yes	
row_3	GRIA2	GRIA2	27	0.17832405865192413	0.19970886	Yes	
row_4	CLASP2	CLASP2	34	0.17129838466644287	0.23571277	Yes	
row_5	NLGN4X	NLGN4X	81	0.13503627479076385	0.2621753	Yes	
row_6	MAP2	MAP2	145	0.10823791474103928	0.28217083	Yes	
row_7	TRIM9	TRIM9	210	0.09915316104888916	0.3001956	Yes	
row_8	SEMA5A	SEMA5A	320	0.08856500685214996	0.31388447	Yes	
row_9	MTSS1	MTSS1	362	0.0849980041384697	0.32998088	Yes	
row_10	CDK6	CDK6	413	0.08192460983991623	0.3450077	Yes	
row_11	REV3L	REV3L	471	0.07918743789196014	0.3591291	Yes	
row_12	KCNJ10	KCNJ10	684	0.07010973989963531	0.36411777	Yes	
row_13	GAD1	GAD1	699	0.06942642480134964	0.3781719	Yes	
row_14	ABAT	ABAT	806	0.06560263782739639	0.3871366	Yes	
row_15	GAB2	GAB2	865	0.06400729715824127	0.39799616	Yes	
row_16	QKI	QKI	954	0.06166469678282738	0.40696406	Yes	
row_17	TCF12	TCF12	1195	0.056586749851703644	0.40778598	Yes	
row_18	PTP4A3	PTP4A3	1283	0.05480343848466873	0.4153471	Yes	
row_19	NLGN3	NLGN3	1376	0.05300553888082504	0.42229483	Yes	
row_20	B3GAT1	B3GAT1	1387	0.052836354821920395	0.433021	Yes	
row_21	GPM6B	GPM6B	1398	0.05269557610154152	0.4437174	Yes	
row_22	JAKMIP2	JAKMIP2	1409	0.05257086083292961	0.45438734	Yes	
row_23	RERE	RERE	1501	0.051106687635183334	0.4609794	Yes	
row_24	TTYH1	TTYH1	1643	0.04923592507839203	0.46484938	Yes	
row_25	ARHGEF9	ARHGEF9	1905	0.04584961757063866	0.4624202	Yes	
row_26	RPE65	RPE65	1945	0.04528697952628136	0.4701984	Yes	
row_27	MTMR12	MTMR12	2118	0.043309878557920456	0.47137117	Yes	
row_28	RAB33A	RAB33A	2265	0.04164791479706764	0.47340137	Yes	
row_29	SCG3	SCG3	2487	0.039410628378391266	0.47146899	Yes	
row_30	SNTG1	SNTG1	2727	0.037508249282836914	0.46829635	Yes	
row_31	LPAR4	LPAR4	2935	0.03589974343776703	0.46627152	Yes	
row_32	MYT1	MYT1	3053	0.03494735807180405	0.4682314	Yes	
row_33	BMP7	BMP7	3061	0.034857600927352905	0.47528905	Yes	
row_34	SMARCD3	SMARCD3	3343	0.03266682103276253	0.46913728	No	
row_35	CSPG5	CSPG5	4138	0.027394188567996025	0.43800604	No	
row_36	CRMP1	CRMP1	4989	0.022527877241373062	0.40323913	No	
row_37	BBS7	BBS7	5144	0.021756265312433243	0.4006839	No	
row_38	TUBB2B	TUBB2B	5145	0.021755004301667213	0.4052919	No	
row_39	BCAN	BCAN	5383	0.02062239870429039	0.39863566	No	
row_40	PAK1	PAK1	5933	0.017993800342082977	0.3769097	No	
row_41	ASTN1	ASTN1	5998	0.017735859379172325	0.37768933	No	
row_42	CRB1	CRB1	6017	0.017652219161391258	0.380591	No	
row_43	SEPT2	SEPT2	6843	0.014055682346224785	0.3451925	No	
row_44	PHLPP1	PHLPP1	7598	0.011143047362565994	0.3124797	No	
row_45	SEPT7	SEPT7	7604	0.01111725252121687	0.31460187	No	
row_46	SLC6A1	SLC6A1	8286	0.008534139022231102	0.28473213	No	
row_47	PLXNB1	PLXNB1	8465	0.007882270030677319	0.27812186	No	
row_48	MASP1	MASP1	8593	0.007485055364668369	0.27379975	No	
row_49	P2RX7	P2RX7	8606	0.007448545657098293	0.27481925	No	
row_50	HAPLN1	HAPLN1	8644	0.007306710816919804	0.2746458	No	
row_51	BTG2	BTG2	8789	0.00665321433916688	0.26935673	No	
row_52	PTN	PTN	8908	0.006278195884078741	0.26519766	No	
row_53	MLC1	MLC1	9469	0.004261671099811792	0.24005139	No	
row_54	NTRK3	NTRK3	9748	0.0031491341069340706	0.22778697	No	
row_55	DOCK10	DOCK10	10005	0.0023631800431758165	0.21637945	No	
row_56	KLF15	KLF15	10568	3.5489388392306864E-4	0.19031264	No	
row_57	COBL	COBL	10744	-2.470828185323626E-4	0.18222469	No	
row_58	LSAMP	LSAMP	10946	-9.020205470733345E-4	0.17306603	No	
row_59	MKNK1	MKNK1	10976	-0.0010230187326669693	0.17193377	No	
row_60	WBP4	WBP4	11761	-0.003842730540782213	0.1362792	No	
row_61	SATB2	SATB2	12011	-0.004652842879295349	0.12568225	No	
row_62	ACSBG1	ACSBG1	12021	-0.00468961289152503	0.12625691	No	
row_63	C1orf61	C1orf61	12173	-0.005263639148324728	0.12034791	No	
row_64	DCX	DCX	12388	-0.006032712757587433	0.11167129	No	
row_65	RGR	RGR	12881	-0.007796998601406813	0.09043694	No	
row_66	MET	MET	13160	-0.008841309696435928	0.079378195	No	
row_67	ZCCHC24	ZCCHC24	14458	-0.013801680877804756	0.021970363	No	
row_68	NDRG2	NDRG2	15120	-0.016607172787189484	-0.0052590896	No	
row_69	ID4	ID4	15399	-0.017703142017126083	-0.014440793	No	
row_70	OGFRL1	OGFRL1	15664	-0.018887152895331383	-0.022720484	No	
row_71	IL4R	IL4R	15794	-0.019529063254594803	-0.02458456	No	
row_72	MAOB	MAOB	15939	-0.020240291953086853	-0.026995726	No	
row_73	RHOQ	RHOQ	15991	-0.020449085161089897	-0.025036685	No	
row_74	SALL2	SALL2	16354	-0.022051895037293434	-0.037204612	No	
row_75	PCSK2	PCSK2	17059	-0.025546269491314888	-0.06454085	No	
row_76	CSGALNACT1	CSGALNACT1	17475	-0.02788078412413597	-0.07793949	No	
row_77	TPBG	TPBG	17767	-0.02945285476744175	-0.085237175	No	
row_78	ELAVL4	ELAVL4	17794	-0.029616473242640495	-0.08017348	No	
row_79	NCAN	NCAN	17822	-0.029806945472955704	-0.07511595	No	
row_80	PID1	PID1	18259	-0.03268357738852501	-0.08847414	No	
row_81	ETV1	ETV1	18514	-0.03463798016309738	-0.09295246	No	
row_82	CADM4	CADM4	18586	-0.03516864776611328	-0.088805966	No	
row_83	MAP3K1	MAP3K1	18630	-0.03547431156039238	-0.083292276	No	
row_84	LMO1	LMO1	18876	-0.037572428584098816	-0.086730406	No	
row_85	GRIK4	GRIK4	19077	-0.03937917947769165	-0.087692626	No	
row_86	GPR37L1	GPR37L1	19426	-0.04268692061305046	-0.0948386	No	
row_87	BAG2	BAG2	19537	-0.04395125061273575	-0.09064596	No	
row_88	ELF4	ELF4	19885	-0.04832152649760246	-0.09655193	No	
row_89	OLIG2	OLIG2	19896	-0.04854898899793625	-0.08673385	No	
row_90	PTK7	PTK7	20060	-0.050733450800180435	-0.08357001	No	
row_91	TBC1D9	TBC1D9	20519	-0.05853637307882309	-0.09247564	No	
row_92	GANAB	GANAB	20618	-0.060964372009038925	-0.084121235	No	
row_93	UBN1	UBN1	20969	-0.0717347264289856	-0.08520757	No	
row_94	ATP2B2	ATP2B2	21423	-0.10711653530597687	-0.08359076	No	
row_95	IER3	IER3	21480	-0.12186991423368454	-0.060382184	No	
row_96	RHBDF2	RHBDF2	21513	-0.14422844350337982	-0.031321425	No	
row_97	PLS1	PLS1	21541	-0.16566318273544312	0.0025120396	No	
