NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANXA2	ANXA2	41	0.1635150909423828	0.045841396	Yes	
row_1	ANXA1	ANXA1	87	0.1333165466785431	0.08267808	Yes	
row_2	TGFBI	TGFBI	137	0.11054713279008865	0.112679504	Yes	
row_3	CTNND2	CTNND2	142	0.10932717472314835	0.14441897	Yes	
row_4	PTPRR	PTPRR	295	0.09084764122962952	0.16387416	Yes	
row_5	HBP1	HBP1	597	0.07297705113887787	0.17117639	Yes	
row_6	OLFML2A	OLFML2A	627	0.07172923535108566	0.19077304	Yes	
row_7	TGFBR2	TGFBR2	835	0.06463398039340973	0.20001367	Yes	
row_8	ANXA5	ANXA5	993	0.06070738285779953	0.21043465	Yes	
row_9	TSPAN9	TSPAN9	1311	0.054345954209566116	0.21155159	Yes	
row_10	CPA4	CPA4	1559	0.05038567632436752	0.21476984	Yes	
row_11	TTYH1	TTYH1	1643	0.04923592507839203	0.22528487	Yes	
row_12	CNN2	CNN2	2016	0.04450203850865364	0.22096752	Yes	
row_13	CLEC2B	CLEC2B	2106	0.04345390200614929	0.22951485	Yes	
row_14	SGCE	SGCE	2256	0.04171467199921608	0.23476191	Yes	
row_15	BST1	BST1	2447	0.039645690470933914	0.23749664	Yes	
row_16	SEC61A2	SEC61A2	2469	0.03951186314225197	0.24805753	Yes	
row_17	COL3A1	COL3A1	2743	0.037398625165224075	0.2462733	Yes	
row_18	GBE1	GBE1	2760	0.03726048022508621	0.25640944	Yes	
row_19	COL5A3	COL5A3	3289	0.03304249420762062	0.24148546	No	
row_20	ADAMTS1	ADAMTS1	3635	0.030609311535954475	0.23436774	No	
row_21	PHACTR1	PHACTR1	4083	0.027778925374150276	0.22167645	No	
row_22	CSPG5	CSPG5	4138	0.027394188567996025	0.22716293	No	
row_23	ZNF75D	ZNF75D	4261	0.02668808400630951	0.2292785	No	
row_24	PCCB	PCCB	4870	0.023114273324608803	0.20773214	No	
row_25	LOX	LOX	5014	0.02239387109875679	0.20761639	No	
row_26	ACVR1	ACVR1	5036	0.022338585928082466	0.21316235	No	
row_27	SYNC	SYNC	5085	0.022054532542824745	0.21736878	No	
row_28	MCTP2	MCTP2	5147	0.021750379353761673	0.22088137	No	
row_29	TGOLN2	TGOLN2	5196	0.02154998667538166	0.22494048	No	
row_30	PAM	PAM	5389	0.020589454099535942	0.22201735	No	
row_31	CHD7	CHD7	6015	0.01766783744096756	0.19808935	No	
row_32	MARK1	MARK1	6078	0.01737665757536888	0.2002782	No	
row_33	CAV2	CAV2	6711	0.014604011550545692	0.17512971	No	
row_34	HLA-DOA	HLA-DOA	6941	0.013679037801921368	0.16846664	No	
row_35	EDIL3	EDIL3	6960	0.01359713077545166	0.17159955	No	
row_36	MAPK9	MAPK9	7622	0.011066799983382225	0.14406848	No	
row_37	ITGA1	ITGA1	7671	0.010912209749221802	0.14502114	No	
