NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANXA2	ANXA2	41	0.1635150909423828	0.03303703	No	
row_1	MAP2	MAP2	145	0.10823791474103928	0.051371407	No	
row_2	FBXO2	FBXO2	380	0.08332588523626328	0.05827823	No	
row_3	C3orf52	C3orf52	515	0.0772373154759407	0.068542734	No	
row_4	SLC39A6	SLC39A6	618	0.07203636318445206	0.07918654	No	
row_5	TOM1L1	TOM1L1	778	0.06692744791507721	0.08608283	No	
row_6	CASP6	CASP6	927	0.062165021896362305	0.09247376	No	
row_7	JAM3	JAM3	1439	0.05200593173503876	0.079781406	No	
row_8	TMOD3	TMOD3	1566	0.05030316486954689	0.08466214	No	
row_9	IFT88	IFT88	1727	0.04810963571071625	0.087490015	No	
row_10	ZBTB38	ZBTB38	2056	0.04409049451351166	0.08163184	No	
row_11	SCML1	SCML1	2082	0.043771833181381226	0.08982222	No	
row_12	CLEC2B	CLEC2B	2106	0.04345390200614929	0.098037824	No	
row_13	RUSC1	RUSC1	2286	0.04137750715017319	0.09854168	No	
row_14	CASP7	CASP7	2317	0.040958672761917114	0.105897866	No	
row_15	CRABP2	CRABP2	2885	0.03626285120844841	0.0872318	No	
row_16	CCNA1	CCNA1	3075	0.0347636342048645	0.08585621	No	
row_17	PRSS12	PRSS12	3451	0.03185892850160599	0.075194135	No	
row_18	FES	FES	3658	0.030456336215138435	0.07210594	No	
row_19	PLP1	PLP1	3671	0.03035501204431057	0.078034475	No	
row_20	CRYBG3	CRYBG3	3796	0.0294191837310791	0.07854497	No	
row_21	CD83	CD83	4319	0.026314616203308105	0.05984926	No	
row_22	EFNA5	EFNA5	4392	0.02589597925543785	0.062029414	No	
row_23	ZNF573	ZNF573	4937	0.02277267910540104	0.04155173	No	
row_24	POU3F2	POU3F2	5021	0.022385988384485245	0.04246923	No	
row_25	PJA2	PJA2	5193	0.02158004231750965	0.03911459	No	
row_26	OPTN	OPTN	5205	0.02150748111307621	0.043198783	No	
row_27	MDK	MDK	5310	0.020945891737937927	0.042830113	No	
row_28	BCAN	BCAN	5383	0.02062239870429039	0.043883175	No	
row_29	ITPR3	ITPR3	5808	0.0186495091766119	0.028115029	No	
row_30	GALNT6	GALNT6	5829	0.018534919247031212	0.031144606	No	
row_31	FAM114A1	FAM114A1	6037	0.017557760700583458	0.025253076	No	
row_32	PIK3C2B	PIK3C2B	6142	0.01712997630238533	0.024068853	No	
row_33	MAN1A1	MAN1A1	6191	0.016898419708013535	0.02544416	No	
row_34	PPP1R13L	PPP1R13L	6359	0.016220465302467346	0.021130404	No	
row_35	MAFF	MAFF	6367	0.016197580844163895	0.024266098	No	
row_36	THYN1	THYN1	6438	0.015827367082238197	0.024387522	No	
row_37	FZD6	FZD6	6502	0.015566818416118622	0.024779387	No	
row_38	AP1G2	AP1G2	6575	0.015272903256118298	0.02468913	No	
row_39	SMAGP	SMAGP	6881	0.01389102078974247	0.013448143	No	
row_40	ACOT9	ACOT9	6921	0.013753224164247513	0.014570551	No	
row_41	LYN	LYN	7132	0.012906498275697231	0.007545164	No	
row_42	PRX	PRX	7377	0.012000417336821556	-0.0012579225	No	
row_43	SERPINB1	SERPINB1	7384	0.011969889514148235	0.0010208002	No	
row_44	SLC25A24	SLC25A24	7565	0.01125077810138464	-0.0049607656	No	
row_45	MICB	MICB	7688	0.010858811438083649	-0.008323906	No	
row_46	IL1R1	IL1R1	7833	0.01034484151750803	-0.012821866	No	
row_47	IL15	IL15	8040	0.009428732097148895	-0.020404179	No	
row_48	RIBC2	RIBC2	8490	0.0078393230214715	-0.039647467	No	
row_49	TCIRG1	TCIRG1	8678	0.007159617263823748	-0.046829544	No	
row_50	BCAR3	BCAR3	8862	0.006415568292140961	-0.053984284	No	
row_51	SFN	SFN	8909	0.006277712527662516	-0.054785706	No	
row_52	PLEKHA1	PLEKHA1	8971	0.0060402932576835155	-0.056336712	No	
row_53	C9orf40	C9orf40	9097	0.005636468064039946	-0.060955767	No	
row_54	ADCK2	ADCK2	9269	0.004989344626665115	-0.067856245	No	
row_55	SLC46A3	SLC46A3	9540	0.003943052142858505	-0.07959272	No	
