NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANXA2	ANXA2	41	0.1635150909423828	0.013135519	No	
row_1	ANXA1	ANXA1	87	0.1333165466785431	0.023303792	No	
row_2	CTNND2	CTNND2	142	0.10932717472314835	0.030842552	No	
row_3	MAP2	MAP2	145	0.10823791474103928	0.040713552	No	
row_4	CD44	CD44	281	0.09177549928426743	0.042847358	No	
row_5	UPP1	UPP1	694	0.06964212656021118	0.029985676	No	
row_6	ANXA2P3	ANXA2P3	715	0.0689801275730133	0.035400514	No	
row_7	PARVA	PARVA	744	0.06779947131872177	0.040332425	No	
row_8	VCL	VCL	822	0.06501578539609909	0.042715885	No	
row_9	FLNA	FLNA	933	0.062056828290224075	0.04328322	No	
row_10	CDKN1B	CDKN1B	1088	0.058823008090257645	0.04149456	No	
row_11	TRAM2	TRAM2	1218	0.05607052147388458	0.04062198	No	
row_12	MARCKSL1	MARCKSL1	1500	0.051112931221723557	0.032182552	No	
row_13	ANXA2P2	ANXA2P2	1630	0.04939597472548485	0.030695502	No	
row_14	PQLC3	PQLC3	1642	0.04924152418971062	0.034714185	No	
row_15	IMPAD1	IMPAD1	1777	0.04730098694562912	0.032800373	No	
row_16	ZMYM4	ZMYM4	1875	0.046125806868076324	0.032509204	No	
row_17	ZBTB38	ZBTB38	2056	0.04409049451351166	0.028147982	No	
row_18	SHC1	SHC1	2099	0.043510422110557556	0.030188894	No	
row_19	CD46	CD46	2185	0.04259507358074188	0.03013403	No	
row_20	DEGS1	DEGS1	2255	0.0417320542037487	0.030748183	No	
row_21	MAST1	MAST1	2578	0.03873225674033165	0.01925102	No	
row_22	ANPEP	ANPEP	2706	0.03770705685019493	0.016781429	No	
row_23	GBE1	GBE1	2760	0.03726048022508621	0.01773239	No	
row_24	STC1	STC1	3303	0.03294781967997551	-0.0045887325	No	
row_25	PLCB1	PLCB1	3312	0.03287011757493019	-0.0019368897	No	
row_26	BET1L	BET1L	3496	0.03154618665575981	-0.0075932983	No	
row_27	S100A10	S100A10	3782	0.029516801238059998	-0.01820802	No	
row_28	TPM2	TPM2	3817	0.02927626296877861	-0.017103294	No	
row_29	MAFG	MAFG	3836	0.029192151501774788	-0.015257842	No	
row_30	AKR1C3	AKR1C3	3844	0.02913481742143631	-0.012903098	No	
row_31	ABCD1	ABCD1	3858	0.029073433950543404	-0.01083468	No	
row_32	MYD88	MYD88	3892	0.028834402561187744	-0.009723853	No	
row_33	BACE2	BACE2	3897	0.028800325468182564	-0.007259565	No	
row_34	EXOC3	EXOC3	4048	0.027937190607190132	-0.011704508	No	
row_35	TCF4	TCF4	4530	0.025124743580818176	-0.031892303	No	
row_36	IL13RA1	IL13RA1	4625	0.024536000564694405	-0.034030728	No	
row_37	CLIP4	CLIP4	5109	0.021929128095507622	-0.054606274	No	
row_38	CRIM1	CRIM1	5206	0.02150132693350315	-0.057117634	No	
row_39	WDR1	WDR1	5740	0.018896283581852913	-0.08031135	No	
row_40	CHD7	CHD7	6015	0.01766783744096756	-0.09150233	No	
row_41	ADRM1	ADRM1	6043	0.017532216385006905	-0.09115133	No	
row_42	MAN1A1	MAN1A1	6191	0.016898419708013535	-0.09647218	No	
row_43	FUT9	FUT9	6298	0.016460787504911423	-0.09991538	No	
row_44	B3GNT2	B3GNT2	6365	0.01620391383767128	-0.10151105	No	
row_45	CAV2	CAV2	6711	0.014604011550545692	-0.11630542	No	
row_46	SMAGP	SMAGP	6881	0.01389102078974247	-0.122932285	No	
row_47	AXL	AXL	7543	0.011303878389298916	-0.1528127	No	
row_48	LRRFIP2	LRRFIP2	7709	0.010746406391263008	-0.15954195	No	
