NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPARCL1	SPARCL1	0	0.4773944616317749	0.18610285	Yes	
row_1	PMP2	PMP2	15	0.22165721654891968	0.27186212	Yes	
row_2	GATM	GATM	24	0.1828509122133255	0.34277186	Yes	
row_3	SLC1A3	SLC1A3	274	0.09233104437589645	0.36721453	Yes	
row_4	PTPRZ1	PTPRZ1	474	0.07893678545951843	0.38875514	Yes	
row_5	PRCP	PRCP	526	0.07662640511989594	0.4162606	Yes	
row_6	F3	F3	837	0.06461151689291	0.42706767	Yes	
row_7	PON2	PON2	937	0.061966635286808014	0.44663167	Yes	
row_8	ANXA5	ANXA5	993	0.06070738285779953	0.46774587	Yes	
row_9	MT3	MT3	1020	0.06011573597788811	0.4899747	Yes	
row_10	GPM6B	GPM6B	1398	0.05269557610154152	0.49302852	Yes	
row_11	PPAP2B	PPAP2B	1586	0.0500534363090992	0.5038662	Yes	
row_12	TTYH1	TTYH1	1643	0.04923592507839203	0.5204621	Yes	
row_13	FABP7	FABP7	2611	0.03846878185868263	0.49060056	No	
row_14	PLTP	PLTP	3416	0.03211287409067154	0.46582267	No	
row_15	PMP22	PMP22	3640	0.030573120340704918	0.46739632	No	
row_16	ATP1B2	ATP1B2	3756	0.029666103422641754	0.47362638	No	
row_17	BCAN	BCAN	5383	0.02062239870429039	0.4062377	No	
row_18	CLU	CLU	6086	0.017348885536193848	0.38043597	No	
row_19	PCDHGC3	PCDHGC3	7328	0.012180770747363567	0.32761613	No	
row_20	MLC1	MLC1	9469	0.004261671099811792	0.23000574	No	
row_21	GFAP	GFAP	9508	0.004083273466676474	0.22983477	No	
row_22	HOPX	HOPX	10030	0.0022845363710075617	0.20655686	No	
row_23	EDNRB	EDNRB	10682	-4.711302608484402E-5	0.17637622	No	
row_24	HEPN1	HEPN1	11514	-0.0029742142651230097	0.13898669	No	
row_25	RAB31	RAB31	11737	-0.0037437400314956903	0.13014784	No	
row_26	CST3	CST3	14040	-0.01222966518253088	0.028128684	No	
row_27	AQP4	AQP4	14284	-0.013160244561731815	0.021986505	No	
row_28	NDRG2	NDRG2	15120	-0.016607172787189484	-0.010274031	No	
row_29	S100B	S100B	16586	-0.02313443273305893	-0.06921489	No	
row_30	ATP1A2	ATP1A2	18103	-0.03151431307196617	-0.12725483	No	
row_31	DBI	DBI	18135	-0.03180740773677826	-0.11629339	No	
row_32	TSPAN7	TSPAN7	18945	-0.038162995129823685	-0.13894472	No	
row_33	S100A16	S100A16	19089	-0.039460960775613785	-0.1301952	No	
row_34	AGT	AGT	20709	-0.06370630860328674	-0.18046376	No	
row_35	SPARC	SPARC	20960	-0.0712844505906105	-0.16427208	No	
row_36	RAMP1	RAMP1	21272	-0.08819382637739182	-0.14431833	No	
row_37	HEY1	HEY1	21552	-0.1720106154680252	-0.090205796	No	
row_38	METTL7B	METTL7B	21587	-0.23639576137065887	3.7123336E-4	No	
