NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RRM2	RRM2	63	0.14263300597667694	0.14508235	Yes	
row_1	PCNA	PCNA	432	0.08074097335338593	0.21180104	Yes	
row_2	MCM7	MCM7	981	0.06101294234395027	0.2497032	Yes	
row_3	CENPK	CENPK	1184	0.05690385028719902	0.29938382	Yes	
row_4	MCM2	MCM2	1649	0.04918210580945015	0.32890436	Yes	
row_5	KIAA0101	KIAA0101	2165	0.042835529893636703	0.34947476	Yes	
row_6	GINS2	GINS2	3229	0.03349803388118744	0.33494806	Yes	
row_7	HIST1H4C	HIST1H4C	3986	0.028221921995282173	0.32918063	Yes	
row_8	PKMYT1	PKMYT1	4615	0.024570535868406296	0.32555908	Yes	
row_9	MELK	MELK	4775	0.02357281558215618	0.3426474	Yes	
row_10	MCM4	MCM4	4980	0.0225771926343441	0.3566162	Yes	
row_11	MCM3	MCM3	5551	0.019816825166344643	0.35075113	No	
row_12	RRM1	RRM1	6350	0.016251081600785255	0.33061484	No	
row_13	AURKB	AURKB	6928	0.013719633221626282	0.31809843	No	
row_14	RAD51AP1	RAD51AP1	7025	0.01334067527204752	0.32749036	No	
row_15	MLF1IP	MLF1IP	7711	0.01074422337114811	0.3068791	No	
row_16	CKS1B	CKS1B	8557	0.007624688092619181	0.27561247	No	
row_17	FEN1	FEN1	10096	0.002030767500400543	0.20641035	No	
row_18	CDCA5	CDCA5	11443	-0.0027293600142002106	0.14683521	No	
row_19	CENPM	CENPM	13407	-0.009748416021466255	0.06593619	No	
row_20	DUT	DUT	14100	-0.012481920421123505	0.04680351	No	
row_21	ZWINT	ZWINT	15079	-0.016424406319856644	0.018501366	No	
row_22	GMNN	GMNN	16189	-0.02133875899016857	-0.010775209	No	
row_23	TK1	TK1	18246	-0.03258656710386276	-0.07228812	No	
row_24	CCNE2	CCNE2	19671	-0.04554062709212303	-0.091056556	No	
row_25	RNASEH2A	RNASEH2A	20019	-0.05021025240421295	-0.055044465	No	
row_26	TMEM106C	TMEM106C	20103	-0.051367517560720444	-0.005591177	No	
row_27	ASF1B	ASF1B	20979	-0.07201015204191208	0.028560903	No	
