NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NCAPD2	NCAPD2	1848	0.04643496125936508	-0.039568726	No	
row_1	KIF11	KIF11	2139	0.04307139664888382	-0.010198217	No	
row_2	MXD3	MXD3	3689	0.030244208872318268	-0.05199297	No	
row_3	ARL6IP1	ARL6IP1	3747	0.029739078134298325	-0.02506848	No	
row_4	PSRC1	PSRC1	3859	0.029064897447824478	-0.00131965	No	
row_5	CCNA2	CCNA2	4156	0.027274176478385925	0.012065606	No	
row_6	TUBA1C	TUBA1C	4861	0.023174621164798737	0.00244555	No	
row_7	KPNA2	KPNA2	5292	0.021044444292783737	0.0034197557	No	
row_8	TTK	TTK	5590	0.01959686167538166	0.009125207	No	
row_9	GPSM2	GPSM2	5709	0.01904258504509926	0.022584273	No	
row_10	KIFC1	KIFC1	6039	0.017553310841321945	0.024773216	No	
row_11	ARHGAP11A	ARHGAP11A	6249	0.016651121899485588	0.031632543	No	
row_12	KIF4A	KIF4A	6889	0.013867741450667381	0.015774509	No	
row_13	CDC25B	CDC25B	7643	0.011003262363374233	-0.008220661	No	
row_14	SMC4	SMC4	7951	0.009830539114773273	-0.012689634	No	
row_15	H2AFZ	H2AFZ	8156	0.008986501954495907	-0.013219124	No	
row_16	OIP5	OIP5	8775	0.006733978167176247	-0.035195827	No	
row_17	CDCA3	CDCA3	9660	0.003503574524074793	-0.07272556	No	
row_18	SPAG5	SPAG5	9723	0.0032425124663859606	-0.072378084	No	
row_19	CCNB2	CCNB2	10012	0.002331741154193878	-0.08342146	No	
row_20	CDCA8	CDCA8	12489	-0.006381906569004059	-0.19195032	No	
row_21	FOXM1	FOXM1	12671	-0.00702262856066227	-0.19336537	No	
row_22	CKAP2	CKAP2	13638	-0.010601736605167389	-0.22764193	No	
row_23	RACGAP1	RACGAP1	14057	-0.01231115311384201	-0.23479432	No	
row_24	HMGB3	HMGB3	14419	-0.013661036267876625	-0.23796004	No	
row_25	PLK1	PLK1	14628	-0.014461366459727287	-0.23323156	No	
row_26	ECT2	ECT2	16101	-0.020888321101665497	-0.28075626	No	
row_27	CKAP2L	CKAP2L	16650	-0.023422854021191597	-0.28289187	Yes	
row_28	REEP4	REEP4	16943	-0.024977384135127068	-0.2716047	Yes	
row_29	AURKA	AURKA	17242	-0.026633162051439285	-0.25894958	Yes	
row_30	KIF2C	KIF2C	17250	-0.02665361389517784	-0.23277315	Yes	
row_31	CENPF	CENPF	17620	-0.028708169236779213	-0.22134894	Yes	
row_32	BUB1B	BUB1B	17873	-0.030116310343146324	-0.20309642	Yes	
row_33	ANP32E	ANP32E	18050	-0.031164679676294327	-0.1802755	Yes	
row_34	KIF20A	KIF20A	18641	-0.03554714098572731	-0.17230475	Yes	
row_35	TMPO	TMPO	18652	-0.03566214069724083	-0.1373105	Yes	
row_36	CDC20	CDC20	18732	-0.036312784999608994	-0.10487059	Yes	
row_37	BUB1	BUB1	18913	-0.03786814212799072	-0.075570114	Yes	
row_38	TACC3	TACC3	19153	-0.04011343792080879	-0.046774495	Yes	
row_39	CCNB1	CCNB1	19401	-0.04233839362859726	-0.01613781	Yes	
row_40	TROAP	TROAP	20004	-0.04986942932009697	0.005516587	Yes	
row_41	RANGAP1	RANGAP1	20879	-0.06864430755376816	0.03321903	Yes	
