NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANXA2	ANXA2	41	0.1635150909423828	0.04612963	Yes	
row_1	BNIP3L	BNIP3L	60	0.14413362741470337	0.0876334	Yes	
row_2	ERO1L	ERO1L	70	0.14042071998119354	0.12846419	Yes	
row_3	P4HA1	P4HA1	80	0.13506777584552765	0.16772257	Yes	
row_4	SLC6A6	SLC6A6	113	0.11707724630832672	0.20062882	Yes	
row_5	INSIG2	INSIG2	152	0.10738230496644974	0.2304087	Yes	
row_6	PLOD2	PLOD2	157	0.10689873993396759	0.2616245	Yes	
row_7	CA9	CA9	191	0.1011824682354927	0.28981525	Yes	
row_8	ENO2	ENO2	222	0.0966477021574974	0.31681314	Yes	
row_9	NAMPT	NAMPT	433	0.08073107898235321	0.3307817	Yes	
row_10	PPP1R15A	PPP1R15A	477	0.07877901196479797	0.35192734	Yes	
row_11	ADM	ADM	533	0.07621989399194717	0.37176433	Yes	
row_12	SLC2A1	SLC2A1	541	0.07582312822341919	0.39371243	Yes	
row_13	BNIP3	BNIP3	620	0.07188515365123749	0.41120866	Yes	
row_14	PGK1	PGK1	897	0.06292412430047989	0.41688338	Yes	
row_15	SLC2A3	SLC2A3	977	0.06108802556991577	0.43116152	Yes	
row_16	ANGPTL4	ANGPTL4	1289	0.05466584116220474	0.43278602	Yes	
row_17	VIM	VIM	1546	0.05055142194032669	0.43575448	Yes	
row_18	AKAP12	AKAP12	1567	0.050301771610975266	0.44960237	Yes	
row_19	UFM1	UFM1	1675	0.0488702729344368	0.4589921	Yes	
row_20	EPAS1	EPAS1	1753	0.04775400832295418	0.4694462	Yes	
row_21	DNAJB9	DNAJB9	1954	0.04521820694208145	0.473447	Yes	
row_22	LGALS3	LGALS3	2318	0.04094560444355011	0.46862784	No	
row_23	EGLN3	EGLN3	2526	0.03910648822784424	0.47050846	No	
row_24	GBE1	GBE1	2760	0.03726048022508621	0.47064012	No	
row_25	PFKP	PFKP	3701	0.03018953837454319	0.43588272	No	
row_26	XPOT	XPOT	4630	0.02448866330087185	0.4000076	No	
row_27	LDHA	LDHA	5202	0.021531321108341217	0.3798322	No	
row_28	NRN1	NRN1	6540	0.015420781448483467	0.32231164	No	
row_29	HSPA5	HSPA5	9422	0.004463552497327328	0.1899151	No	
row_30	FTL	FTL	9543	0.003920585848391056	0.18549755	No	
row_31	SLC39A14	SLC39A14	10792	-3.8149315514601767E-4	0.12768973	No	
row_32	ATF3	ATF3	11356	-0.002441661898046732	0.10227804	No	
row_33	GOLT1B	GOLT1B	11639	-0.003419908694922924	0.09019496	No	
row_34	TRAM1	TRAM1	13353	-0.009564084932208061	0.013503783	No	
row_35	HERPUD1	HERPUD1	14200	-0.01287147682160139	-0.021978235	No	
row_36	HSPA9	HSPA9	16238	-0.021573469042778015	-0.11017857	No	
row_37	RPL21	RPL21	17015	-0.025309445336461067	-0.13875823	No	
row_38	IGFBP3	IGFBP3	19998	-0.04974451661109924	-0.26254094	No	
row_39	SQSTM1	SQSTM1	20653	-0.06204155832529068	-0.2746685	No	
row_40	DDIT3	DDIT3	20728	-0.064141646027565	-0.2592613	No	
row_41	ASNS	ASNS	20893	-0.06919480860233307	-0.24654666	No	
row_42	CDKN1A	CDKN1A	20989	-0.0723443403840065	-0.22970453	No	
row_43	SERTAD1	SERTAD1	21172	-0.08141283690929413	-0.21423621	No	
row_44	MT1X	MT1X	21257	-0.08727552741765976	-0.19249754	No	
row_45	WARS	WARS	21449	-0.11237740516662598	-0.1683511	No	
row_46	NDRG1	NDRG1	21524	-0.14902964234352112	-0.1280081	No	
row_47	TRIB3	TRIB3	21564	-0.18325233459472656	-0.075987846	No	
row_48	GDF15	GDF15	21592	-0.2634223699569702	1.3922407E-4	No	
