NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAP2	MAP2	145	0.10823791474103928	0.05755183	Yes	
row_1	SEZ6L	SEZ6L	228	0.09634776413440704	0.110966176	Yes	
row_2	NXPH1	NXPH1	253	0.09362131357192993	0.16545321	Yes	
row_3	ABAT	ABAT	806	0.06560263782739639	0.17879449	Yes	
row_4	FXYD6	FXYD6	892	0.06311339139938354	0.21233197	Yes	
row_5	GPR56	GPR56	1019	0.060165565460920334	0.24221586	Yes	
row_6	TCF12	TCF12	1195	0.056586749851703644	0.2677001	Yes	
row_7	STMN1	STMN1	1330	0.053914278745651245	0.2935001	Yes	
row_8	MARCKSL1	MARCKSL1	1500	0.051112931221723557	0.31601197	Yes	
row_9	HIP1	HIP1	1537	0.050664275884628296	0.34443024	Yes	
row_10	OLIG1	OLIG1	1582	0.05011508986353874	0.37215105	Yes	
row_11	TSPAN13	TSPAN13	1696	0.04860229790210724	0.39577097	Yes	
row_12	DBN1	DBN1	1852	0.04641035571694374	0.41613978	Yes	
row_13	HN1	HN1	1966	0.04506063461303711	0.43765634	Yes	
row_14	SCG3	SCG3	2487	0.039410628378391266	0.4369276	Yes	
row_15	MYT1	MYT1	3053	0.03494735807180405	0.43145955	Yes	
row_16	TNR	TNR	3179	0.03381853550672531	0.44574258	Yes	
row_17	TUBB3	TUBB3	3623	0.030678564682602882	0.44340166	Yes	
row_18	TUBA1A	TUBA1A	3634	0.030613740906119347	0.4611188	Yes	
row_19	SERINC5	SERINC5	3806	0.029360156506299973	0.47061905	Yes	
row_20	GLCCI1	GLCCI1	4470	0.025472508743405342	0.45497558	Yes	
row_21	PTPRS	PTPRS	4634	0.024461552500724792	0.4619379	Yes	
row_22	LMF1	LMF1	4686	0.024074247106909752	0.47386837	Yes	
row_23	PFN2	PFN2	4694	0.02403365634381771	0.48781687	Yes	
row_24	BCAN	BCAN	5383	0.02062239870429039	0.46813267	No	
row_25	SOX11	SOX11	5768	0.018792519345879555	0.46147105	No	
row_26	CHD7	CHD7	6015	0.01766783744096756	0.4605464	No	
row_27	NPPA	NPPA	7771	0.010546584613621235	0.3853563	No	
row_28	AMOTL2	AMOTL2	7900	0.010021783411502838	0.3853674	No	
row_29	MLLT11	MLLT11	8092	0.009244519285857677	0.38199288	No	
row_30	BTG2	BTG2	8789	0.00665321433916688	0.35364118	No	
row_31	MEST	MEST	9440	0.004375103861093521	0.3260715	No	
row_32	ASCL1	ASCL1	10271	0.0013362534809857607	0.28834286	No	
row_33	LRRN1	LRRN1	11449	-0.002764471573755145	0.23535736	No	
row_34	BEX1	BEX1	12138	-0.005131032317876816	0.20647296	No	
row_35	CD24	CD24	12357	-0.005931478925049305	0.19987772	No	
row_36	DCX	DCX	12388	-0.006032712757587433	0.20206814	No	
row_37	HES6	HES6	12547	-0.006589197088032961	0.19864826	No	
row_38	DLL1	DLL1	12760	-0.007340306881815195	0.1931682	No	
row_39	SOX4	SOX4	13444	-0.009874041192233562	0.1673327	No	
row_40	SHD	SHD	14332	-0.013321036472916603	0.13407622	No	
row_41	DLL3	DLL3	14605	-0.01437761913985014	0.12999082	No	
row_42	NEU4	NEU4	16227	-0.021514272317290306	0.06753358	No	
row_43	ELMO1	ELMO1	17786	-0.029556909576058388	0.01277679	No	
row_44	ELAVL4	ELAVL4	17794	-0.029616473242640495	0.030040886	No	
row_45	ETV1	ETV1	18514	-0.03463798016309738	0.017241638	No	
row_46	SEZ6	SEZ6	18974	-0.03844881057739258	0.018772816	No	
row_47	PCBP4	PCBP4	20027	-0.050315823405981064	-1.7079119E-4	No	
row_48	GRIK2	GRIK2	20588	-0.06023469567298889	0.009611203	No	
row_49	TAGLN3	TAGLN3	20667	-0.06243511289358139	0.04307075	No	
