NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCRG1	SCRG1	1	0.35992518067359924	0.16168153	Yes	
row_1	PMP2	PMP2	15	0.22165721654891968	0.26067716	Yes	
row_2	TNS3	TNS3	26	0.17842960357666016	0.3403882	Yes	
row_3	FABP5	FABP5	62	0.14340348541736603	0.40320042	Yes	
row_4	VCAN	VCAN	147	0.10793786495923996	0.4478025	Yes	
row_5	PTPRZ1	PTPRZ1	474	0.07893678545951843	0.4681421	Yes	
row_6	FXYD6	FXYD6	892	0.06311339139938354	0.47714826	Yes	
row_7	RNF13	RNF13	1055	0.05949510633945465	0.49636322	Yes	
row_8	NLGN3	NLGN3	1376	0.05300553888082504	0.5053294	Yes	
row_9	GPM6B	GPM6B	1398	0.05269557610154152	0.52803284	Yes	
row_10	OLIG1	OLIG1	1582	0.05011508986353874	0.54205835	Yes	
row_11	TTYH1	TTYH1	1643	0.04923592507839203	0.5613973	Yes	
row_12	APOD	APOD	1728	0.048109281808137894	0.57911617	Yes	
row_13	CNP	CNP	1822	0.0467880554497242	0.59582365	Yes	
row_14	PHYHIPL	PHYHIPL	1884	0.04605626314878464	0.61368746	Yes	
row_15	PGRMC1	PGRMC1	2633	0.03827236220240593	0.5961699	Yes	
row_16	CADM2	CADM2	2782	0.0370638482272625	0.60595536	Yes	
row_17	TNR	TNR	3179	0.03381853550672531	0.6027729	Yes	
row_18	ALCAM	ALCAM	3548	0.031135952100157738	0.5996845	Yes	
row_19	PLP1	PLP1	3671	0.03035501204431057	0.6076621	Yes	
row_20	SERINC5	SERINC5	3806	0.029360156506299973	0.61463577	Yes	
row_21	EPB41L2	EPB41L2	3898	0.028793707489967346	0.6233505	Yes	
row_22	LMF1	LMF1	4686	0.024074247106909752	0.5976432	No	
row_23	LHFPL3	LHFPL3	4996	0.022504430264234543	0.59341455	No	
row_24	THY1	THY1	5296	0.021001767367124557	0.5889748	No	
row_25	BCAN	BCAN	5383	0.02062239870429039	0.5942499	No	
row_26	SIRT2	SIRT2	5580	0.019653066992759705	0.59398437	No	
row_27	OMG	OMG	6713	0.014593090862035751	0.5480053	No	
row_28	PCDHGC3	PCDHGC3	7328	0.012180770747363567	0.52498275	No	
row_29	GPR17	GPR17	7361	0.01206417940557003	0.5289185	No	
row_30	RTKN	RTKN	8045	0.009418593719601631	0.5014525	No	
row_31	P2RX7	P2RX7	8606	0.007448545657098293	0.47880968	No	
row_32	SCD5	SCD5	10206	0.0016402456676587462	0.40533686	No	
row_33	NKAIN4	NKAIN4	10550	4.151366592850536E-4	0.3896047	No	
row_34	HRASLS	HRASLS	10626	1.1105895100627095E-4	0.38617384	No	
row_35	BCAS1	BCAS1	10662	3.6780792811441643E-7	0.38454965	No	
row_36	LIMA1	LIMA1	11174	-0.0017901815008372068	0.36163846	No	
row_37	RAB31	RAB31	11737	-0.0037437400314956903	0.33723813	No	
row_38	FGF12	FGF12	12435	-0.006200839299708605	0.30767652	No	
row_39	CA10	CA10	13883	-0.011541221290826797	0.2457069	No	
row_40	LPPR1	LPPR1	14239	-0.012991059571504593	0.23506866	No	
row_41	PSAT1	PSAT1	14297	-0.013209645636379719	0.23835887	No	
row_42	FIBIN	FIBIN	15681	-0.018972251564264297	0.18269856	No	
row_43	NEU4	NEU4	16227	-0.021514272317290306	0.16707219	No	
row_44	CNTN1	CNTN1	17931	-0.030501943081617355	0.10174134	No	
row_45	DBI	DBI	18135	-0.03180740773677826	0.10661234	No	
row_46	PLLP	PLLP	18644	-0.03557509556412697	0.099021204	No	
row_47	TMEM206	TMEM206	19314	-0.04153117537498474	0.086634316	No	
row_48	GPR37L1	GPR37L1	19426	-0.04268692061305046	0.10066363	No	
