NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FSTL1	FSTL1	10	0.23403145372867584	0.04184746	Yes	
row_1	FEZ1	FEZ1	46	0.1541518121957779	0.06808704	Yes	
row_2	AGPAT5	AGPAT5	54	0.14846965670585632	0.09460451	Yes	
row_3	MAP2	MAP2	145	0.10823791474103928	0.10997885	Yes	
row_4	TMPRSS5	TMPRSS5	205	0.09967580437660217	0.12525022	Yes	
row_5	CD44	CD44	281	0.09177549928426743	0.13834733	Yes	
row_6	TIMP4	TIMP4	300	0.09040951728820801	0.15385458	Yes	
row_7	GPRC5B	GPRC5B	412	0.0819811299443245	0.16350268	Yes	
row_8	RGS20	RGS20	422	0.08131804317235947	0.1777857	Yes	
row_9	PTPRZ1	PTPRZ1	474	0.07893678545951843	0.18968031	Yes	
row_10	MAP2K5	MAP2K5	598	0.07291550189256668	0.19712992	Yes	
row_11	RAP1GAP	RAP1GAP	716	0.06896025687456131	0.20414412	Yes	
row_12	ABAT	ABAT	806	0.06560263782739639	0.21185648	Yes	
row_13	FZD7	FZD7	872	0.0637008473277092	0.22034377	Yes	
row_14	IDH1	IDH1	946	0.06186670437455177	0.22812651	Yes	
row_15	STARD7	STARD7	985	0.06095832586288452	0.23737657	Yes	
row_16	NLGN3	NLGN3	1376	0.05300553888082504	0.22878002	Yes	
row_17	MARCKSL1	MARCKSL1	1500	0.051112931221723557	0.23228766	Yes	
row_18	HIP1	HIP1	1537	0.050664275884628296	0.23976976	Yes	
row_19	AKAP12	AKAP12	1567	0.050301771610975266	0.24751262	Yes	
row_20	TRIM24	TRIM24	1626	0.04943671450018883	0.25374722	Yes	
row_21	TTYH1	TTYH1	1643	0.04923592507839203	0.26190338	Yes	
row_22	TBKBP1	TBKBP1	2423	0.0398121140897274	0.2327879	No	
row_23	HOMER1	HOMER1	2532	0.039072129875421524	0.23481777	No	
row_24	RASSF2	RASSF2	2595	0.03854756057262421	0.23889711	No	
row_25	SLC38A3	SLC38A3	2610	0.03847486153244972	0.24520087	No	
row_26	GAB1	GAB1	2731	0.03748185932636261	0.24638383	No	
row_27	IRS1	IRS1	2945	0.03582964837551117	0.2429328	No	
row_28	LGI2	LGI2	3051	0.03495294600725174	0.24435775	No	
row_29	PIK3R2	PIK3R2	3383	0.032347358763217926	0.23477645	No	
row_30	GPR19	GPR19	3404	0.03219566121697426	0.23966521	No	
row_31	ART3	ART3	3407	0.03217872232198715	0.24539	No	
row_32	ANXA2P1	ANXA2P1	3622	0.030686816200613976	0.2409625	No	
row_33	TUBA1A	TUBA1A	3634	0.030613740906119347	0.2459848	No	
row_34	NME4	NME4	3854	0.029087793081998825	0.24103512	No	
row_35	CSPG5	CSPG5	4138	0.027394188567996025	0.23279583	No	
row_36	KANK1	KANK1	4147	0.02734379842877388	0.23736675	No	
row_37	SLC4A4	SLC4A4	4538	0.02508818544447422	0.22372265	No	
row_38	LMF1	LMF1	4686	0.024074247106909752	0.22122285	No	
row_39	ELL2	ELL2	4749	0.023762419819831848	0.22262898	No	
row_40	BMP2K	BMP2K	4816	0.02337171696126461	0.22377802	No	
row_41	LAPTM4B	LAPTM4B	4918	0.022876469418406487	0.22320598	No	
row_42	RLBP1	RLBP1	4923	0.022865498438477516	0.22715367	No	
row_43	TUBB2B	TUBB2B	5145	0.021755004301667213	0.22078498	No	
row_44	BCAN	BCAN	5383	0.02062239870429039	0.21346565	No	
row_45	RBBP9	RBBP9	5387	0.020593101158738136	0.21704909	No	
row_46	PNMA2	PNMA2	5558	0.01978938654065132	0.21270241	No	
row_47	ATP9B	ATP9B	5737	0.018912505358457565	0.20782426	No	
row_48	SOX11	SOX11	5768	0.018792519345879555	0.20982353	No	
row_49	CCND2	CCND2	5948	0.01793711632490158	0.2047224	No	
row_50	FAM114A1	FAM114A1	6037	0.017557760700583458	0.20379473	No	
row_51	ATXN10	ATXN10	6197	0.016892235726118088	0.19943699	No	
row_52	SRGN	SRGN	6201	0.01687547378242016	0.20234829	No	
row_53	MMP16	MMP16	6212	0.016818787902593613	0.20492302	No	
row_54	FSCN1	FSCN1	6351	0.01624499075114727	0.2014272	No	
row_55	IFFO1	IFFO1	6493	0.015593909658491611	0.19767381	No	
row_56	RAF1	RAF1	7096	0.013040140271186829	0.17196886	No	
row_57	ENDOG	ENDOG	7176	0.012738377787172794	0.17058936	No	
row_58	CREB5	CREB5	7363	0.012060047127306461	0.16409934	No	
row_59	APBB2	APBB2	7413	0.01183351781219244	0.1639547	No	
row_60	PHLPP1	PHLPP1	7598	0.011143047362565994	0.15739211	No	
row_61	QDPR	QDPR	7721	0.01072434801608324	0.153644	No	
row_62	GLDC	GLDC	8451	0.007919696159660816	0.12109305	No	
row_63	TRIB2	TRIB2	8647	0.0072923628613352776	0.11332147	No	
row_64	BCAR3	BCAR3	8862	0.006415568292140961	0.104505666	No	
row_65	SYT11	SYT11	8998	0.005949542857706547	0.09928824	No	
row_66	PODXL2	PODXL2	9226	0.005142026115208864	0.08963617	No	
row_67	ST3GAL6	ST3GAL6	9471	0.004251967184245586	0.07903071	No	
row_68	SLC19A3	SLC19A3	9618	0.0036433222703635693	0.07288355	No	
row_69	PRDM8	PRDM8	10100	0.001997455023229122	0.050822537	No	
row_70	SDC2	SDC2	10134	0.001932983286678791	0.049633708	No	
row_71	NKX2-2	NKX2-2	10172	0.001788225257769227	0.048232246	No	
row_72	ASCL1	ASCL1	10271	0.0013362534809857607	0.043905504	No	
row_73	SPATA6	SPATA6	10570	3.4514672006480396E-4	0.03007643	No	
row_74	NFAT5	NFAT5	10594	2.371328155277297E-4	0.029047143	No	
row_75	HLA-DPA1	HLA-DPA1	10851	-5.555118550546467E-4	0.017213963	No	
row_76	GPD1L	GPD1L	11158	-0.0017239998560398817	0.0032612626	No	
row_77	RBM38	RBM38	11197	-0.001838778960518539	0.0018223228	No	
row_78	TRAF4	TRAF4	11386	-0.002551925601437688	-0.0064800326	No	
row_79	VEGFC	VEGFC	11392	-0.002575122518464923	-0.006247521	No	
row_80	MYOF	MYOF	11422	-0.0026695409324020147	-0.007116715	No	
row_81	NOVA1	NOVA1	11602	-0.0032858001068234444	-0.014866842	No	
row_82	C1orf61	C1orf61	12173	-0.005263639148324728	-0.04048611	No	
row_83	POLR2F	POLR2F	12347	-0.0059078149497509	-0.047482472	No	
row_84	PPFIBP2	PPFIBP2	12472	-0.006330509204417467	-0.052118246	No	
row_85	GCNT1	GCNT1	12523	-0.00651716161519289	-0.053270705	No	
row_86	RAB27A	RAB27A	12626	-0.0068625276908278465	-0.05678474	No	
row_87	PTGS2	PTGS2	13295	-0.009355480782687664	-0.08623253	No	
row_88	COL4A6	COL4A6	13642	-0.010615375824272633	-0.10044227	No	
row_89	DUSP6	DUSP6	13939	-0.01174357533454895	-0.11211724	No	
row_90	MFAP2	MFAP2	14033	-0.012182730250060558	-0.114249825	No	
row_91	VASH1	VASH1	14254	-0.013044901192188263	-0.12214672	No	
row_92	BNC2	BNC2	14603	-0.01436825655400753	-0.13577116	No	
row_93	SLIT2	SLIT2	14812	-0.015238785184919834	-0.142712	No	
row_94	ZNF544	ZNF544	15182	-0.01681581512093544	-0.15687284	No	
row_95	NES	NES	15616	-0.018668146803975105	-0.17368218	No	
row_96	PTGER4	PTGER4	15657	-0.018849777057766914	-0.1721387	No	
row_97	TBC1D22B	TBC1D22B	15797	-0.01956285908818245	-0.17508127	No	
row_98	FRMPD1	FRMPD1	16019	-0.020539432764053345	-0.18166974	No	
row_99	S100B	S100B	16586	-0.02313443273305893	-0.20387146	No	
row_100	ATP6V0E2	ATP6V0E2	17041	-0.025475554168224335	-0.22042893	No	
row_101	RASL12	RASL12	17174	-0.026305459439754486	-0.22182609	No	
row_102	CHST11	CHST11	17182	-0.02632925659418106	-0.21739198	No	
row_103	SYT17	SYT17	17215	-0.026504386216402054	-0.21409161	No	
row_104	BAALC	BAALC	17290	-0.026897236704826355	-0.21267807	No	
row_105	GPR68	GPR68	17317	-0.027041349560022354	-0.20900092	No	
row_106	CGREF1	CGREF1	17387	-0.02738487720489502	-0.20726612	No	
row_107	BCHE	BCHE	17823	-0.029815910384058952	-0.22215314	No	
row_108	GNAZ	GNAZ	17833	-0.029863420873880386	-0.2171733	No	
row_109	RRAS2	RRAS2	17842	-0.029900066554546356	-0.21214019	No	
row_110	SNX27	SNX27	17859	-0.03000817261636257	-0.20746046	No	
row_111	DBI	DBI	18135	-0.03180740773677826	-0.2145289	No	
row_112	RAPGEF4	RAPGEF4	18137	-0.031827714294195175	-0.20882097	No	
row_113	NINJ2	NINJ2	18188	-0.03224492073059082	-0.20532177	No	
row_114	MAP3K1	MAP3K1	18630	-0.03547431156039238	-0.21946543	No	
row_115	VGLL4	VGLL4	18637	-0.03553290665149689	-0.21332067	No	
row_116	PLLP	PLLP	18644	-0.03557509556412697	-0.20716828	No	
row_117	LEPROTL1	LEPROTL1	18666	-0.03576340898871422	-0.20168106	No	
row_118	CCDC28B	CCDC28B	18891	-0.037709206342697144	-0.20530504	No	
row_119	GOLM1	GOLM1	18963	-0.038367193192243576	-0.20167784	No	
row_120	TMEM206	TMEM206	19314	-0.04153117537498474	-0.21048439	No	
row_121	P4HA2	P4HA2	19472	-0.043228138238191605	-0.20998727	No	
row_122	CAST	CAST	19519	-0.04376640170812607	-0.20421848	No	
