NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC16A3	SLC16A3	31	0.1734684556722641	0.028395602	No	
row_1	COL4A2	COL4A2	76	0.13888335227966309	0.05023653	No	
row_2	C1R	C1R	108	0.12038913369178772	0.06950162	No	
row_3	SALL4	SALL4	123	0.11402976512908936	0.088464566	No	
row_4	FAM20C	FAM20C	128	0.11223737895488739	0.10758493	No	
row_5	SOCS3	SOCS3	538	0.07602852582931519	0.101614125	No	
row_6	COL4A1	COL4A1	732	0.06834334135055542	0.104381435	No	
row_7	RHOJ	RHOJ	899	0.06272924691438675	0.10744053	No	
row_8	TWF1	TWF1	911	0.062488071620464325	0.117677175	No	
row_9	FLNA	FLNA	933	0.062056828290224075	0.1273739	No	
row_10	EFEMP2	EFEMP2	1047	0.05965815484523773	0.13237317	No	
row_11	ANGPTL4	ANGPTL4	1289	0.05466584116220474	0.13055214	No	
row_12	OSMR	OSMR	1457	0.05175228789448738	0.13167645	No	
row_13	JUNB	JUNB	1660	0.04900744557380676	0.13069849	No	
row_14	EPAS1	EPAS1	1753	0.04775400832295418	0.13462812	No	
row_15	THBD	THBD	1759	0.0475832037627697	0.14258033	No	
row_16	NRP2	NRP2	1947	0.04527978599071503	0.14165977	No	
row_17	SHC1	SHC1	2099	0.043510422110557556	0.14211152	No	
row_18	BCL3	BCL3	2307	0.04107200726866722	0.13953568	No	
row_19	RYR3	RYR3	2410	0.0399613231420517	0.14165908	No	
row_20	C15orf52	C15orf52	2436	0.03970778360962868	0.14732511	No	
row_21	ANPEP	ANPEP	2706	0.03770705685019493	0.14128281	No	
row_22	PDLIM7	PDLIM7	3162	0.03390522673726082	0.1259237	No	
row_23	PDGFRL	PDGFRL	3174	0.03384329378604889	0.13123298	No	
row_24	PARP10	PARP10	3573	0.030940189957618713	0.11801856	No	
row_25	ACTA2	ACTA2	3608	0.030759453773498535	0.121726155	No	
row_26	FES	FES	3658	0.030456336215138435	0.124683	No	
row_27	C1QTNF1	C1QTNF1	3773	0.029577210545539856	0.12446128	No	
row_28	STEAP3	STEAP3	3794	0.0294268149882555	0.12859167	No	
row_29	SLC12A9	SLC12A9	3874	0.0289424080401659	0.12989086	No	
row_30	BACE2	BACE2	3897	0.028800325468182564	0.13382035	No	
row_31	LPAR1	LPAR1	3933	0.028575202450156212	0.13710564	No	
row_32	TPP1	TPP1	4503	0.025283487513661385	0.11495396	No	
row_33	TRIM56	TRIM56	4505	0.025280004367232323	0.11925596	No	
row_34	MYL9	MYL9	4571	0.024866539984941483	0.12050607	No	
row_35	FPR2	FPR2	4676	0.024177098646759987	0.11982118	No	
row_36	SGSH	SGSH	4705	0.023979488760232925	0.122641966	No	
row_37	KLF16	KLF16	4901	0.022952640429139137	0.11750817	No	
row_38	GGN	GGN	5113	0.021906264126300812	0.111449204	No	
row_39	DEF6	DEF6	5581	0.01965230703353882	0.093079455	No	
row_40	PVRL2	PVRL2	5908	0.01816979981958866	0.08102169	No	
row_41	NRP1	NRP1	6636	0.01499556377530098	0.049741544	No	
row_42	FLT1	FLT1	6853	0.014025449752807617	0.04209407	No	
row_43	HK3	HK3	7250	0.012484014965593815	0.025798041	No	
row_44	DLC1	DLC1	8159	0.008977929130196571	-0.014947208	No	
row_45	VWA1	VWA1	8282	0.008549719117581844	-0.019158598	No	
row_46	IL32	IL32	8306	0.008469165302813053	-0.018772976	No	
row_47	SHROOM3	SHROOM3	8405	0.008083397522568703	-0.021946795	No	
row_48	CD248	CD248	8480	0.007861603051424026	-0.02404098	No	
row_49	PDGFA	PDGFA	9046	0.0058003817684948444	-0.049357783	No	
row_50	PLA2G5	PLA2G5	9825	0.0028652260079979897	-0.08509984	No	
row_51	SLC39A8	SLC39A8	10462	6.723421392962337E-4	-0.11460554	No	
row_52	TAGLN	TAGLN	10574	3.1086403760127723E-4	-0.11972182	No	
row_53	MAP2K3	MAP2K3	10600	2.086292370222509E-4	-0.1208503	No	
row_54	RRBP1	RRBP1	10959	-9.77006508037448E-4	-0.1373559	No	
row_55	FOSL2	FOSL2	11178	-0.0018030310748144984	-0.14719898	No	
row_56	RUNX1	RUNX1	11533	-0.003045005025342107	-0.16316253	No	
row_57	CA12	CA12	12657	-0.006977207958698273	-0.21426545	No	
row_58	SERPINA1	SERPINA1	12892	-0.007843062281608582	-0.22381473	No	
row_59	CD97	CD97	12979	-0.008180636912584305	-0.22641294	No	
row_60	FCGR2C	FCGR2C	13021	-0.008323169313371181	-0.22689076	No	
row_61	CECR2	CECR2	13164	-0.008852362632751465	-0.23198159	No	
row_62	ACTN1	ACTN1	13245	-0.009130585938692093	-0.23413692	No	
row_63	CD151	CD151	13304	-0.009378071874380112	-0.23522507	No	
row_64	FAM38A	FAM38A	13376	-0.009639512747526169	-0.2368737	No	
row_65	TRIM47	TRIM47	13644	-0.010644632391631603	-0.24747802	No	
row_66	PI3	PI3	13838	-0.01138223335146904	-0.25450897	No	
row_67	HRH1	HRH1	14572	-0.014257531613111496	-0.28619552	No	
row_68	ANGPT2	ANGPT2	14888	-0.015581872314214706	-0.29818612	No	
row_69	LRRC32	LRRC32	15357	-0.017521867528557777	-0.31696892	No	
row_70	TRABD	TRABD	15409	-0.01773805171251297	-0.31629297	No	
row_71	NCLN	NCLN	15460	-0.017918696627020836	-0.3155394	No	
row_72	ECE1	ECE1	15587	-0.018531575798988342	-0.31822005	No	
row_73	MYH9	MYH9	15863	-0.019878968596458435	-0.3276085	No	
row_74	RAB34	RAB34	15885	-0.020007619634270668	-0.32514492	No	
row_75	GPR116	GPR116	16131	-0.02106570452451706	-0.33293203	No	
row_76	PDPN	PDPN	16322	-0.021952617913484573	-0.33800495	No	
row_77	ITGA7	ITGA7	16442	-0.022462403401732445	-0.3396834	No	
row_78	TNC	TNC	16569	-0.02307998389005661	-0.34158167	No	
row_79	PMEPA1	PMEPA1	17051	-0.025508280843496323	-0.35959613	No	
row_80	ESM1	ESM1	17075	-0.025677895173430443	-0.35625032	No	
row_81	ICAM1	ICAM1	17117	-0.0259732436388731	-0.35369205	No	
row_82	LRRC29	LRRC29	17347	-0.027188213542103767	-0.3596808	No	
row_83	C22orf26	C22orf26	17724	-0.029268672689795494	-0.37215808	No	
row_84	SBNO2	SBNO2	17893	-0.03024066425859928	-0.3747807	No	
row_85	MVP	MVP	18318	-0.03305135667324066	-0.3888429	No	
row_86	IFITM2	IFITM2	18618	-0.03541950881481171	-0.39667594	No	
row_87	FGG	FGG	18706	-0.03612958639860153	-0.39451304	No	
row_88	TNFRSF10D	TNFRSF10D	18900	-0.037761490792036057	-0.3970063	No	
row_89	HOMER3	HOMER3	19026	-0.03887343779206276	-0.39614123	No	
row_90	IFITM3	IFITM3	19155	-0.04013131558895111	-0.39519954	No	
row_91	NEURL2	NEURL2	19573	-0.04441256448626518	-0.40698138	Yes	
row_92	PLAUR	PLAUR	19606	-0.044755719602108	-0.40077305	Yes	
row_93	C1RL	C1RL	19665	-0.045510318130254745	-0.39564586	Yes	
row_94	UNC93B1	UNC93B1	19712	-0.04590657353401184	-0.3898916	Yes	
row_95	TTC38	TTC38	19716	-0.04598566144704819	-0.38212103	Yes	
row_96	EMP3	EMP3	19792	-0.04706040397286415	-0.37751895	Yes	
row_97	ITGA5	ITGA5	20099	-0.051315806806087494	-0.3829436	Yes	
row_98	HSD3B7	HSD3B7	20165	-0.05205956846475601	-0.37701583	Yes	
row_99	LZTS1	LZTS1	20169	-0.052225228399038315	-0.36817196	Yes	
row_100	PTRF	PTRF	20222	-0.053231846541166306	-0.36143708	Yes	
row_101	OSBPL3	OSBPL3	20251	-0.05380365252494812	-0.35348606	Yes	
row_102	FBN1	FBN1	20442	-0.05692106857895851	-0.35254386	Yes	
row_103	ZYX	ZYX	20520	-0.058598920702934265	-0.3460501	Yes	
row_104	PLEKHF1	PLEKHF1	20606	-0.06053897738456726	-0.33959526	Yes	
row_105	RRAS	RRAS	20702	-0.0635065883398056	-0.33309564	Yes	
row_106	SLC25A37	SLC25A37	20764	-0.06523633003234863	-0.324715	Yes	
row_107	FGFRL1	FGFRL1	20784	-0.06563594937324524	-0.31430945	Yes	
row_108	SERPINH1	SERPINH1	20869	-0.06820686906576157	-0.306489	Yes	
row_109	MMP14	MMP14	20926	-0.07020095735788345	-0.29702145	Yes	
row_110	EHD2	EHD2	20980	-0.0720832347869873	-0.2870904	Yes	
row_111	TIMP1	TIMP1	21029	-0.07385212182998657	-0.2766222	Yes	
row_112	S100A11	S100A11	21047	-0.07459999620914459	-0.26458156	Yes	
row_113	EFNB2	EFNB2	21255	-0.08709291368722916	-0.25924107	Yes	
row_114	PAPPA	PAPPA	21297	-0.09048043191432953	-0.2455865	Yes	
row_115	PDLIM4	PDLIM4	21316	-0.09245921671390533	-0.23052034	Yes	
row_116	SLC22A18	SLC22A18	21336	-0.09561443328857422	-0.21495801	Yes	
row_117	LIF	LIF	21404	-0.10507544875144958	-0.2000038	Yes	
row_118	SPOCD1	SPOCD1	21473	-0.11840701103210449	-0.18280293	Yes	
row_119	PLAU	PLAU	21507	-0.14088474214076996	-0.1601054	Yes	
row_120	EMP1	EMP1	21515	-0.1445559561252594	-0.13556544	Yes	
row_121	SERPINE1	SERPINE1	21554	-0.1732446402311325	-0.107534364	Yes	
row_122	CHI3L1	CHI3L1	21572	-0.19383306801319122	-0.07498368	Yes	
row_123	ITGA3	ITGA3	21577	-0.2052009552717209	-0.039872054	Yes	
row_124	METTL7B	METTL7B	21587	-0.23639576137065887	3.7271122E-4	Yes	
