NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NTRK2	NTRK2	14	0.22479523718357086	0.027363487	Yes	
row_1	GRIA2	GRIA2	27	0.17832405865192413	0.049028367	Yes	
row_2	HEY2	HEY2	45	0.15538179874420166	0.067599736	Yes	
row_3	PCSK1N	PCSK1N	67	0.1423977166414261	0.08436559	Yes	
row_4	TPM1	TPM1	120	0.11554978787899017	0.096334465	Yes	
row_5	TMEM100	TMEM100	139	0.11041561514139175	0.10925443	Yes	
row_6	RTN1	RTN1	141	0.10975489020347595	0.12288755	Yes	
row_7	SNRPN	SNRPN	196	0.10032501816749573	0.1328652	Yes	
row_8	SEZ6L	SEZ6L	228	0.09634776413440704	0.14342342	Yes	
row_9	WNT7B	WNT7B	257	0.09315182268619537	0.15372367	Yes	
row_10	TIMP4	TIMP4	300	0.09040951728820801	0.163027	Yes	
row_11	FBXO2	FBXO2	380	0.08332588523626328	0.16971602	Yes	
row_12	GPRC5B	GPRC5B	412	0.0819811299443245	0.17848356	Yes	
row_13	SLIT1	SLIT1	417	0.08176008611917496	0.18848701	Yes	
row_14	SOX8	SOX8	446	0.08026400953531265	0.19718091	Yes	
row_15	THRA	THRA	447	0.0802345797419548	0.2071814	Yes	
row_16	GRIA1	GRIA1	461	0.07958167791366577	0.21649218	Yes	
row_17	NCAM1	NCAM1	549	0.07544352859258652	0.22182438	Yes	
row_18	ATP6V1G2	ATP6V1G2	568	0.07425375282764435	0.23023711	Yes	
row_19	GAD1	GAD1	699	0.06942642480134964	0.23280716	Yes	
row_20	TMEM59L	TMEM59L	704	0.06932574510574341	0.24126078	Yes	
row_21	IL17D	IL17D	747	0.0677284374833107	0.24773712	Yes	
row_22	GAB2	GAB2	865	0.06400729715824127	0.25024006	Yes	
row_23	FXYD6	FXYD6	892	0.06311339139938354	0.2568899	Yes	
row_24	SLITRK5	SLITRK5	1282	0.05480756238102913	0.24551806	Yes	
row_25	NUMA1	NUMA1	1291	0.05460915341973305	0.2519502	Yes	
row_26	B3GAT1	B3GAT1	1387	0.052836354821920395	0.25409028	Yes	
row_27	CRYAB	CRYAB	1460	0.0517146922647953	0.25716683	Yes	
row_28	RASSF4	RASSF4	1475	0.05152016505599022	0.2629332	Yes	
row_29	OLIG1	OLIG1	1582	0.05011508986353874	0.26421937	Yes	
row_30	TTYH1	TTYH1	1643	0.04923592507839203	0.26754847	Yes	
row_31	CCNK	CCNK	1657	0.04906472936272621	0.2730556	Yes	
row_32	FSD1	FSD1	1702	0.048469528555870056	0.27703792	Yes	
row_33	ABLIM1	ABLIM1	1755	0.047688305377960205	0.28054848	Yes	
row_34	NAP1L3	NAP1L3	1773	0.047345925122499466	0.28565422	Yes	
row_35	PHYHIPL	PHYHIPL	1884	0.04605626314878464	0.28624728	Yes	
row_36	ZDHHC22	ZDHHC22	2064	0.0439855121076107	0.28335345	No	
row_37	GABBR2	GABBR2	2168	0.04278285801410675	0.28386608	No	
row_38	SCG3	SCG3	2487	0.039410628378391266	0.27389756	No	
row_39	RAC3	RAC3	2573	0.03876229375600815	0.2747514	No	
row_40	LUZP2	LUZP2	2596	0.03854551911354065	0.27852625	No	
row_41	PAR5	PAR5	2609	0.03848256170749664	0.2827612	No	
row_42	KIF1A	KIF1A	2966	0.03566659986972809	0.27054784	No	
row_43	TMOD2	TMOD2	2986	0.03545087203383446	0.27407736	No	
row_44	IKZF5	IKZF5	3062	0.03485104814171791	0.2749116	No	
row_45	DPP10	DPP10	3243	0.03342152759432793	0.2706543	No	
row_46	C1QL1	C1QL1	3268	0.033181577920913696	0.27366698	No	
row_47	FLRT1	FLRT1	3282	0.03308752551674843	0.2771827	No	
row_48	PLCB1	PLCB1	3312	0.03287011757493019	0.2799226	No	
row_49	DUSP26	DUSP26	3426	0.032043248414993286	0.2786287	No	
row_50	KCNQ5	KCNQ5	3550	0.031122619286179543	0.2767521	No	
row_51	F2	F2	3629	0.03063902258872986	0.276921	No	
row_52	KCNN3	KCNN3	3764	0.029612483456730843	0.27434146	No	
row_53	RIPPLY2	RIPPLY2	3779	0.029534898698329926	0.27736756	No	
row_54	HSPA12A	HSPA12A	3805	0.02937445417046547	0.27985895	No	
row_55	EPB41L2	EPB41L2	3898	0.028793707489967346	0.27914274	No	
row_56	CMTM5	CMTM5	4051	0.027902260422706604	0.27550772	No	
row_57	WDR86	WDR86	4055	0.02789810299873352	0.27884457	No	
row_58	ZNF488	ZNF488	4056	0.027898000553250313	0.28232178	No	
row_59	GNAO1	GNAO1	4075	0.027808405458927155	0.28494555	No	
row_60	C11orf2	C11orf2	4129	0.027467289939522743	0.28588897	No	
row_61	psiTPTE22	psiTPTE22	4259	0.02669704705476761	0.28318	No	
row_62	LRRC4	LRRC4	4274	0.026600094512104988	0.28584033	No	
row_63	GRID1	GRID1	4446	0.02557583898305893	0.28102624	No	
row_64	CALCRL	CALCRL	4891	0.023000402376055717	0.26311624	No	
