NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RRM2	RRM2	63	0.14263300597667694	0.024280503	Yes	
row_1	CREBZF	CREBZF	179	0.10332512110471725	0.03863126	Yes	
row_2	MAD2L1	MAD2L1	202	0.09991568326950073	0.05667326	Yes	
row_3	WEE1	WEE1	311	0.08907094597816467	0.06863039	Yes	
row_4	CDCA7	CDCA7	312	0.08905850350856781	0.0856274	Yes	
row_5	PEG10	PEG10	381	0.0833171159029007	0.0983539	Yes	
row_6	SMC2	SMC2	426	0.08112194389104843	0.11178195	Yes	
row_7	PCNA	PCNA	432	0.08074097335338593	0.1269581	Yes	
row_8	ABHD3	ABHD3	452	0.08006835728883743	0.14135225	Yes	
row_9	MNS1	MNS1	487	0.07841327041387558	0.15473022	Yes	
row_10	TMEM14B	TMEM14B	540	0.07583867758512497	0.16677643	Yes	
row_11	PAIP1	PAIP1	754	0.06749849766492844	0.16971423	Yes	
row_12	TOM1L1	TOM1L1	778	0.06692744791507721	0.18141367	Yes	
row_13	C3orf14	C3orf14	894	0.0630289688706398	0.18807381	Yes	
row_14	CENPK	CENPK	1184	0.05690385028719902	0.18544134	Yes	
row_15	CDKN2C	CDKN2C	1496	0.05122719332575798	0.18069835	Yes	
row_16	ACN9	ACN9	1589	0.049933116883039474	0.18593293	Yes	
row_17	DBF4	DBF4	1593	0.049890946596860886	0.19531468	Yes	
row_18	MCM2	MCM2	1649	0.04918210580945015	0.20213337	Yes	
row_19	FBXO5	FBXO5	1778	0.04727828502655029	0.20518053	Yes	
row_20	GGH	GGH	1825	0.04672125354409218	0.21194975	Yes	
row_21	YEATS4	YEATS4	1843	0.04647836089134216	0.22002657	Yes	
row_22	ANKRD32	ANKRD32	2050	0.04413876309990883	0.21883291	Yes	
row_23	DONSON	DONSON	2132	0.04318273067474365	0.22329274	Yes	
row_24	KIAA0101	KIAA0101	2165	0.042835529893636703	0.22997399	Yes	
row_25	EZH2	EZH2	2191	0.042530179023742676	0.23692378	Yes	
row_26	GINS1	GINS1	2208	0.04233274981379509	0.24425608	Yes	
row_27	LRIG3	LRIG3	2227	0.04202849790453911	0.25143692	Yes	
row_28	CHEK1	CHEK1	2240	0.041908442974090576	0.25887498	Yes	
row_29	CENPL	CENPL	2302	0.041165951639413834	0.26388368	Yes	
row_30	TOP2A	TOP2A	2371	0.04038573428988457	0.2684166	Yes	
row_31	KNTC1	KNTC1	2490	0.039380062371492386	0.27042326	Yes	
row_32	TCF19	TCF19	2561	0.03885921090841293	0.2745715	Yes	
row_33	MND1	MND1	2576	0.03875221684575081	0.2813138	Yes	
row_34	PPIG	PPIG	2685	0.03786681219935417	0.28349853	Yes	
row_35	FANCI	FANCI	2860	0.03644732013344765	0.28233096	Yes	
row_36	CEP152	CEP152	3043	0.0349784754216671	0.28050953	Yes	
row_37	CDK2	CDK2	3158	0.03399099409580231	0.2816744	Yes	
row_38	XRCC4	XRCC4	3187	0.03376726433634758	0.2868117	Yes	
row_39	GINS2	GINS2	3229	0.03349803388118744	0.2912907	Yes	
row_40	ITGA2	ITGA2	3297	0.03298391401767731	0.2944577	Yes	
row_41	PLK4	PLK4	3684	0.030264059081673622	0.28221226	No	
row_42	CCNA2	CCNA2	4156	0.027274176478385925	0.2654278	No	
row_43	LMNB1	LMNB1	4174	0.027155864983797073	0.26981685	No	
row_44	ZWILCH	ZWILCH	4254	0.026713749393820763	0.2712269	No	
row_45	TEX9	TEX9	4258	0.026698609814047813	0.27618232	No	
row_46	NPHP1	NPHP1	4384	0.025956682860851288	0.2753003	No	
row_47	RFC4	RFC4	4622	0.02453923411667347	0.26891872	No	
row_48	MELK	MELK	4775	0.02357281558215618	0.26632112	No	
row_49	DSN1	DSN1	4986	0.02255335822701454	0.2608211	No	
row_50	CDC6	CDC6	5067	0.02215626649558544	0.2613147	No	
row_51	ATG12	ATG12	5450	0.020337559282779694	0.24736151	No	
row_52	PABPC4L	PABPC4L	5465	0.020241396501660347	0.250571	No	
row_53	TRMT6	TRMT6	5514	0.020022403448820114	0.2521513	No	
row_54	TTK	TTK	5590	0.01959686167538166	0.25238985	No	
row_55	CENPA	CENPA	5748	0.018869711086153984	0.24866123	No	
row_56	TTC12	TTC12	5781	0.018750369548797607	0.2507458	No	
row_57	USP1	USP1	5854	0.018409550189971924	0.2508978	No	
row_58	CDC25C	CDC25C	6238	0.016695525497198105	0.23620285	No	
row_59	HMGB2	HMGB2	6285	0.016512397676706314	0.23720665	No	
row_60	RRM1	RRM1	6350	0.016251081600785255	0.2373202	No	
row_61	CCDC34	CCDC34	6358	0.01622181385755539	0.24008936	No	
row_62	ORC6L	ORC6L	6391	0.016072217375040054	0.24166277	No	
row_63	SHFM1	SHFM1	6565	0.015320084989070892	0.2365097	No	
row_64	NASP	NASP	6833	0.014082949608564377	0.2267319	No	
row_65	KIF4A	KIF4A	6889	0.013867741450667381	0.22681077	No	
row_66	RAD51AP1	RAD51AP1	7025	0.01334067527204752	0.22305405	No	
row_67	GJC1	GJC1	7172	0.012763941660523415	0.2186737	No	
row_68	MLF1	MLF1	7491	0.011538040824234486	0.20602913	No	
row_69	SLC25A24	SLC25A24	7565	0.01125077810138464	0.20476818	No	
row_70	MLF1IP	MLF1IP	7711	0.01074422337114811	0.20004904	No	
row_71	DHFR	DHFR	7801	0.010445807129144669	0.19788745	No	
row_72	CENPI	CENPI	7859	0.010234039276838303	0.19717945	No	
row_73	RBBP8	RBBP8	7862	0.010207874700427055	0.19903427	No	
row_74	SMC4	SMC4	7951	0.009830539114773273	0.19680196	No	
row_75	KIF23	KIF23	8057	0.009370489045977592	0.19368814	No	
row_76	TTC26	TTC26	8189	0.008889890275895596	0.18926874	No	
row_77	MAGOHB	MAGOHB	8580	0.007548673078417778	0.17250128	No	
row_78	BARD1	BARD1	8668	0.0072003817185759544	0.16981368	No	
row_79	C3orf34	C3orf34	8803	0.0066087935119867325	0.16481885	No	
row_80	MDFIC	MDFIC	8822	0.0065445806831121445	0.16522752	No	
row_81	PPIL5	PPIL5	8833	0.006502863485366106	0.16600174	No	
row_82	RPA3	RPA3	8985	0.005988399963825941	0.16009481	No	
row_83	HELLS	HELLS	9045	0.005801202263683081	0.15844741	No	
row_84	TMEM79	TMEM79	9167	0.005363303702324629	0.15382183	No	
row_85	C4orf47	C4orf47	9457	0.004305160604417324	0.14115079	No	
row_86	NUSAP1	NUSAP1	9506	0.004086964298039675	0.13968979	No	
row_87	E2F1	E2F1	9534	0.003971566911786795	0.13918722	No	
row_88	NCAPH	NCAPH	9580	0.0038035090547055006	0.13781218	No	
row_89	GCLM	GCLM	9716	0.003284602891653776	0.13213624	No	
row_90	CHAF1B	CHAF1B	9740	0.003167180111631751	0.13166688	No	
row_91	CACYBP	CACYBP	9742	0.003160902764648199	0.13222347	No	
row_92	TRIM36	TRIM36	9958	0.00248825759626925	0.12266054	No	
row_93	CHAF1A	CHAF1A	10132	0.0019347148481756449	0.11495284	No	
row_94	SGOL2	SGOL2	10259	0.00138325325679034	0.10933421	No	
row_95	ABCA5	ABCA5	10421	8.367358823306859E-4	0.101977214	No	
row_96	EMP2	EMP2	10501	5.558474222198129E-4	0.09839498	No	
row_97	SPIN4	SPIN4	10648	5.286587111186236E-5	0.09158869	No	
row_98	SIP1	SIP1	10649	5.149283606442623E-5	0.09159852	No	
row_99	TYMS	TYMS	10714	-1.4873642066959292E-4	0.08863891	No	
row_100	PIN4	PIN4	10730	-2.031083422480151E-4	0.08797736	No	
row_101	LSM5	LSM5	10878	-6.330333417281508E-4	0.08123511	No	
row_102	HMMR	HMMR	10925	-8.155110408551991E-4	0.07924312	No	
row_103	KIAA0895	KIAA0895	11192	-0.0018343771807849407	0.06717434	No	
row_104	NCAPG	NCAPG	11200	-0.0018486405024304986	0.06720034	No	
row_105	EVC2	EVC2	11477	-0.0028545053210109472	0.054859377	No	
row_106	KIF14	KIF14	12031	-0.00472794845700264	0.029943516	No	
row_107	C17orf75	C17orf75	12035	-0.0047379471361637115	0.0307077	No	
row_108	E2F8	E2F8	12050	-0.004793237894773483	0.030968875	No	
row_109	RBM24	RBM24	12064	-0.004839715082198381	0.031285606	No	
row_110	FANCD2	FANCD2	12160	-0.005198928061872721	0.02784252	No	
row_111	ZC3HAV1L	ZC3HAV1L	12206	-0.005387085489928722	0.026769718	No	
row_112	CDC2	CDC2	12363	-0.005943074822425842	0.020620713	No	
row_113	SHOX2	SHOX2	12923	-0.007947823964059353	-0.0039607515	No	
row_114	ANKRD5	ANKRD5	13001	-0.008254009298980236	-0.005980395	No	
row_115	EFCAB2	EFCAB2	13174	-0.00890128780156374	-0.012311819	No	
row_116	PDK1	PDK1	13252	-0.009176868945360184	-0.014155333	No	
