NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UTP6	UTP6	251	0.09394953399896622	0.023364913	Yes	
row_1	NCALD	NCALD	403	0.08232944458723068	0.047047023	Yes	
row_2	GPRC5B	GPRC5B	412	0.0819811299443245	0.07725008	Yes	
row_3	FZD3	FZD3	425	0.08112601190805435	0.10694818	Yes	
row_4	TNIP1	TNIP1	458	0.07982420176267624	0.13523057	Yes	
row_5	HP1BP3	HP1BP3	733	0.06830982863903046	0.14796336	Yes	
row_6	TLE1	TLE1	1322	0.0539984293282032	0.14075468	Yes	
row_7	CREG1	CREG1	1440	0.052001338452100754	0.15470715	Yes	
row_8	HIP1	HIP1	1537	0.050664275884628296	0.16913764	Yes	
row_9	TTYH1	TTYH1	1643	0.04923592507839203	0.18261686	Yes	
row_10	PDE4B	PDE4B	2527	0.03910091891884804	0.15613182	Yes	
row_11	FABP7	FABP7	2611	0.03846878185868263	0.16661859	Yes	
row_12	RAB11FIP2	RAB11FIP2	2740	0.03743291646242142	0.1746261	Yes	
row_13	SSBP2	SSBP2	2792	0.036932479590177536	0.18602821	Yes	
row_14	DUSP11	DUSP11	3000	0.03531647101044655	0.18957214	Yes	
row_15	C4orf19	C4orf19	3021	0.03521832451224327	0.20177674	Yes	
row_16	TRIM37	TRIM37	3088	0.03465571254491806	0.21163209	Yes	
row_17	P2RY1	P2RY1	3149	0.03406277298927307	0.22154534	Yes	
row_18	FLRT1	FLRT1	3282	0.03308752551674843	0.22774619	Yes	
row_19	FXYD5	FXYD5	3344	0.03266610950231552	0.23709205	Yes	
row_20	NSL1	NSL1	3459	0.03182094916701317	0.2436577	Yes	
row_21	TUBA1A	TUBA1A	3634	0.030613740906119347	0.24698254	Yes	
row_22	ZNF117	ZNF117	3774	0.029563261196017265	0.25154346	Yes	
row_23	CDH4	CDH4	3939	0.028544055297970772	0.25456148	Yes	
row_24	KANK1	KANK1	4147	0.02734379842877388	0.255132	Yes	
row_25	TRPM3	TRPM3	4226	0.02687007188796997	0.26152554	Yes	
row_26	PCDH9	PCDH9	4279	0.02657432295382023	0.26901802	Yes	
row_27	GLUL	GLUL	5149	0.021736493334174156	0.236708	No	
row_28	KLHDC8A	KLHDC8A	5497	0.02008119970560074	0.22805856	No	
row_29	RFX2	RFX2	5647	0.0193020086735487	0.22832741	No	
row_30	PTCD3	PTCD3	5885	0.01826613023877144	0.22411707	No	
row_31	PIK3C2B	PIK3C2B	6142	0.01712997630238533	0.21859933	No	
row_32	ERI3	ERI3	6179	0.01695980317890644	0.22325021	No	
row_33	ADD2	ADD2	6573	0.015275421552360058	0.21066901	No	
row_34	TEKT2	TEKT2	6905	0.013825414702296257	0.20043062	No	
row_35	DNMT3A	DNMT3A	6915	0.013777211308479309	0.20515028	No	
row_36	HPS5	HPS5	7240	0.012518886476755142	0.19475017	No	
row_37	KCNA2	KCNA2	7405	0.011880381032824516	0.19155344	No	
row_38	PSD3	PSD3	7472	0.011617797426879406	0.19281672	No	
row_39	RNMT	RNMT	7600	0.011140340939164162	0.19106485	No	
row_40	C11orf49	C11orf49	7686	0.010864431969821453	0.19116347	No	
row_41	ZNF24	ZNF24	7910	0.00998221430927515	0.18451476	No	
row_42	CACNG1	CACNG1	8233	0.008738933131098747	0.17279792	No	
row_43	ZNF253	ZNF253	8495	0.007833683863282204	0.16358055	No	
row_44	VPS72	VPS72	8588	0.007513877470046282	0.16210401	No	
row_45	TMCO1	TMCO1	9296	0.0049234661273658276	0.13105804	No	
row_46	RGS12	RGS12	9896	0.002688443288207054	0.10420153	No	
row_47	ING4	ING4	9933	0.0025830708909779787	0.10349056	No	
row_48	STMN3	STMN3	9943	0.0025418198201805353	0.104019955	No	
row_49	TBPL1	TBPL1	9947	0.002534989733248949	0.10482586	No	
row_50	SRPK2	SRPK2	10123	0.0019590696319937706	0.09741735	No	
row_51	SPATA6	SPATA6	10570	3.4514672006480396E-4	0.07680285	No	
row_52	SALL1	SALL1	11657	-0.0034653348848223686	0.027585978	No	
row_53	LUZP1	LUZP1	11747	-0.003782897489145398	0.024857478	No	
row_54	KIF1B	KIF1B	11819	-0.004026845097541809	0.023057133	No	
row_55	DPP6	DPP6	12045	-0.004767446778714657	0.014370537	No	
row_56	LRRFIP1	LRRFIP1	12234	-0.005466367118060589	0.007665458	No	
row_57	RFX4	RFX4	12685	-0.007063524331897497	-0.010629436	No	
row_58	EHD4	EHD4	12851	-0.007699667476117611	-0.015431881	No	
row_59	PURG	PURG	13098	-0.008590463548898697	-0.023669368	No	
row_60	DZIP3	DZIP3	13314	-0.009408200159668922	-0.030160083	No	
row_61	ELOVL5	ELOVL5	13328	-0.009459072723984718	-0.027236914	No	
row_62	ABCD2	ABCD2	13424	-0.00981059018522501	-0.02799642	No	
row_63	CARD10	CARD10	14190	-0.012833009473979473	-0.058790047	No	
row_64	CRTC1	CRTC1	14224	-0.01293580885976553	-0.055500407	No	
row_65	CACNB2	CACNB2	14370	-0.013478430919349194	-0.057217453	No	
row_66	KLF12	KLF12	14441	-0.013734481297433376	-0.055350795	No	
row_67	KLHL25	KLHL25	14523	-0.014057434163987637	-0.053875297	No	
row_68	RAI14	RAI14	14913	-0.015678711235523224	-0.06612005	No	
row_69	MEIS2	MEIS2	15730	-0.019260525703430176	-0.0968885	No	
row_70	FHL2	FHL2	15905	-0.020056454464793205	-0.097501025	No	
row_71	UTY	UTY	15911	-0.020096346735954285	-0.09023857	No	
row_72	EXTL3	EXTL3	16028	-0.020582932978868484	-0.087957196	No	
row_73	EFR3B	EFR3B	16190	-0.02134127728641033	-0.08748592	No	
row_74	TMEM156	TMEM156	16285	-0.021836118772625923	-0.083713956	No	
row_75	TARS	TARS	16304	-0.02189972996711731	-0.07638355	No	
row_76	C1orf21	C1orf21	16504	-0.022757139056921005	-0.07715158	No	
row_77	LPIN1	LPIN1	16933	-0.024940259754657745	-0.08775608	No	
row_78	GOLPH3	GOLPH3	17214	-0.02649429813027382	-0.0908976	No	
row_79	SLC7A1	SLC7A1	17773	-0.029496215283870697	-0.10584917	No	
row_80	ZKSCAN3	ZKSCAN3	17897	-0.030265986919403076	-0.10028203	No	
row_81	PBX1	PBX1	17955	-0.03061513788998127	-0.09151506	No	
row_82	CACNG4	CACNG4	17988	-0.03082633763551712	-0.08150657	No	
row_83	SCP2	SCP2	18736	-0.036336664110422134	-0.10269726	No	
row_84	TMEM123	TMEM123	18794	-0.036785393953323364	-0.091629066	No	
row_85	ATF7IP	ATF7IP	18853	-0.03734728693962097	-0.08039782	No	
row_86	FAM131B	FAM131B	19876	-0.0482226237654686	-0.10994571	No	
row_87	BCL2L1	BCL2L1	19932	-0.04899473488330841	-0.09423098	No	
row_88	IBTK	IBTK	20071	-0.05086838826537132	-0.08167776	No	
row_89	ATIC	ATIC	20164	-0.05205800011754036	-0.06654142	No	
row_90	GAS1	GAS1	20486	-0.05779150873422623	-0.059917428	No	
row_91	ARL3	ARL3	20721	-0.06392192095518112	-0.04696075	No	
row_92	ACSL1	ACSL1	20777	-0.06545618921518326	-0.025106668	No	
row_93	MYO1C	MYO1C	20807	-0.0664839893579483	-0.001660021	No	
row_94	SV2A	SV2A	21388	-0.10259538143873215	0.009627777	No	
