NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FSTL1	FSTL1	10	0.23403145372867584	0.001503131	No	
row_1	MXRA7	MXRA7	16	0.22037023305892944	0.0031643587	No	
row_2	TMEM45A	TMEM45A	17	0.20880752801895142	0.005002153	No	
row_3	ADAM9	ADAM9	18	0.19923833012580872	0.0067557255	No	
row_4	CYR61	CYR61	20	0.1909203678369522	0.008380421	No	
row_5	RIOK3	RIOK3	21	0.18886815011501312	0.010042721	No	
row_6	TNS3	TNS3	26	0.17842960357666016	0.011390481	No	
row_7	COL5A2	COL5A2	28	0.17799493670463562	0.012901415	No	
row_8	CEBPD	CEBPD	30	0.17452087998390198	0.014381773	No	
row_9	SLC16A3	SLC16A3	31	0.1734684556722641	0.015908534	No	
row_10	ANXA2	ANXA2	41	0.1635150909423828	0.01684669	No	
row_11	PSMD10	PSMD10	48	0.15258318185806274	0.017855633	No	
row_12	FLNB	FLNB	64	0.14262047410011292	0.018275885	No	
row_13	TWIST1	TWIST1	71	0.13995929062366486	0.019173719	No	
row_14	ERRFI1	ERRFI1	74	0.13911867141723633	0.020286823	No	
row_15	COL4A2	COL4A2	76	0.13888335227966309	0.02145352	No	
row_16	FILIP1L	FILIP1L	77	0.1363513022661209	0.0226536	No	
row_17	P4HA1	P4HA1	80	0.13506777584552765	0.02373105	No	
row_18	TBC1D19	TBC1D19	84	0.13442222774028778	0.02474715	No	
row_19	SLC2A14	SLC2A14	85	0.13393746316432953	0.025925985	No	
row_20	ANXA1	ANXA1	87	0.1333165466785431	0.027043687	No	
row_21	PTPRB	PTPRB	88	0.1329115778207779	0.028213492	No	
row_22	TMEM2	TMEM2	89	0.13185270130634308	0.029373977	No	
row_23	CAPRIN1	CAPRIN1	96	0.1285104602575302	0.030171046	No	
row_24	C10orf10	C10orf10	102	0.1251903623342514	0.030994559	No	
row_25	ATP2C1	ATP2C1	105	0.12444056570529938	0.031978473	No	
row_26	C1R	C1R	108	0.12038913369178772	0.03292673	No	
row_27	SLC6A6	SLC6A6	113	0.11707724630832672	0.033734504	No	
row_28	C1S	C1S	115	0.11674331873655319	0.03470634	No	
row_29	CHN1	CHN1	119	0.11604411900043488	0.035560686	No	
row_30	TPM1	TPM1	120	0.11554978787899017	0.036577687	No	
row_31	SALL4	SALL4	123	0.11402976512908936	0.037469972	No	
row_32	FAM20C	FAM20C	128	0.11223737895488739	0.038235147	No	
row_33	FBXO32	FBXO32	131	0.1112615093588829	0.03910307	No	
row_34	NEDD9	NEDD9	136	0.11065785586833954	0.039854344	No	
row_35	TGFBI	TGFBI	137	0.11054713279008865	0.04082731	No	
row_36	VCAN	VCAN	147	0.10793786495923996	0.04127631	No	
row_37	LAMB1	LAMB1	150	0.10764043033123016	0.04211236	No	
row_38	PLOD2	PLOD2	157	0.10689873993396759	0.042719215	No	
row_39	VLDLR	VLDLR	158	0.106662318110466	0.043657992	No	
row_40	CTHRC1	CTHRC1	159	0.10639593005180359	0.044594422	No	
row_41	PDIA5	PDIA5	161	0.10617984086275101	0.045473285	No	
row_42	TBC1D23	TBC1D23	164	0.10558737069368362	0.046291266	No	
row_43	PDLIM2	PDLIM2	166	0.10535025596618652	0.047162827	No	
row_44	DNAJC3	DNAJC3	175	0.10389640927314758	0.047631923	No	
row_45	ARID5B	ARID5B	181	0.10266543924808502	0.048257187	No	
row_46	IFI44	IFI44	199	0.100040003657341	0.04819134	No	
row_47	SAMD9L	SAMD9L	229	0.09612935036420822	0.04742307	No	
row_48	LHFP	LHFP	243	0.09463430196046829	0.047532313	No	
row_49	UTP6	UTP6	251	0.09394953399896622	0.04796953	No	
row_50	WNT7B	WNT7B	257	0.09315182268619537	0.04851106	No	
row_51	CD44	CD44	281	0.09177549928426743	0.04803847	No	
row_52	PRDX3	PRDX3	291	0.0913250669836998	0.04834126	No	
row_53	PTPRR	PTPRR	295	0.09084764122962952	0.04897384	No	
row_54	DDX27	DDX27	297	0.09055398404598236	0.049715176	No	
row_55	AUTS2	AUTS2	316	0.08881646394729614	0.049494877	No	
row_56	KLHL5	KLHL5	321	0.08852183073759079	0.050051324	No	
row_57	PCOLCE	PCOLCE	338	0.08696174621582031	0.04992604	No	
row_58	PPFIBP1	PPFIBP1	339	0.08693353086709976	0.050691172	No	
row_59	ITGA9	ITGA9	340	0.08675956726074219	0.05145478	No	
row_60	PLCD1	PLCD1	344	0.08651462942361832	0.052049223	No	
row_61	SERPINB9	SERPINB9	350	0.08612053841352463	0.05252887	No	
row_62	FOXD1	FOXD1	361	0.08503241091966629	0.052720603	No	
row_63	PLEKHA3	PLEKHA3	363	0.08458562195301056	0.053409405	No	
row_64	MAP1B	MAP1B	366	0.08443062007427216	0.054041177	No	
row_65	FBXO2	FBXO2	380	0.08332588523626328	0.054050893	No	
row_66	WDR43	WDR43	382	0.08321847021579742	0.054727662	No	
row_67	SSFA2	SSFA2	383	0.08319967985153198	0.055459935	No	
row_68	PPDPF	PPDPF	386	0.08309439569711685	0.056079946	No	
row_69	GSTM5	GSTM5	395	0.08259125798940659	0.056361526	No	
row_70	TCTA	TCTA	400	0.08239731937646866	0.05686407	No	
row_71	ST14	ST14	402	0.08233176171779633	0.057533037	No	
row_72	PSMA1	PSMA1	416	0.08180958777666092	0.057529405	No	
row_73	RGS20	RGS20	422	0.08131804317235947	0.05796678	No	
row_74	TCEAL8	TCEAL8	427	0.08108546584844589	0.058457777	No	
row_75	NAMPT	NAMPT	433	0.08073107898235321	0.05888999	No	
row_76	TSC22D2	TSC22D2	440	0.08041708916425705	0.05926377	No	
row_77	PIGG	PIGG	445	0.08031777292490005	0.05974801	No	
row_78	FRMD6	FRMD6	448	0.08022135496139526	0.060342733	No	
row_79	TNIP1	TNIP1	458	0.07982420176267624	0.060544293	No	
row_80	TMEM179B	TMEM179B	460	0.07972664386034012	0.06119033	No	
row_81	EML1	EML1	464	0.07952742278575897	0.06172328	No	
row_82	RBM7	RBM7	466	0.07945552468299866	0.062366933	No	
row_83	HCFC1R1	HCFC1R1	469	0.07920613139867783	0.06295272	No	
row_84	DOCK7	DOCK7	475	0.07888361066579819	0.06336867	No	
row_85	KLF5	KLF5	486	0.07843349128961563	0.06350233	No	
row_86	PXDN	PXDN	490	0.07832768559455872	0.06402472	No	
row_87	UBQLN1	UBQLN1	491	0.0782550573348999	0.06471347	No	
row_88	FAM160A2	FAM160A2	499	0.07797688990831375	0.06501011	No	
row_89	C3orf52	C3orf52	515	0.0772373154759407	0.0648549	No	
row_90	ADM	ADM	533	0.07621989399194717	0.0645794	No	
row_91	SOCS3	SOCS3	538	0.07602852582931519	0.06502589	No	
row_92	TMEM14B	TMEM14B	540	0.07583867758512497	0.06563771	No	
row_93	SLC2A1	SLC2A1	541	0.07582312822341919	0.066305056	No	
row_94	DPM1	DPM1	561	0.07470637559890747	0.0659049	No	
row_95	SEC24B	SEC24B	565	0.07429231703281403	0.06639178	No	
row_96	ARPC4	ARPC4	569	0.07424068450927734	0.0668782	No	
