NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AGPAT5	AGPAT5	54	0.14846965670585632	0.042622857	Yes	
row_1	JAM2	JAM2	112	0.11809629201889038	0.07587289	Yes	
row_2	CTNND2	CTNND2	142	0.10932717472314835	0.10775918	Yes	
row_3	MAP2	MAP2	145	0.10823791474103928	0.14056987	Yes	
row_4	FZD3	FZD3	425	0.08112601190805435	0.15225796	Yes	
row_5	NOTCH3	NOTCH3	812	0.06546531617641449	0.15420973	Yes	
row_6	STARD7	STARD7	985	0.06095832586288452	0.16474256	Yes	
row_7	MT3	MT3	1020	0.06011573597788811	0.18143636	Yes	
row_8	SNX7	SNX7	1203	0.05641624331474304	0.19012342	Yes	
row_9	NLGN3	NLGN3	1376	0.05300553888082504	0.19823866	Yes	
row_10	MARCKSL1	MARCKSL1	1500	0.051112931221723557	0.20805708	Yes	
row_11	TRIM24	TRIM24	1626	0.04943671450018883	0.21727295	Yes	
row_12	TTYH1	TTYH1	1643	0.04923592507839203	0.23149636	Yes	
row_13	KIF2A	KIF2A	1756	0.047682154923677444	0.24078338	Yes	
row_14	OSTF1	OSTF1	1920	0.04566449299454689	0.24708548	Yes	
row_15	CEP68	CEP68	2275	0.041571278125047684	0.2432616	Yes	
row_16	DHTKD1	DHTKD1	2289	0.041344013065099716	0.25522545	Yes	
row_17	SEC61A2	SEC61A2	2469	0.03951186314225197	0.25891316	Yes	
row_18	ZNF219	ZNF219	2582	0.03868965059518814	0.2654665	Yes	
row_19	RASSF2	RASSF2	2595	0.03854756057262421	0.27662674	Yes	
row_20	ARNT2	ARNT2	2691	0.03783610090613365	0.2837111	Yes	
row_21	FXYD5	FXYD5	3344	0.03266610950231552	0.26332286	No	
row_22	ATP1B2	ATP1B2	3756	0.029666103422641754	0.25322935	No	
row_23	RPL39L	RPL39L	3981	0.028256142511963844	0.25140288	No	
row_24	TBC1D8B	TBC1D8B	4164	0.027239838615059853	0.2512205	No	
row_25	POMT2	POMT2	4573	0.024834545329213142	0.23979771	No	
row_26	PCM1	PCM1	4950	0.022710444405674934	0.22921725	No	
row_27	LLGL1	LLGL1	4977	0.022595852613449097	0.23487723	No	
row_28	ADAMTS3	ADAMTS3	5129	0.021820630878210068	0.23448895	No	
row_29	DTX3	DTX3	5263	0.021205563098192215	0.2347507	No	
row_30	APBA2	APBA2	5394	0.020553959533572197	0.23495388	No	
row_31	CHD7	CHD7	6015	0.01766783744096756	0.2114943	No	
row_32	RAB8B	RAB8B	6310	0.016405224800109863	0.20281015	No	
row_33	SLC22A17	SLC22A17	7165	0.012797277420759201	0.16698875	No	
row_34	PHLPP1	PHLPP1	7598	0.011143047362565994	0.15028782	No	
row_35	GAL3ST4	GAL3ST4	7886	0.01010926440358162	0.14001524	No	
row_36	CDC42BPB	CDC42BPB	8180	0.008912832476198673	0.12909995	No	
row_37	COPB2	COPB2	8702	0.007077990565448999	0.1070247	No	
row_38	IL17RB	IL17RB	9067	0.005747965537011623	0.09184575	No	
row_39	TANC2	TANC2	9527	0.004001018591225147	0.071718164	No	
row_40	SGSM2	SGSM2	9703	0.0033238057512789965	0.06459094	No	
row_41	DICER1	DICER1	9935	0.0025743532460182905	0.05463184	No	
row_42	ASCL1	ASCL1	10271	0.0013362534809857607	0.039460283	No	
row_43	MED8	MED8	10755	-2.902199630625546E-4	0.017088614	No	
row_44	EFNB3	EFNB3	10969	-0.0010052481666207314	0.0074895304	No	
row_45	ZHX2	ZHX2	11575	-0.0031719987746328115	-0.019679192	No	
row_46	NOVA1	NOVA1	11602	-0.0032858001068234444	-0.01988935	No	
row_47	BAG5	BAG5	11634	-0.003366922028362751	-0.02030735	No	
row_48	KIF1B	KIF1B	11819	-0.004026845097541809	-0.027639363	No	
row_49	ACSBG1	ACSBG1	12021	-0.00468961289152503	-0.03556041	No	
row_50	DENND5A	DENND5A	12040	-0.00475525064393878	-0.03495186	No	
row_51	EVL	EVL	12208	-0.00540293101221323	-0.041075032	No	
row_52	NTAN1	NTAN1	12749	-0.0072981370612978935	-0.063966885	No	
row_53	CHD8	CHD8	12896	-0.007853998802602291	-0.068368435	No	
row_54	WNT11	WNT11	12964	-0.008116377517580986	-0.06901666	No	
row_55	TARBP1	TARBP1	13104	-0.008605844341218472	-0.072864145	No	
row_56	PTGS2	PTGS2	13295	-0.009355480782687664	-0.07885528	No	
row_57	AGRN	AGRN	13386	-0.009675550274550915	-0.080099046	No	
row_58	SOX4	SOX4	13444	-0.009874041192233562	-0.079747945	No	
row_59	ZFP30	ZFP30	13877	-0.011510997079312801	-0.09633702	No	
row_60	VASH1	VASH1	14254	-0.013044901192188263	-0.10985575	No	
row_61	PCP4	PCP4	14265	-0.01307812798768282	-0.10634509	No	
row_62	ZMYM2	ZMYM2	14316	-0.013257462531328201	-0.10463994	No	
row_63	YKT6	YKT6	14560	-0.014206623658537865	-0.1116209	No	
row_64	DIP2C	DIP2C	14830	-0.0153242452070117	-0.11947114	No	
row_65	CKB	CKB	15032	-0.01624523662030697	-0.12387935	No	
row_66	PDCD6IP	PDCD6IP	15839	-0.019778605550527573	-0.15534642	No	
row_67	KL	KL	16020	-0.020539665594697	-0.15747264	No	
row_68	NPAS3	NPAS3	16347	-0.022046273574233055	-0.16592996	No	
row_69	FLRT3	FLRT3	16911	-0.024805787950754166	-0.1845691	No	
row_70	CASP4	CASP4	17111	-0.025921856984496117	-0.18594268	No	
row_71	ALDH6A1	ALDH6A1	17804	-0.029669947922229767	-0.20910175	No	
row_72	NCAN	NCAN	17822	-0.029806945472955704	-0.20083113	No	
row_73	TRAPPC3	TRAPPC3	18516	-0.03465782478451729	-0.22252041	No	
row_74	MYLK	MYLK	18526	-0.03472736105322838	-0.212382	No	
row_75	PLXNA2	PLXNA2	18553	-0.03491651266813278	-0.20297661	No	
row_76	GLRX2	GLRX2	19020	-0.03882546350359917	-0.21284328	No	
row_77	LMNA	LMNA	19085	-0.039440419524908066	-0.20382968	No	
row_78	ENPP1	ENPP1	19331	-0.041717324405908585	-0.20254056	No	
row_79	SEMA6A	SEMA6A	19784	-0.046979889273643494	-0.20927732	No	
row_80	PAQR6	PAQR6	20364	-0.05569254234433174	-0.21927108	No	
row_81	MSI1	MSI1	20727	-0.0640721395611763	-0.21662682	No	
row_82	ZNF629	ZNF629	20767	-0.06526888906955719	-0.198599	No	
row_83	RNFT2	RNFT2	20811	-0.06657366454601288	-0.18036053	No	
row_84	MEF2D	MEF2D	21021	-0.07362131774425507	-0.16769876	No	
row_85	ARPC1B	ARPC1B	21177	-0.0817771628499031	-0.1500466	No	
row_86	PLP2	PLP2	21203	-0.08345646411180496	-0.12583885	No	
row_87	MICAL2	MICAL2	21308	-0.09149418771266937	-0.10286124	No	
row_88	PROCR	PROCR	21321	-0.09347420185804367	-0.07500364	No	
row_89	STX3	STX3	21399	-0.10411332547664642	-0.046934366	No	
row_90	RIN2	RIN2	21566	-0.18422067165374756	0.0013484985	No	
