NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PMP2	PMP2	15	0.22165721654891968	0.019313691	No	
row_1	A2M	A2M	36	0.16788363456726074	0.033536714	No	
row_2	KLF6	KLF6	97	0.12841491401195526	0.042319257	No	
row_3	C1S	C1S	115	0.11674331873655319	0.05206465	No	
row_4	C12orf76	C12orf76	118	0.11625607311725616	0.06246961	No	
row_5	ZNF608	ZNF608	125	0.11319467425346375	0.07241049	No	
row_6	FBXO32	FBXO32	131	0.1112615093588829	0.08222368	No	
row_7	NEDD9	NEDD9	136	0.11065785586833954	0.09202927	No	
row_8	TBC1D23	TBC1D23	164	0.10558737069368362	0.10029817	No	
row_9	SYNM	SYNM	168	0.10516323149204254	0.10965446	No	
row_10	FZD5	FZD5	235	0.09572771191596985	0.11520368	No	
row_11	MATN2	MATN2	265	0.09273024648427963	0.12221766	No	
row_12	CD44	CD44	281	0.09177549928426743	0.1298021	No	
row_13	TPST1	TPST1	285	0.09161630272865295	0.137935	No	
row_14	ATCAY	ATCAY	286	0.0915553942322731	0.14620312	No	
row_15	NAMPT	NAMPT	433	0.08073107898235321	0.1466457	No	
row_16	TBC1D15	TBC1D15	449	0.08021172881126404	0.15318583	No	
row_17	SOCS3	SOCS3	538	0.07602852582931519	0.15592417	No	
row_18	LIPG	LIPG	629	0.07166841626167297	0.15817496	No	
row_19	FUT1	FUT1	673	0.07048220932483673	0.16252314	No	
row_20	FMN2	FMN2	736	0.06818074733018875	0.16577227	No	
row_21	F3	F3	837	0.06461151689291	0.16691674	No	
row_22	CBWD5	CBWD5	874	0.06361327320337296	0.17097293	No	
row_23	PTCHD1	PTCHD1	940	0.06194750592112541	0.17351845	No	
row_24	C4A	C4A	968	0.06139204278588295	0.17779619	No	
row_25	SLC2A3	SLC2A3	977	0.06108802556991577	0.18293764	No	
row_26	EPHX1	EPHX1	988	0.060821861028671265	0.18796125	No	
row_27	CIR1	CIR1	1002	0.060467660427093506	0.19281216	No	
row_28	GPR107	GPR107	1062	0.059361349791288376	0.19540557	No	
row_29	YPEL2	YPEL2	1121	0.05822984129190445	0.1979437	No	
row_30	LONRF1	LONRF1	1199	0.056528490036726	0.19943699	No	
row_31	STK19	STK19	1247	0.05550960451364517	0.20224541	No	
row_32	PODXL	PODXL	1273	0.054973650723695755	0.20603733	No	
row_33	PTP4A3	PTP4A3	1283	0.05480343848466873	0.21056435	No	
row_34	COG6	COG6	1296	0.05456474795937538	0.21492907	No	
row_35	OSMR	OSMR	1457	0.05175228789448738	0.212098	No	
row_36	CRYAB	CRYAB	1460	0.0517146922647953	0.2166744	No	
row_37	DBP	DBP	1538	0.050664063543081284	0.2176381	No	
row_38	UFM1	UFM1	1675	0.0488702729344368	0.21567245	No	
row_39	RPE65	RPE65	1945	0.04528697952628136	0.20714493	No	
row_40	BCL6	BCL6	1952	0.04523639380931854	0.21094869	No	
row_41	SEMA4B	SEMA4B	2149	0.04299319162964821	0.20563804	No	
row_42	HABP4	HABP4	2236	0.04191770777106285	0.20538974	No	
row_43	EFNA1	EFNA1	2376	0.04034684598445892	0.20251365	No	
row_44	RGS16	RGS16	2391	0.04016898199915886	0.20548454	No	
row_45	TXNIP	TXNIP	2509	0.03921680152416229	0.2035383	No	
row_46	YPEL3	YPEL3	2592	0.03857046738266945	0.20317534	No	
row_47	YOD1	YOD1	2855	0.03647199273109436	0.19418009	No	
row_48	CLIC2	CLIC2	3052	0.03494817391037941	0.18814293	No	
row_49	PDP2	PDP2	3055	0.034893233329057693	0.19120023	No	
row_50	NUAK2	NUAK2	3103	0.034497786313295364	0.19211112	No	
row_51	SYDE2	SYDE2	3200	0.03364799916744232	0.19064696	No	
row_52	C1QL1	C1QL1	3268	0.033181577920913696	0.19050092	No	
row_53	MYCN	MYCN	3326	0.03276804834604263	0.19078656	No	
row_54	SNX10	SNX10	3515	0.03141184151172638	0.18480526	No	
row_55	RAB4A	RAB4A	3630	0.030636953189969063	0.18222491	No	
row_56	PMP22	PMP22	3640	0.030573120340704918	0.18456376	No	
row_57	PIKFYVE	PIKFYVE	3661	0.030438542366027832	0.18637449	No	
row_58	ATP1B2	ATP1B2	3756	0.029666103422641754	0.18464455	No	
row_59	S100A10	S100A10	3782	0.029516801238059998	0.18613751	No	
row_60	HMGCS1	HMGCS1	3917	0.028709186241030693	0.18244499	No	
row_61	ZBTB41	ZBTB41	3980	0.028262514621019363	0.18208922	No	
row_62	LGMN	LGMN	4008	0.028119156137108803	0.18336217	No	
row_63	ARF4	ARF4	4023	0.02800815738737583	0.18523486	No	
row_64	PITPNC1	PITPNC1	4196	0.027017369866371155	0.17960718	No	
row_65	MERTK	MERTK	4235	0.026792708784341812	0.18024439	No	
row_66	APOL6	APOL6	4528	0.02513011172413826	0.16881776	No	
row_67	TCP11L2	TCP11L2	4576	0.024828676134347916	0.16885547	No	
row_68	ARRDC3	ARRDC3	4616	0.024566277861595154	0.1692447	No	
row_69	IL13RA1	IL13RA1	4625	0.024536000564694405	0.17108525	No	
row_70	ZFP36	ZFP36	4748	0.023768745362758636	0.16750942	No	
row_71	INSIG1	INSIG1	4796	0.023489268496632576	0.16742617	No	
row_72	SEC14L1	SEC14L1	4877	0.023086896166205406	0.16575874	No	
row_73	ARMCX1	ARMCX1	4886	0.02303134836256504	0.1674634	No	
row_74	LIFR	LIFR	4928	0.022813554853200912	0.16760056	No	
row_75	PRICKLE2	PRICKLE2	4947	0.022730037569999695	0.16880897	No	
row_76	PJA2	PJA2	5193	0.02158004231750965	0.15926625	No	
row_77	BMP5	BMP5	5262	0.021215708926320076	0.15799268	No	
row_78	CYB561D2	CYB561D2	5400	0.02053050510585308	0.15342085	No	
row_79	GOLGA3	GOLGA3	5596	0.01954338699579239	0.14603941	No	
row_80	BCAM	BCAM	5767	0.01879855990409851	0.13976333	No	
row_81	SLC30A5	SLC30A5	5788	0.018728679046034813	0.14051658	No	
row_82	GPR20	GPR20	5880	0.01830112561583519	0.13790101	No	
row_83	TTC39B	TTC39B	5975	0.017819639295339584	0.13510124	No	
row_84	FAM114A1	FAM114A1	6037	0.017557760700583458	0.13382567	No	
row_85	CLU	CLU	6086	0.017348885536193848	0.133141	No	
row_86	MAFF	MAFF	6367	0.016197580844163895	0.12147055	No	
row_87	MAP3K6	MAP3K6	6418	0.015974242240190506	0.120567925	No	
row_88	NR4A3	NR4A3	6451	0.015750745311379433	0.12048939	No	
row_89	GOLGA5	GOLGA5	6600	0.015151848085224628	0.11491588	No	
row_90	ZFP28	ZFP28	6662	0.014845297671854496	0.11339535	No	
row_91	EDEM3	EDEM3	6670	0.014809328131377697	0.11440441	No	
row_92	CSF1	CSF1	6684	0.014755838550627232	0.11512721	No	
row_93	GOLGA4	GOLGA4	6735	0.014530620537698269	0.11409422	No	
row_94	TAF1D	TAF1D	6778	0.01436121016740799	0.11342116	No	
row_95	FGFBP3	FGFBP3	6933	0.013708969578146935	0.10743591	No	
row_96	USP51	USP51	7060	0.013188904151320457	0.10271702	No	
row_97	ARID5A	ARID5A	7438	0.011746997013688087	0.08609493	No	
row_98	KCNA4	KCNA4	7449	0.01171848364174366	0.08668415	No	
row_99	ABHD4	ABHD4	7525	0.011391925625503063	0.08419511	No	
row_100	ZFPL1	ZFPL1	7551	0.011277184821665287	0.08404091	No	
row_101	SLC16A4	SLC16A4	7741	0.010665257461369038	0.076139145	No	
row_102	ATG9B	ATG9B	7873	0.01016599964350462	0.07091274	No	
row_103	SYN3	SYN3	7920	0.009944824501872063	0.069653235	No	
row_104	GDA	GDA	7957	0.009802970103919506	0.06884996	No	
row_105	ITGA10	ITGA10	8067	0.00933055765926838	0.06458	No	
row_106	DCDC2	DCDC2	8165	0.008963997475802898	0.0608398	No	
row_107	POLR3D	POLR3D	8357	0.008298879489302635	0.052630525	No	
row_108	IRF9	IRF9	8540	0.007668959442526102	0.0447865	No	
row_109	PFKFB2	PFKFB2	8821	0.006545522715896368	0.032244403	No	
row_110	PIM1	PIM1	8834	0.00649876007810235	0.032268435	No	
row_111	DCAF4L1	DCAF4L1	8953	0.006117539014667273	0.027286183	No	
row_112	JAG2	JAG2	9080	0.005713627208024263	0.021892222	No	
row_113	COL11A2	COL11A2	9133	0.005517775658518076	0.019951493	No	
row_114	SH3BP5	SH3BP5	9184	0.005315679591149092	0.018086322	No	
row_115	MEIS3	MEIS3	9284	0.004951366689056158	0.013889939	No	
row_116	TMEM173	TMEM173	9450	0.004321633838117123	0.006541001	No	
row_117	VASH2	VASH2	9532	0.003978940658271313	0.003101079	No	
row_118	FTL	FTL	9543	0.003920585848391056	0.002986093	No	
row_119	GRIK1	GRIK1	9586	0.0037832739762961864	0.001357769	No	
row_120	ANXA11	ANXA11	9600	0.003734071971848607	0.0010852268	No	
row_121	PPP2R5A	PPP2R5A	9841	0.002821823814883828	-0.009916978	No	
row_122	IL6R	IL6R	9881	0.0027163445483893156	-0.011500941	No	
row_123	SERPINA3	SERPINA3	10080	0.0020856887567788363	-0.020599643	No	
row_124	C1orf162	C1orf162	10186	0.0017337456811219454	-0.025368026	No	
row_125	ZBTB46	ZBTB46	10279	0.0013041840866208076	-0.029565444	No	
row_126	RPL37A	RPL37A	10290	0.0012643769150599837	-0.029920306	No	
row_127	COL6A1	COL6A1	10351	0.001080625457689166	-0.032636978	No	
row_128	COL6A2	COL6A2	10417	8.606238989159465E-4	-0.035608035	No	
row_129	PDK4	PDK4	10548	4.2153967660851777E-4	-0.04166753	No	
row_130	TSC22D3	TSC22D3	10720	-1.7013763135764748E-4	-0.0496728	No	
row_131	CHN2	CHN2	10836	-5.15130115672946E-4	-0.05502028	No	
row_132	LHX9	LHX9	10908	-7.402881747111678E-4	-0.05828363	No	
row_133	MKNK1	MKNK1	10976	-0.0010230187326669693	-0.061333835	No	
row_134	HLA-E	HLA-E	11037	-0.00126406189519912	-0.06403394	No	
row_135	ACSL6	ACSL6	11065	-0.0013486467069014907	-0.065178566	No	
row_136	ACBD3	ACBD3	11309	-0.0022769987117499113	-0.07637069	No	
row_137	IL21R	IL21R	11345	-0.0023976247757673264	-0.07779581	No	
row_138	ATF3	ATF3	11356	-0.002441661898046732	-0.078044355	No	
row_139	TNFRSF1A	TNFRSF1A	11380	-0.002537766471505165	-0.078893974	No	
row_140	PDE4DIP	PDE4DIP	11426	-0.0026714096311479807	-0.08076342	No	
row_141	FGD4	FGD4	11560	-0.003133093938231468	-0.08671875	No	
row_142	YIPF2	YIPF2	11568	-0.0031538766343146563	-0.086762264	No	
row_143	GOLT1B	GOLT1B	11639	-0.003419908694922924	-0.08973672	No	
row_144	TRIM7	TRIM7	11789	-0.003924488089978695	-0.09637106	No	
row_145	ACSS2	ACSS2	11798	-0.003956987988203764	-0.09638895	No	
row_146	RAB5A	RAB5A	11854	-0.004154711961746216	-0.09859349	No	
row_147	NUPR1	NUPR1	11883	-0.004246061202138662	-0.09952336	No	
row_148	TMEM87B	TMEM87B	11889	-0.0042585632763803005	-0.099373296	No	
row_149	IDI1	IDI1	12013	-0.0046610841527581215	-0.1047216	No	
row_150	ITGA11	ITGA11	12108	-0.005050147417932749	-0.10867454	No	
row_151	TMEM231	TMEM231	12228	-0.005450835917145014	-0.113763906	No	
row_152	SGK1	SGK1	12551	-0.006605560425668955	-0.12827057	No	
row_153	ULBP2	ULBP2	12567	-0.006670628674328327	-0.12837172	No	
row_154	TMEM50B	TMEM50B	12622	-0.006851415615528822	-0.13028583	No	
row_155	SPTB	SPTB	12682	-0.00704362103715539	-0.13241708	No	
row_156	KCNK10	KCNK10	12828	-0.007601722609251738	-0.13853171	No	
row_157	TMEM97	TMEM97	12999	-0.008233278058469296	-0.14576194	No	
row_158	PDXDC1	PDXDC1	13092	-0.008568815886974335	-0.1493033	No	
row_159	PLSCR4	PLSCR4	13134	-0.008729404769837856	-0.15043806	No	
row_160	RAB3B	RAB3B	13316	-0.009416746906936169	-0.15807733	No	
row_161	ABCD2	ABCD2	13424	-0.00981059018522501	-0.16221012	No	
row_162	APOL2	APOL2	13712	-0.010887758806347847	-0.17468841	No	
row_163	CRELD1	CRELD1	13725	-0.010939705185592175	-0.17426334	No	
row_164	GOSR2	GOSR2	13727	-0.010950224474072456	-0.17332135	No	
row_165	GJA3	GJA3	13863	-0.011479831300675869	-0.17861673	No	
row_166	MTUS1	MTUS1	14054	-0.01230384036898613	-0.18641742	No	
row_167	SPTY2D1	SPTY2D1	14111	-0.012512472458183765	-0.18791409	No	
row_168	CIB1	CIB1	14116	-0.012521479278802872	-0.18697093	No	
row_169	NPC2	NPC2	14183	-0.012783007696270943	-0.18891221	No	
row_170	GOLGB1	GOLGB1	14237	-0.012989829294383526	-0.19022506	No	
row_171	ACAN	ACAN	14358	-0.013411722145974636	-0.19464241	No	
row_172	EPHA5	EPHA5	14371	-0.01349090225994587	-0.19398694	No	
row_173	GOLGA2	GOLGA2	14378	-0.013519907370209694	-0.19304742	No	
row_174	KLF9	KLF9	14521	-0.01405399851500988	-0.19843866	No	
row_175	SYCP2	SYCP2	14692	-0.014774625189602375	-0.20507812	No	
row_176	IFITM1	IFITM1	15019	-0.016150126233696938	-0.21891047	No	
row_177	PLA2G4C	PLA2G4C	15113	-0.01657533273100853	-0.2217757	No	
row_178	NDRG2	NDRG2	15120	-0.016607172787189484	-0.22055738	No	
row_179	RGS3	RGS3	15170	-0.0167732834815979	-0.22134094	No	
row_180	AKNA	AKNA	15224	-0.016966059803962708	-0.2222947	No	
row_181	LYST	LYST	15231	-0.016981277614831924	-0.22104259	No	
row_182	PPM1K	PPM1K	15370	-0.01758095622062683	-0.22592771	No	
row_183	N4BP2L1	N4BP2L1	15404	-0.01772826537489891	-0.22587456	No	
row_184	VMAC	VMAC	15558	-0.0184247475117445	-0.23138702	No	
row_185	RUNX1T1	RUNX1T1	15645	-0.0187993086874485	-0.23372309	No	
row_186	ALPK1	ALPK1	15888	-0.020011045038700104	-0.24326679	No	
row_187	MYO5B	MYO5B	15898	-0.020033011212944984	-0.24187979	No	
row_188	NRCAM	NRCAM	16138	-0.021104389801621437	-0.25118405	No	
row_189	COL14A1	COL14A1	16208	-0.021428264677524567	-0.2524853	No	
row_190	BCYRN1	BCYRN1	16312	-0.021931210532784462	-0.25533593	No	
row_191	FABP3	FABP3	16361	-0.02206740528345108	-0.25559446	No	
row_192	CAMK2D	CAMK2D	16390	-0.022223327308893204	-0.25490087	No	
row_193	CISH	CISH	16396	-0.022237248718738556	-0.25312722	No	
