NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPARCL1	SPARCL1	0	0.4773944616317749	0.036509447	No	
row_1	SLC16A3	SLC16A3	31	0.1734684556722641	0.04836672	No	
row_2	A2M	A2M	36	0.16788363456726074	0.06101801	No	
row_3	IL1RAP	IL1RAP	42	0.1631162017583847	0.07325773	No	
row_4	ANXA1	ANXA1	87	0.1333165466785431	0.081386805	No	
row_5	ARRDC4	ARRDC4	232	0.09577011317014694	0.08194786	No	
row_6	FZD5	FZD5	235	0.09572771191596985	0.08917485	No	
row_7	MATN2	MATN2	265	0.09273024648427963	0.09490452	No	
row_8	CD44	CD44	281	0.09177549928426743	0.10121869	No	
row_9	ATCAY	ATCAY	286	0.0915553942322731	0.108032666	No	
row_10	KLHL5	KLHL5	321	0.08852183073759079	0.11320566	No	
row_11	PRKAR1B	PRKAR1B	387	0.08300139009952545	0.11650052	No	
row_12	INSR	INSR	396	0.08255790174007416	0.122438535	No	
row_13	NAMPT	NAMPT	433	0.08073107898235321	0.12692179	No	
row_14	KLF5	KLF5	486	0.07843349128961563	0.13047788	No	
row_15	PXDN	PXDN	490	0.07832768559455872	0.13632719	No	
row_16	STAT3	STAT3	496	0.07806769013404846	0.14206271	No	
row_17	SOCS3	SOCS3	538	0.07602852582931519	0.1459515	No	
row_18	SLC16A9	SLC16A9	701	0.06940142065286636	0.14365058	No	
row_19	TNFRSF9	TNFRSF9	706	0.06919824331998825	0.14875476	No	
row_20	MPZ	MPZ	707	0.06919150799512863	0.15404628	No	
row_21	F3	F3	837	0.06461151689291	0.15292892	No	
row_22	CSRP2	CSRP2	861	0.06410882622003555	0.15675153	No	
row_23	CDKAL1	CDKAL1	930	0.06212463602423668	0.15830891	No	
row_24	C4A	C4A	968	0.06139204278588295	0.16126621	No	
row_25	SLC2A3	SLC2A3	977	0.06108802556991577	0.16556229	No	
row_26	CNTNAP1	CNTNAP1	1061	0.05938694253563881	0.16620581	No	
row_27	PODXL	PODXL	1273	0.054973650723695755	0.16050017	No	
row_28	PTP4A3	PTP4A3	1283	0.05480343848466873	0.16426866	No	
row_29	BIRC2	BIRC2	1360	0.053315117955207825	0.1647766	No	
row_30	RELL1	RELL1	1411	0.05255289375782013	0.16644736	No	
row_31	OSMR	OSMR	1457	0.05175228789448738	0.16829172	No	
row_32	LRP2	LRP2	1595	0.04986734688282013	0.16567105	No	
row_33	JUNB	JUNB	1660	0.04900744557380676	0.16641314	No	
row_34	ZNF347	ZNF347	1670	0.048914216458797455	0.16973124	No	
row_35	DACT1	DACT1	1729	0.04808760806918144	0.17068478	No	
row_36	SOD2	SOD2	1797	0.04698794335126877	0.17113154	No	
row_37	ARHGEF16	ARHGEF16	1823	0.04677300900220871	0.17353442	No	
row_38	BCL6	BCL6	1952	0.04523639380931854	0.17098229	No	
row_39	EFTUD2	EFTUD2	1964	0.045082442462444305	0.1739134	No	
row_40	ZIK1	ZIK1	2021	0.04446747526526451	0.17468403	No	
row_41	SEMA4B	SEMA4B	2149	0.04299319162964821	0.17200732	No	
row_42	ZNF813	ZNF813	2157	0.04290861263871193	0.17496005	No	
row_43	BCL3	BCL3	2307	0.04107200726866722	0.17110316	No	
row_44	IFNGR1	IFNGR1	2319	0.04094279929995537	0.17371769	No	
row_45	RGS16	RGS16	2391	0.04016898199915886	0.17345509	No	
row_46	RPGR	RPGR	2459	0.03959418088197708	0.1733364	No	
row_47	NCOA7	NCOA7	2485	0.039416227489709854	0.17517667	No	
row_48	CRABP2	CRABP2	2885	0.03626285120844841	0.15921049	No	
row_49	CLIC2	CLIC2	3052	0.03494817391037941	0.15408684	No	
row_50	NUAK2	NUAK2	3103	0.034497786313295364	0.1543768	No	
row_51	PTX3	PTX3	3107	0.03444817662239075	0.15687038	No	
row_52	PDGFRL	PDGFRL	3174	0.03384329378604889	0.15635884	No	
row_53	PEPD	PEPD	3273	0.03314549848437309	0.15429103	No	
row_54	SFRP1	SFRP1	3395	0.032255176454782486	0.1510749	No	
row_55	ADAMTS4	ADAMTS4	3421	0.03206948563456535	0.15235332	No	
row_56	GTSF1	GTSF1	3504	0.031478527933359146	0.15090947	No	
row_57	PGBD5	PGBD5	3513	0.031416721642017365	0.15293638	No	
row_58	SNX10	SNX10	3515	0.03141184151172638	0.15529169	No	
row_59	GRB10	GRB10	3563	0.03100484423339367	0.15545543	No	
row_60	ADAMTS1	ADAMTS1	3635	0.030609311535954475	0.15446173	No	
row_61	PMP22	PMP22	3640	0.030573120340704918	0.156612	No	
row_62	EBI3	EBI3	3755	0.02969670295715332	0.15352897	No	
row_63	BATF3	BATF3	3760	0.02964443527162075	0.1556082	No	
row_64	ZNF229	ZNF229	3771	0.029594186693429947	0.1574018	No	
row_65	S100A10	S100A10	3782	0.029516801238059998	0.15918948	No	
row_66	STAP2	STAP2	3798	0.02940557897090912	0.16073383	No	
row_67	SYNGR3	SYNGR3	3890	0.028842119500041008	0.15866567	No	
row_68	BACE2	BACE2	3897	0.028800325468182564	0.16058642	No	
row_69	NAB2	NAB2	3904	0.028764255344867706	0.1625044	No	
row_70	CDH4	CDH4	3939	0.028544055297970772	0.16309051	No	
row_71	PLAT	PLAT	4053	0.02790122851729393	0.15991715	No	
row_72	CREB3	CREB3	4238	0.026785481721162796	0.15332386	No	
row_73	ZNF329	ZNF329	4295	0.026447756215929985	0.1527164	No	
row_74	CD83	CD83	4319	0.026314616203308105	0.15364863	No	
row_75	VAX1	VAX1	4322	0.026286035776138306	0.15556496	No	
row_76	APOL6	APOL6	4528	0.02513011172413826	0.1478588	No	
row_77	PRR16	PRR16	4546	0.02503739669919014	0.14897515	No	
row_78	HAS2	HAS2	4692	0.024045776575803757	0.14400402	No	
row_79	ZFP36	ZFP36	4748	0.023768745362758636	0.14323863	No	
row_80	ELL2	ELL2	4749	0.023762419819831848	0.14505589	No	
row_81	SGPP2	SGPP2	4856	0.02319103479385376	0.14185107	No	
row_82	LIFR	LIFR	4928	0.022813554853200912	0.14026119	No	
row_83	FJX1	FJX1	5024	0.022381674498319626	0.13751109	No	
row_84	B2M	B2M	5076	0.022127030417323112	0.13680802	No	
row_85	OPTN	OPTN	5205	0.02150748111307621	0.1324412	No	
row_86	PSMD5	PSMD5	5228	0.021405011415481567	0.13304491	No	
row_87	BMP5	BMP5	5262	0.021215708926320076	0.13311754	No	
row_88	THY1	THY1	5296	0.021001767367124557	0.13317381	No	
row_89	STOM	STOM	5826	0.018558207899332047	0.10974806	No	
row_90	IL6ST	IL6ST	5931	0.018018657341599464	0.1062416	No	
row_91	NPNT	NPNT	6054	0.017477212473750114	0.10184834	No	
row_92	NR4A3	NR4A3	6451	0.015750745311379433	0.084454365	No	
row_93	CSF1	CSF1	6684	0.014755838550627232	0.07468673	No	
row_94	ZNF267	ZNF267	6876	0.01391388475894928	0.06678031	No	
row_95	FZD8	FZD8	7021	0.013353569433093071	0.06103844	No	
row_96	PCDH1	PCDH1	7051	0.013217520900070667	0.060687255	No	
row_97	RBM3	RBM3	7375	0.012004544958472252	0.046435304	No	
row_98	GABRA5	GABRA5	7431	0.011783731169998646	0.04475335	No	
row_99	HLA-B	HLA-B	7810	0.010420852340757847	0.027797153	No	
row_100	CYP1A1	CYP1A1	7889	0.010089442133903503	0.024905412	No	
row_101	CDC42EP5	CDC42EP5	7999	0.009602217003703117	0.020520462	No	
row_102	VWA1	VWA1	8282	0.008549719117581844	0.0079299025	No	
row_103	IL32	IL32	8306	0.008469165302813053	0.0074973768	No	
row_104	ZNF611	ZNF611	8319	0.008436727337539196	0.007578996	No	
row_105	EMILIN2	EMILIN2	8526	0.007707294542342424	-0.0015065729	No	
row_106	CDKN2B	CDKN2B	8624	0.007371210493147373	-0.0054985504	No	
row_107	PARP9	PARP9	8752	0.006854057312011719	-0.010939058	No	
row_108	PDGFA	PDGFA	9046	0.0058003817684948444	-0.024256503	No	
row_109	TSC22D4	TSC22D4	9139	0.005502438638359308	-0.028156567	No	
row_110	ETV6	ETV6	9202	0.005238850601017475	-0.03066781	No	
row_111	WIPF3	WIPF3	9336	0.00479266420006752	-0.03654776	No	
row_112	ERAP1	ERAP1	9374	0.004656228702515364	-0.037929412	No	
row_113	TMEM173	TMEM173	9450	0.004321633838117123	-0.041121356	No	
row_114	CYP4V2	CYP4V2	9462	0.004294410347938538	-0.04130956	No	
row_115	ORAI1	ORAI1	9567	0.0038419312331825495	-0.045900207	No	
row_116	MITD1	MITD1	9643	0.003554436145350337	-0.04915083	No	
row_117	GCLM	GCLM	9716	0.003284602891653776	-0.052281186	No	
row_118	SERPINA3	SERPINA3	10080	0.0020856887567788363	-0.06917033	No	
row_119	EGFLAM	EGFLAM	10147	0.0018736292840912938	-0.072126806	No	
row_120	IER2	IER2	10164	0.0018124637426808476	-0.072739646	No	
row_121	ZNF28	ZNF28	10202	0.0016720732674002647	-0.074349515	No	
row_122	NFE2L3	NFE2L3	10242	0.0014691241085529327	-0.07606883	No	
row_123	C1orf226	C1orf226	10309	0.001206238055601716	-0.07907634	No	
