NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANXA2	ANXA2	41	0.1635150909423828	0.0312758	No	
row_1	TRA2A	TRA2A	95	0.12863335013389587	0.054913376	No	
row_2	CTNND2	CTNND2	142	0.10932717472314835	0.074958794	No	
row_3	MAP2	MAP2	145	0.10823791474103928	0.09683262	No	
row_4	TRIM9	TRIM9	210	0.09915316104888916	0.113974795	No	
row_5	LANCL2	LANCL2	224	0.09648099541664124	0.13295017	No	
row_6	KIFAP3	KIFAP3	259	0.09304214268922806	0.15024948	No	
row_7	MCF2L	MCF2L	343	0.08653572201728821	0.16394594	No	
row_8	ADNP	ADNP	687	0.07001310586929321	0.16217864	No	
row_9	SCPEP1	SCPEP1	820	0.06510112434625626	0.16924256	No	
row_10	TGFBR2	TGFBR2	835	0.06463398039340973	0.18170798	No	
row_11	TMEM14A	TMEM14A	950	0.061742328107357025	0.18892866	No	
row_12	BSN	BSN	956	0.06164685636758804	0.20120704	No	
row_13	MARCKSL1	MARCKSL1	1500	0.051112931221723557	0.18628818	No	
row_14	ARHGEF7	ARHGEF7	1579	0.05015258863568306	0.19283354	No	
row_15	TRIM24	TRIM24	1626	0.04943671450018883	0.20072414	No	
row_16	DBN1	DBN1	1852	0.04641035571694374	0.19966294	No	
row_17	TGFBRAP1	TGFBRAP1	2008	0.044629890471696854	0.20150091	No	
row_18	ZMIZ1	ZMIZ1	2544	0.03899340704083443	0.184495	No	
row_19	ZNF219	ZNF219	2582	0.03868965059518814	0.19062369	No	
row_20	SMARCE1	SMARCE1	3190	0.03373566269874573	0.16919704	No	
row_21	ITGA2	ITGA2	3297	0.03298391401767731	0.1709538	No	
row_22	MAN1B1	MAN1B1	3411	0.03215223178267479	0.17221572	No	
row_23	SNTA1	SNTA1	3456	0.03184133395552635	0.17662847	No	
row_24	CDK5R1	CDK5R1	4054	0.027900397777557373	0.15448335	No	
row_25	ZNF75D	ZNF75D	4261	0.02668808400630951	0.1503045	No	
row_26	LRPPRC	LRPPRC	4504	0.025282850489020348	0.1441636	No	
row_27	IL13RA1	IL13RA1	4625	0.024536000564694405	0.14355375	No	
row_28	CRMP1	CRMP1	4989	0.022527877241373062	0.1312177	No	
row_29	TUBB2B	TUBB2B	5145	0.021755004301667213	0.12841319	No	
row_30	NFS1	NFS1	5308	0.020954135805368423	0.12512007	No	
row_31	BCAN	BCAN	5383	0.02062239870429039	0.12585859	No	
row_32	VEZF1	VEZF1	5451	0.02033740095794201	0.1268653	No	
row_33	CHD7	CHD7	6015	0.01766783744096756	0.10422714	No	
row_34	MARK1	MARK1	6078	0.01737665757536888	0.104865864	No	
row_35	PIK3C2B	PIK3C2B	6142	0.01712997630238533	0.105407946	No	
row_36	PDE8A	PDE8A	6241	0.01668459177017212	0.104229376	No	
row_37	PIGB	PIGB	6315	0.016383303329348564	0.10415413	No	
row_38	DPF1	DPF1	6416	0.015985041856765747	0.10274043	No	
row_39	TEC	TEC	6651	0.014910634607076645	0.09486712	No	
row_40	CYFIP2	CYFIP2	6776	0.014377581886947155	0.09200929	No	
row_41	ZNF254	ZNF254	6837	0.01407216303050518	0.09207052	No	
row_42	HNRNPA0	HNRNPA0	7293	0.012305137701332569	0.07337451	No	
row_43	GPM6A	GPM6A	7717	0.010732869617640972	0.05584993	No	
row_44	UBE2D2	UBE2D2	8116	0.009152350015938282	0.03916905	No	
row_45	APC2	APC2	8552	0.007643704768270254	0.020458573	No	
row_46	TCIRG1	TCIRG1	8678	0.007159617263823748	0.016089275	No	
row_47	DCTD	DCTD	8745	0.006879841443151236	0.014411344	No	
row_48	SARM1	SARM1	8948	0.006127785425633192	0.0062460685	No	
row_49	CSNK1D	CSNK1D	9324	0.004836030304431915	-0.0102395015	No	
row_50	SEMA6C	SEMA6C	9467	0.0042651924304664135	-0.015988065	No	
row_51	CYTH2	CYTH2	9789	0.0029995706863701344	-0.03033109	No	
row_52	TRIM36	TRIM36	9958	0.00248825759626925	-0.037651334	No	
row_53	ADCY1	ADCY1	9986	0.0024125364143401384	-0.038419332	No	
row_54	TRIM38	TRIM38	10082	0.002073989948257804	-0.0424234	No	
row_55	NAT1	NAT1	10918	-7.847998640500009E-4	-0.081157416	No	
row_56	MYO1E	MYO1E	10966	-9.994256542995572E-4	-0.083143786	No	
row_57	HLA-E	HLA-E	11037	-0.00126406189519912	-0.086147755	No	
row_58	NLRX1	NLRX1	11106	-0.0015197775792330503	-0.08900667	No	
row_59	ADNP2	ADNP2	11127	-0.0016038658795878291	-0.089612745	No	
row_60	PTOV1	PTOV1	11141	-0.0016771547961980104	-0.08987789	No	
row_61	SLC17A5	SLC17A5	11303	-0.0022509675472974777	-0.09692024	No	
row_62	MYOF	MYOF	11422	-0.0026695409324020147	-0.10187475	No	
row_63	NOVA1	NOVA1	11602	-0.0032858001068234444	-0.10954549	No	
row_64	C1orf61	C1orf61	12173	-0.005263639148324728	-0.13502714	No	
row_65	AUH	AUH	12522	-0.006508419290184975	-0.14991568	No	
row_66	LDLRAP1	LDLRAP1	12576	-0.006688940338790417	-0.15102682	No	
