NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1R	C1R	108	0.12038913369178772	0.021402864	No	
row_1	MTSS1	MTSS1	362	0.0849980041384697	0.02827996	No	
row_2	SDF4	SDF4	616	0.07214958220720291	0.032335903	No	
row_3	HCFC2	HCFC2	763	0.06721269339323044	0.04029247	No	
row_4	E2F5	E2F5	815	0.06529634445905685	0.052253865	No	
row_5	SCPEP1	SCPEP1	820	0.06510112434625626	0.066361904	No	
row_6	IFI16	IFI16	831	0.06479977071285248	0.08012427	No	
row_7	RAB11FIP5	RAB11FIP5	875	0.06357291340827942	0.09207992	No	
row_8	NUDT11	NUDT11	1306	0.05438407137989998	0.083989464	No	
row_9	NMI	NMI	1355	0.05338500067591667	0.093475215	No	
row_10	SP110	SP110	1523	0.05080638453364372	0.096851125	No	
row_11	RETSAT	RETSAT	1685	0.0487242117524147	0.10004936	No	
row_12	OSTF1	OSTF1	1920	0.04566449299454689	0.09917504	No	
row_13	SHC1	SHC1	2099	0.043510422110557556	0.10043653	No	
row_14	CLEC2B	CLEC2B	2106	0.04345390200614929	0.10969827	No	
row_15	TRIM5	TRIM5	2928	0.03593123331665993	0.07934124	No	
row_16	TRADD	TRADD	3580	0.03091828152537346	0.055802997	No	
row_17	CBX5	CBX5	3641	0.03057274781167507	0.059720796	No	
row_18	C1QTNF1	C1QTNF1	3773	0.029577210545539856	0.060112447	No	
row_19	KBTBD11	KBTBD11	3871	0.028965173289179802	0.061953615	No	
row_20	LPAR1	LPAR1	3933	0.028575202450156212	0.06538622	No	
row_21	DDX58	DDX58	3946	0.028463387861847878	0.07107696	No	
row_22	NLRP1	NLRP1	4727	0.023876609280705452	0.039983064	No	
row_23	B2M	B2M	5076	0.022127030417323112	0.028629854	No	
row_24	ELK3	ELK3	5298	0.020988663658499718	0.022943025	No	
row_25	MGLL	MGLL	5571	0.019712205976247787	0.014600071	No	
row_26	SOX11	SOX11	5768	0.018792519345879555	0.009595662	No	
row_27	CHD7	CHD7	6015	0.01766783744096756	0.002015041	No	
row_28	SEPHS1	SEPHS1	6256	0.016640445217490196	-0.0055116555	No	
row_29	GBP1	GBP1	6648	0.014920060522854328	-0.02045048	No	
