NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TBX2	TBX2	214	0.09823388606309891	0.009981504	Yes	
row_1	LHFP	LHFP	243	0.09463430196046829	0.027907271	Yes	
row_2	WSCD1	WSCD1	254	0.09337001293897629	0.046415698	Yes	
row_3	IRS2	IRS2	302	0.09030122309923172	0.062574655	Yes	
row_4	CDK6	CDK6	413	0.08192460983991623	0.07409272	Yes	
row_5	FZD3	FZD3	425	0.08112601190805435	0.09006625	Yes	
row_6	ZNF211	ZNF211	658	0.07081622630357742	0.09363628	Yes	
row_7	PRPF31	PRPF31	659	0.07080792635679245	0.108026035	Yes	
row_8	PTPN14	PTPN14	718	0.06886440515518188	0.11931546	Yes	
row_9	LFNG	LFNG	759	0.0673527792096138	0.13113728	Yes	
row_10	NDP	NDP	829	0.06485307216644287	0.14109844	Yes	
row_11	BTBD2	BTBD2	868	0.06390300393104553	0.15231249	Yes	
row_12	FZD7	FZD7	872	0.0637008473277092	0.16511798	Yes	
row_13	ITGB8	ITGB8	908	0.06254168599843979	0.17619531	Yes	
row_14	ANXA5	ANXA5	993	0.06070738285779953	0.1846143	Yes	
row_15	GPR56	GPR56	1019	0.060165565460920334	0.1956752	Yes	
row_16	SMO	SMO	1035	0.059897422790527344	0.20714802	Yes	
row_17	NR2E1	NR2E1	1068	0.0592472217977047	0.21769577	Yes	
row_18	RBM42	RBM42	1140	0.05790509283542633	0.22615166	Yes	
row_19	RGS6	RGS6	1661	0.048981308937072754	0.21185088	Yes	
row_20	ZNF671	ZNF671	1673	0.04887274280190468	0.22126983	Yes	
row_21	SIPA1L1	SIPA1L1	1768	0.047415126115083694	0.2265211	Yes	
row_22	DMWD	DMWD	1863	0.04628857970237732	0.23154344	Yes	
row_23	KEAP1	KEAP1	1867	0.04624456167221069	0.24080144	Yes	
row_24	HSPBP1	HSPBP1	1885	0.04604513198137283	0.24936588	Yes	
row_25	QTRT1	QTRT1	1893	0.045952603220939636	0.25837797	Yes	
row_26	ZFHX4	ZFHX4	1942	0.04535094276070595	0.26535538	Yes	
row_27	DAG1	DAG1	2159	0.0428704209625721	0.26399252	Yes	
row_28	KIAA0355	KIAA0355	2180	0.042621590197086334	0.27172127	Yes	
row_29	GLI2	GLI2	2252	0.04176817089319229	0.2768978	Yes	
row_30	SOX9	SOX9	2323	0.04088398814201355	0.28194124	Yes	
row_31	ZNF304	ZNF304	2499	0.039321936666965485	0.28176963	Yes	
row_32	TMEM161A	TMEM161A	2694	0.03782070428133011	0.2804067	Yes	
row_33	VPS16	VPS16	3180	0.03381524607539177	0.26465642	Yes	
row_34	VAV3	VAV3	3218	0.033558811992406845	0.26975048	Yes	
row_35	PEPD	PEPD	3273	0.03314549848437309	0.27396762	Yes	
row_36	SNTA1	SNTA1	3456	0.03184133395552635	0.2719493	Yes	
row_37	EGFR	EGFR	3517	0.031388524919748306	0.27552947	Yes	
row_38	CDH2	CDH2	3536	0.031238526105880737	0.28103825	Yes	
row_39	PMP22	PMP22	3640	0.030573120340704918	0.28244707	Yes	
row_40	ACSL3	ACSL3	3718	0.030000431463122368	0.28495225	Yes	
row_41	RFXANK	RFXANK	3878	0.02893422730267048	0.2834159	Yes	
row_42	CDH4	CDH4	3939	0.028544055297970772	0.28641808	Yes	
row_43	CD3EAP	CD3EAP	4385	0.02595055289566517	0.27093524	No	
row_44	FGFR3	FGFR3	4501	0.025309881195425987	0.27071473	No	
row_45	SLC4A4	SLC4A4	4538	0.02508818544447422	0.274134	No	
row_46	POMT2	POMT2	4573	0.024834545329213142	0.27759504	No	
row_47	GJA1	GJA1	4600	0.02465924620628357	0.28139362	No	
row_48	LAMB2	LAMB2	4960	0.02267133817076683	0.26925576	No	
row_49	ZNF45	ZNF45	4974	0.022608323022723198	0.2732439	No	
row_50	ZNF235	ZNF235	4992	0.022516697645187378	0.27702683	No	
row_51	TGIF2	TGIF2	5157	0.021696507930755615	0.27378646	No	
row_52	PTPRA	PTPRA	5269	0.021178528666496277	0.27291292	No	
row_53	KLHDC8A	KLHDC8A	5497	0.02008119970560074	0.26640567	No	
row_54	RFX2	RFX2	5647	0.0193020086735487	0.26337832	No	
row_55	ZNF134	ZNF134	5742	0.01889234595000744	0.26283315	No	
row_56	B3GALT1	B3GALT1	6549	0.015394795686006546	0.22836667	No	
row_57	MEOX2	MEOX2	6835	0.014077992178499699	0.2179341	No	
row_58	LMO2	LMO2	7182	0.012719584628939629	0.20438018	No	
row_59	CC2D1A	CC2D1A	7213	0.012605957686901093	0.20554268	No	
row_60	GSTK1	GSTK1	7272	0.012369994074106216	0.20535119	No	
row_61	SLC6A11	SLC6A11	7346	0.012114390730857849	0.2044081	No	
row_62	CREB5	CREB5	7363	0.012060047127306461	0.20611265	No	
row_63	TEAD3	TEAD3	7536	0.011348236352205276	0.2003961	No	
row_64	DLC1	DLC1	8159	0.008977929130196571	0.17320807	No	
row_65	TRIB2	TRIB2	8647	0.0072923628613352776	0.15197444	No	
row_66	RBCK1	RBCK1	8828	0.0065091499127447605	0.14490134	No	
row_67	DOCK6	DOCK6	8895	0.0063233994878828526	0.14310788	No	
row_68	PDGFA	PDGFA	9046	0.0058003817684948444	0.13729006	No	
row_69	SCAMP4	SCAMP4	9345	0.004776439163833857	0.12436083	No	
row_70	ILK	ILK	9385	0.004626685753464699	0.12348196	No	
row_71	MLC1	MLC1	9469	0.004261671099811792	0.12047658	No	
row_72	GRIK1	GRIK1	9586	0.0037832739762961864	0.11583472	No	
row_73	TMED1	TMED1	9753	0.003133624093607068	0.10872865	No	
row_74	PLA2G5	PLA2G5	9825	0.0028652260079979897	0.1059992	No	
row_75	SARS2	SARS2	9828	0.002862601075321436	0.10648766	No	
row_76	DENND2A	DENND2A	9891	0.0026920861564576626	0.10414282	No	
row_77	RGS12	RGS12	9896	0.002688443288207054	0.1045026	No	
row_78	ELOVL2	ELOVL2	10475	6.289378507062793E-4	0.0776702	No	
row_79	NPEPL1	NPEPL1	11036	-0.0012638011248782277	0.051806413	No	
row_80	MAB21L1	MAB21L1	11085	-0.0014398636994883418	0.049860116	No	
row_81	ERCC2	ERCC2	11147	-0.0017015862977132201	0.047360633	No	
row_82	EYA2	EYA2	11213	-0.0018990716198459268	0.04471471	No	
row_83	ZNF20	ZNF20	11223	-0.0019368496723473072	0.044688527	No	
row_84	AKT2	AKT2	11421	-0.0026694198604673147	0.03604215	No	
row_85	LRP10	LRP10	11474	-0.0028505083173513412	0.03419595	No	
row_86	C19orf22	C19orf22	11484	-0.0028710723854601383	0.03435962	No	
row_87	ACSBG1	ACSBG1	12021	-0.00468961289152503	0.010311487	No	
row_88	GLG1	GLG1	12198	-0.005345542915165424	0.0031884825	No	
row_89	MYO5C	MYO5C	12276	-0.005630478262901306	7.4113556E-4	No	
row_90	TRIP6	TRIP6	12336	-0.005873777437955141	-8.17176E-4	No	
row_91	GNAS	GNAS	12432	-0.00619056960567832	-0.003990291	No	
row_92	LRRC16	LRRC16	12465	-0.006305243819952011	-0.0042015323	No	
row_93	ARNTL	ARNTL	12633	-0.00689424155279994	-0.010590011	No	
row_94	NR2F6	NR2F6	12640	-0.006912801414728165	-0.00946504	No	
row_95	CDH6	CDH6	12859	-0.007721446920186281	-0.018064255	No	
row_96	SHOX2	SHOX2	12923	-0.007947823964059353	-0.01938765	No	
row_97	SOCS2	SOCS2	12965	-0.008121452294290066	-0.019649593	No	
row_98	CD97	CD97	12979	-0.008180636912584305	-0.018593477	No	
row_99	CENTD1	CENTD1	13241	-0.009125752374529839	-0.028912995	No	
row_100	JAG1	JAG1	13262	-0.009224824607372284	-0.027971186	No	
row_101	CD151	CD151	13304	-0.009378071874380112	-0.027977755	No	
row_102	FBXO17	FBXO17	13319	-0.009434820152819157	-0.026713405	No	
row_103	IRF3	IRF3	13414	-0.009770896285772324	-0.029112274	No	
row_104	ABCD2	ABCD2	13424	-0.00981059018522501	-0.027538339	No	
row_105	ZNF8	ZNF8	14099	-0.01247677206993103	-0.056440815	No	
row_106	SLC2A10	SLC2A10	14204	-0.012875305488705635	-0.05867524	No	
row_107	TGFB3	TGFB3	14231	-0.012960516847670078	-0.057254117	No	
row_108	APBA3	APBA3	14234	-0.012975395657122135	-0.054710515	No	
row_109	PIPOX	PIPOX	14260	-0.013058026321232319	-0.053222932	No	
row_110	MEGF8	MEGF8	14380	-0.01352155115455389	-0.056025684	No	
row_111	JUND	JUND	14460	-0.013811720535159111	-0.05690371	No	
row_112	ZNF419	ZNF419	14479	-0.013889976777136326	-0.054920547	No	
row_113	LRP5	LRP5	14516	-0.014041608199477196	-0.053746164	No	
row_114	KLHL25	KLHL25	14523	-0.014057434163987637	-0.051169243	No	
row_115	TMEM147	TMEM147	14641	-0.014526867307722569	-0.053674404	No	
row_116	MEIS1	MEIS1	14829	-0.015323818661272526	-0.059282687	No	
row_117	ZNF227	ZNF227	15043	-0.01628330536186695	-0.06590872	No	
row_118	ZNF606	ZNF606	15137	-0.016672387719154358	-0.06685841	No	
row_119	PCSK5	PCSK5	15516	-0.01819615624845028	-0.080791965	No	
row_120	NES	NES	15616	-0.018668146803975105	-0.08161593	No	
row_121	GRIK5	GRIK5	15628	-0.01871870644390583	-0.07832496	No	
row_122	MGC2752	MGC2752	15906	-0.020057300105690956	-0.087169245	No	
row_123	EXTL3	EXTL3	16028	-0.020582932978868484	-0.08863026	No	
row_124	MCC	MCC	16327	-0.021969685330986977	-0.09806543	No	
row_125	NPAS3	NPAS3	16347	-0.022046273574233055	-0.09447137	No	
row_126	ITGA7	ITGA7	16442	-0.022462403401732445	-0.094291046	No	
row_127	SPRY2	SPRY2	16493	-0.022717390209436417	-0.092006564	No	
row_128	TLE2	TLE2	16986	-0.025166155770421028	-0.10984107	No	
row_129	GALNT4	GALNT4	16989	-0.025176189839839935	-0.104817994	No	
row_130	HS3ST3B1	HS3ST3B1	17068	-0.025652490556240082	-0.10324307	No	
row_131	SLC6A9	SLC6A9	17309	-0.027002211660146713	-0.10895017	No	
row_132	RASGRP1	RASGRP1	17827	-0.02983451448380947	-0.12700206	No	
row_133	POFUT1	POFUT1	18272	-0.032784853130578995	-0.14104937	No	
row_134	ZNF264	ZNF264	18741	-0.03638568893074989	-0.15548436	No	
row_135	EPHB4	EPHB4	18748	-0.036446891725063324	-0.1483574	No	
row_136	SSH3	SSH3	18771	-0.03661685436964035	-0.14194222	No	
row_137	ADAM19	ADAM19	18801	-0.036868855357170105	-0.13580231	No	
row_138	SEMA6D	SEMA6D	18870	-0.03752577304840088	-0.13134803	No	
row_139	ZNF446	ZNF446	19404	-0.04236888512969017	-0.14759897	No	
row_140	CALM1	CALM1	19460	-0.043154001235961914	-0.14139454	No	
row_141	SEMA6A	SEMA6A	19784	-0.046979889273643494	-0.14691317	No	
row_142	BLM	BLM	20072	-0.050875283777713776	-0.14996101	No	
row_143	LRFN3	LRFN3	20177	-0.05229218676686287	-0.14418504	No	
row_144	CLIP2	CLIP2	20211	-0.05286628380417824	-0.13498068	No	
row_145	OSBPL3	OSBPL3	20251	-0.05380365252494812	-0.1258657	No	
row_146	GAS1	GAS1	20486	-0.05779150873422623	-0.12503587	No	
