NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GATM	GATM	24	0.1828509122133255	0.12933218	Yes	
row_1	LHFP	LHFP	243	0.09463430196046829	0.18672653	Yes	
row_2	DTNA	DTNA	290	0.09137828648090363	0.24978095	Yes	
row_3	PLCE1	PLCE1	500	0.07794860005378723	0.2956894	Yes	
row_4	PHKB	PHKB	1025	0.060014523565769196	0.3141838	Yes	
row_5	ABLIM1	ABLIM1	1755	0.047688305377960205	0.3143701	Yes	
row_6	NCOA1	NCOA1	1844	0.04646335914731026	0.34343284	Yes	
row_7	ZFHX4	ZFHX4	1942	0.04535094276070595	0.37128428	Yes	
row_8	SOX9	SOX9	2323	0.04088398814201355	0.3828143	Yes	
row_9	VAV3	VAV3	3218	0.033558811992406845	0.36526257	Yes	
row_10	KIAA0494	KIAA0494	3309	0.032904624938964844	0.38455966	Yes	
row_11	SEPT11	SEPT11	3667	0.030375363305211067	0.38966027	Yes	
row_12	ACSL3	ACSL3	3718	0.030000431463122368	0.408742	Yes	
row_13	TYK2	TYK2	3910	0.02873820625245571	0.42037913	Yes	
row_14	CDH4	CDH4	3939	0.028544055297970772	0.43944296	Yes	
row_15	FGFR3	FGFR3	4501	0.025309881195425987	0.43146175	Yes	
row_16	SLC4A4	SLC4A4	4538	0.02508818544447422	0.44768885	Yes	
row_17	ZNF45	ZNF45	4974	0.022608323022723198	0.44362828	No	
row_18	PTPRA	PTPRA	5269	0.021178528666496277	0.44509184	No	
row_19	SLC3A2	SLC3A2	6265	0.01658898964524269	0.4107462	No	
row_20	PLCG1	PLCG1	6810	0.014223411679267883	0.3956449	No	
row_21	MEOX2	MEOX2	6835	0.014077992178499699	0.40457425	No	
row_22	STXBP3	STXBP3	8077	0.009301338344812393	0.35361215	No	
row_23	BBS1	BBS1	8334	0.00838621985167265	0.34771332	No	
row_24	RBCK1	RBCK1	8828	0.0065091499127447605	0.3294757	No	
row_25	MLC1	MLC1	9469	0.004261671099811792	0.3028121	No	
row_26	GRIK1	GRIK1	9586	0.0037832739762961864	0.30012724	No	
row_27	DENND2A	DENND2A	9891	0.0026920861564576626	0.28793845	No	
row_28	CTNND1	CTNND1	10035	0.002267347415909171	0.282919	No	
row_29	PNPLA6	PNPLA6	10054	0.0021793136838823557	0.2836383	No	
row_30	TJP1	TJP1	10109	0.00197779294103384	0.282543	No	
row_31	ELOVL2	ELOVL2	10475	6.289378507062793E-4	0.2660512	No	
row_32	USP8	USP8	10618	1.4293697313405573E-4	0.2595626	No	
row_33	NPEPL1	NPEPL1	11036	-0.0012638011248782277	0.24111027	No	
row_34	EYA2	EYA2	11213	-0.0018990716198459268	0.2342965	No	
row_35	SALL1	SALL1	11657	-0.0034653348848223686	0.21620801	No	
row_36	PAX6	PAX6	11825	-0.004035572987049818	0.21133614	No	
row_37	BCKDHB	BCKDHB	11836	-0.0041038463823497295	0.2137997	No	
row_38	ACSBG1	ACSBG1	12021	-0.00468961289152503	0.20860541	No	
row_39	POLRMT	POLRMT	12094	-0.0049804579466581345	0.20881678	No	
row_40	MYO5C	MYO5C	12276	-0.005630478262901306	0.20443295	No	
row_41	ARNTL	ARNTL	12633	-0.00689424155279994	0.19282852	No	
row_42	UPF1	UPF1	13825	-0.01130459550768137	0.14561616	No	
row_43	CST3	CST3	14040	-0.01222966518253088	0.14440858	No	
row_44	SPRY2	SPRY2	16493	-0.022717390209436417	0.04681217	No	
row_45	C14orf159	C14orf159	16777	-0.024161214008927345	0.050914124	No	
row_46	RASGRP1	RASGRP1	17827	-0.02983451448380947	0.023511577	No	
row_47	PPARGC1A	PPARGC1A	19659	-0.04547373950481415	-0.029028365	No	
row_48	SLC20A2	SLC20A2	21135	-0.0788954347372055	-0.041202437	No	
row_49	ZHX3	ZHX3	21264	-0.08761637657880783	0.015362424	No	
