NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TGFBI	TGFBI	137	0.11054713279008865	0.055542715	No	
row_1	ITGB1	ITGB1	677	0.07034789025783539	0.06991799	No	
row_2	COL5A1	COL5A1	1392	0.05274829640984535	0.06631616	No	
row_3	CNN2	CNN2	2016	0.04450203850865364	0.06232033	No	
row_4	GPRC5A	GPRC5A	2052	0.04412856698036194	0.08540583	No	
row_5	RGS2	RGS2	2154	0.04297550395131111	0.10478245	No	
row_6	BCL3	BCL3	2307	0.04107200726866722	0.12072617	No	
row_7	ANPEP	ANPEP	2706	0.03770705685019493	0.12336824	No	
row_8	COL3A1	COL3A1	2743	0.037398625165224075	0.14263888	No	
row_9	RARRES1	RARRES1	3184	0.03378301113843918	0.14113435	No	
row_10	SLPI	SLPI	3427	0.03203468769788742	0.14784048	No	
row_11	BACE2	BACE2	3897	0.028800325468182564	0.14219993	No	
row_12	TNFAIP8	TNFAIP8	4128	0.027484331279993057	0.14691503	No	
row_13	LOX	LOX	5014	0.02239387109875679	0.118379645	No	
row_14	GLIPR1	GLIPR1	8258	0.008640678599476814	-0.027297152	No	
row_15	MMP7	MMP7	9129	0.005527832079678774	-0.06458055	No	
row_16	CDCP1	CDCP1	9398	0.004572750069200993	-0.074458525	No	
row_17	RAC2	RAC2	9455	0.004308538977056742	-0.074645035	No	
row_18	FTL	FTL	9543	0.003920585848391056	-0.07648756	No	
row_19	COL1A2	COL1A2	9939	0.0025608621072024107	-0.09338647	No	
row_20	THBS1	THBS1	10919	-7.882073405198753E-4	-0.13838278	No	
row_21	ACPP	ACPP	10996	-0.0011181916343048215	-0.14128399	No	
row_22	IL6	IL6	11217	-0.0019201443064957857	-0.1504195	No	
row_23	CD72	CD72	11460	-0.00280373590067029	-0.16008133	No	
row_24	RUNX1	RUNX1	11533	-0.003045005025342107	-0.16171795	No	
row_25	COL15A1	COL15A1	12559	-0.006626286543905735	-0.20558017	No	
row_26	RAB27A	RAB27A	12626	-0.0068625276908278465	-0.2048007	No	
row_27	PTGS2	PTGS2	13295	-0.009355480782687664	-0.2305655	No	
row_28	PI3	PI3	13838	-0.01138223335146904	-0.24934746	No	
row_29	CAV1	CAV1	14427	-0.01369250938296318	-0.26897076	No	
row_30	BNC2	BNC2	14603	-0.01436825655400753	-0.26904735	No	
row_31	COL1A1	COL1A1	14878	-0.015542915090918541	-0.27306104	No	
row_32	LUM	LUM	15213	-0.016896171495318413	-0.2791017	No	
row_33	SPAG4	SPAG4	15315	-0.017338717356324196	-0.27408046	No	
row_34	VDR	VDR	15499	-0.018102435395121574	-0.2724374	No	
row_35	NNMT	NNMT	16336	-0.021992143243551254	-0.29892355	No	
row_36	IL7R	IL7R	17107	-0.02590613253414631	-0.32015482	No	
row_37	SYNGR2	SYNGR2	17709	-0.029193898662924767	-0.3317014	No	
row_38	CTSB	CTSB	18445	-0.034068409353494644	-0.34673777	No	
row_39	SDC1	SDC1	18831	-0.03714524954557419	-0.34380692	No	
row_40	P4HA2	P4HA2	19472	-0.043228138238191605	-0.34930506	Yes	
row_41	PLAUR	PLAUR	19606	-0.044755719602108	-0.3304168	Yes	
row_42	CTSC	CTSC	19916	-0.04874143376946449	-0.3174653	Yes	
row_43	CYP1B1	CYP1B1	20518	-0.058524761348962784	-0.312588	Yes	
row_44	S100A11	S100A11	21047	-0.07459999620914459	-0.2953212	Yes	
row_45	ARPC1B	ARPC1B	21177	-0.0817771628499031	-0.25551704	Yes	
row_46	LY96	LY96	21395	-0.10380867123603821	-0.20746051	Yes	
row_47	PRSS23	PRSS23	21462	-0.11592554301023483	-0.14561087	Yes	
row_48	IER3	IER3	21480	-0.12186991423368454	-0.07815844	Yes	
row_49	NDRG1	NDRG1	21524	-0.14902964234352112	0.003295433	Yes	
