NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MTSS1	MTSS1	362	0.0849980041384697	0.056685627	Yes	
row_1	PLCB4	PLCB4	1109	0.05848043039441109	0.07262257	Yes	
row_2	MYB	MYB	1166	0.05731119588017464	0.119573124	Yes	
row_3	HN1	HN1	1966	0.04506063461303711	0.12144783	Yes	
row_4	SOX10	SOX10	2218	0.042149998247623444	0.14624004	Yes	
row_5	RAB33A	RAB33A	2265	0.04164791479706764	0.18011269	Yes	
row_6	DCTN3	DCTN3	2342	0.040687885135412216	0.21176295	Yes	
row_7	NARF	NARF	2394	0.040117088705301285	0.24408002	Yes	
row_8	MAST1	MAST1	2578	0.03873225674033165	0.2690734	Yes	
row_9	KLRK1	KLRK1	2943	0.035841599106788635	0.28316694	Yes	
row_10	VIPR2	VIPR2	2996	0.03536501154303551	0.3113291	Yes	
row_11	MYT1	MYT1	3053	0.03494735807180405	0.33894452	Yes	
row_12	CDKN1C	CDKN1C	4067	0.02784499153494835	0.31600282	No	
row_13	PKMYT1	PKMYT1	4615	0.024570535868406296	0.31185827	No	
row_14	DACH1	DACH1	4922	0.022867443040013313	0.31742665	No	
row_15	JPH3	JPH3	5411	0.020492970943450928	0.31249508	No	
row_16	GPR17	GPR17	7361	0.01206417940557003	0.23246782	No	
row_17	NPPA	NPPA	7771	0.010546584613621235	0.22260346	No	
row_18	PCDHA9	PCDHA9	7977	0.009703289717435837	0.22147812	No	
row_19	RASL11B	RASL11B	8153	0.008999359793961048	0.22113656	No	
row_20	KLRC4	KLRC4	8265	0.008620055392384529	0.22343744	No	
row_21	KCNK3	KCNK3	8406	0.008081206120550632	0.2239265	No	
row_22	SMPD3	SMPD3	9100	0.005629001185297966	0.19662943	No	
row_23	PFDN2	PFDN2	9401	0.004554494749754667	0.18664342	No	
row_24	TCP1	TCP1	9442	0.004373609554022551	0.18856823	No	
row_25	BAMBI	BAMBI	9481	0.004196582827717066	0.1904328	No	
row_26	GRID2	GRID2	9539	0.003951145336031914	0.19120336	No	
row_27	NHLH1	NHLH1	10113	0.0019698396790772676	0.16631216	No	
row_28	EPHB1	EPHB1	10273	0.0013289888156577945	0.16008161	No	
row_29	ZNF643	ZNF643	10518	5.100663984194398E-4	0.14919798	No	
row_30	HRASLS	HRASLS	10626	1.1105895100627095E-4	0.14432788	No	
row_31	PDGFRA	PDGFRA	11054	-0.0013193566119298339	0.1256505	No	
row_32	HOXD3	HOXD3	11340	-0.002371351234614849	0.114473194	No	
row_33	ERBB3	ERBB3	11564	-0.0031419163569808006	0.10683966	No	
row_34	IL1RAPL1	IL1RAPL1	11783	-0.003895215457305312	0.10008946	No	
row_35	KLRC3	KLRC3	13100	-0.008593366481363773	0.046440426	No	
row_36	CLGN	CLGN	13156	-0.008828219026327133	0.051520377	No	
row_37	CA10	CA10	13883	-0.011541221290826797	0.027803244	No	
row_38	SIM2	SIM2	14181	-0.012772121466696262	0.0250612	No	
row_39	GABRB3	GABRB3	14334	-0.013323018327355385	0.029525233	No	
row_40	BCL11A	BCL11A	14923	-0.015718603506684303	0.015824648	No	
row_41	HDAC2	HDAC2	15049	-0.01631568744778633	0.024129191	No	
row_42	UGT8	UGT8	15565	-0.018438758328557014	0.016168475	No	
row_43	SLC17A6	SLC17A6	16364	-0.02208377607166767	-0.0017755486	No	
row_44	PAK7	PAK7	18244	-0.03256703168153763	-0.06082777	No	
row_45	PTTG1	PTTG1	18617	-0.03541087731719017	-0.04747791	No	
row_46	CENPJ	CENPJ	18780	-0.036686185747385025	-0.02327886	No	
row_47	SLC1A1	SLC1A1	19759	-0.04658681899309158	-0.028392462	No	
row_48	ZNF804A	ZNF804A	20595	-0.060337308794260025	-0.0149808135	No	
row_49	NMU	NMU	20948	-0.07095634937286377	0.03002891	No	
