NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
FOSL1_REGULON	FOSL1_REGULON	Details ...	219	-0.57744354	-2.627471	0.0	0.0	0.0	2125	tags=37%, list=10%, signal=41%	
VERHAAK_MES_2010	VERHAAK_MES_2010	Details ...	213	-0.41741687	-1.8966436	0.0	0.0014184209	0.004	2835	tags=28%, list=13%, signal=32%	
PHILLIPS_MES_2006	PHILLIPS_MES_2006	Details ...	125	-0.41462108	-1.7570016	0.0	0.0040573115	0.014	2024	tags=27%, list=9%, signal=30%	
ELF4_REGULON	ELF4_REGULON	Details ...	132	-0.40185383	-1.7274532	0.0	0.004455574	0.02	2896	tags=29%, list=13%, signal=33%	
SCHMITT_TNF_2020	SCHMITT_TNF_2020	Details ...	304	-0.3609119	-1.711786	0.0	0.0039041655	0.022	3055	tags=27%, list=14%, signal=31%	
SP100_REGULON	SP100_REGULON	Details ...	130	-0.39346373	-1.692748	0.0	0.0040680408	0.028	3363	tags=28%, list=16%, signal=34%	
NEFTEL_MES1_2019	NEFTEL_MES1_2019	Details ...	50	-0.4376462	-1.6074172	0.009940358	0.00918006	0.071	2508	tags=38%, list=12%, signal=43%	
RICHARDS_INJ_2021	RICHARDS_INJ_2021	Details ...	3632	-0.2770499	-1.5415725	0.0	0.015526765	0.132	3045	tags=19%, list=14%, signal=18%	
SCHMITT_HMG_2020	SCHMITT_HMG_2020	Details ...	276	-0.30534154	-1.4367709	0.002008032	0.03409353	0.299	3319	tags=24%, list=15%, signal=28%	
SOX11_REGULON	SOX11_REGULON	Details ...	127	-0.33689862	-1.4327704	0.015779093	0.031647433	0.305	3357	tags=31%, list=16%, signal=36%	
WANG_MES_2017	WANG_MES_2017	Details ...	50	-0.3735108	-1.3397602	0.0831643	0.063794345	0.543	2125	tags=20%, list=10%, signal=22%	
VDR_REGULON	VDR_REGULON	Details ...	154	-0.298967	-1.2960764	0.044487428	0.08163539	0.673	4117	tags=27%, list=19%, signal=33%	
NEFTEL_G2.M_2019	NEFTEL_G2.M_2019	Details ...	42	-0.30618078	-1.0703233	0.33864543	0.31979495	0.997	4947	tags=36%, list=23%, signal=46%	
VERHAAK_NEU_2010	VERHAAK_NEU_2010	Details ...	127	-0.18673901	-0.8068953	0.89	0.8753801	1.0	6557	tags=35%, list=30%, signal=51%	
