NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
NEFTEL_OPC_2019	NEFTEL_OPC_2019	Details ...	49	0.6233505	2.2537508	0.0	0.0	0.0	3898	tags=45%, list=18%, signal=55%	
VERHAAK_PN_2010	VERHAAK_PN_2010	Details ...	168	0.42768008	1.9229542	0.0	0.0011165414	0.002	3673	tags=32%, list=17%, signal=38%	
ASCL1_REGULON	ASCL1_REGULON	Details ...	98	0.47528905	1.9207528	0.0	7.443609E-4	0.002	3061	tags=35%, list=14%, signal=40%	
NEFTEL_AC_2019	NEFTEL_AC_2019	Details ...	39	0.5204621	1.7983316	0.004237288	0.0027640455	0.01	1643	tags=33%, list=8%, signal=36%	
NEFTEL_NPC1_2019	NEFTEL_NPC1_2019	Details ...	50	0.48781687	1.7288727	0.007905139	0.0046717934	0.021	4694	tags=48%, list=22%, signal=61%	
NEFTEL_MES2_2019	NEFTEL_MES2_2019	Details ...	49	0.473447	1.6622528	0.004149378	0.008401492	0.043	1954	tags=45%, list=9%, signal=49%	
NEFTEL_NPC2_2019	NEFTEL_NPC2_2019	Details ...	44	0.45557898	1.6110197	0.01	0.010855442	0.065	4586	tags=48%, list=21%, signal=60%	
WANG_CL_2017	WANG_CL_2017	Details ...	50	0.44768885	1.5960371	0.012526096	0.01200394	0.079	4538	tags=34%, list=21%, signal=43%	
RICHARDS_DEV_2021	RICHARDS_DEV_2021	Details ...	2907	0.24524999	1.3573687	0.0	0.086788885	0.494	3970	tags=23%, list=18%, signal=24%	
PHILLIPS_PN_2006	PHILLIPS_PN_2006	Details ...	226	0.28624728	1.3187621	0.024948025	0.103173785	0.592	1884	tags=16%, list=9%, signal=17%	
PHILLIPS_PROLIFERATIVE_2006	PHILLIPS_PROLIFERATIVE_2006	Details ...	177	0.2944577	1.2969382	0.040567953	0.10944437	0.657	3297	tags=23%, list=15%, signal=27%	
WANG_PN_2017	WANG_PN_2017	Details ...	50	0.33894452	1.2539452	0.12745099	0.13697912	0.76	3053	tags=24%, list=14%, signal=28%	
VERHAAK_CL_2010	VERHAAK_CL_2010	Details ...	157	0.28641808	1.2468582	0.06451613	0.13352494	0.783	3939	tags=27%, list=18%, signal=33%	
SALL2_REGULON	SALL2_REGULON	Details ...	91	0.2837111	1.1333504	0.23265307	0.25941712	0.966	2691	tags=23%, list=12%, signal=26%	
OLIG2_REGULON	OLIG2_REGULON	Details ...	144	0.26190338	1.1310581	0.19254659	0.24532385	0.966	1643	tags=15%, list=8%, signal=16%	
NEFTEL_G1.S_2019	NEFTEL_G1.S_2019	Details ...	28	0.3566162	1.127816	0.28893444	0.23388107	0.966	4980	tags=39%, list=23%, signal=51%	
POU3F3_REGULON	POU3F3_REGULON	Details ...	95	0.26901802	1.0908386	0.275	0.27800605	0.988	4279	tags=28%, list=20%, signal=35%	
BNC2_REGULON	BNC2_REGULON	Details ...	109	0.25640944	1.0574288	0.33529413	0.32299724	0.997	2760	tags=17%, list=13%, signal=20%	
