NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLXNB1	PLXNB1	113	0.08688218146562576	0.017826682	No	
row_1	MTMR12	MTMR12	180	0.07911557704210281	0.035776094	No	
row_2	UBN1	UBN1	199	0.0777212604880333	0.055587724	No	
row_3	ELF4	ELF4	328	0.068996861577034	0.06796495	No	
row_4	PLS1	PLS1	369	0.06698942929506302	0.08390206	No	
row_5	MET	MET	520	0.0606268048286438	0.09303224	No	
row_6	NLGN4X	NLGN4X	581	0.05919196829199791	0.105967455	No	
row_7	GANAB	GANAB	592	0.058904752135276794	0.12115206	No	
row_8	CSGALNACT1	CSGALNACT1	616	0.058444805443286896	0.13560978	No	
row_9	RERE	RERE	944	0.05164467170834541	0.13412066	No	
row_10	PAK1	PAK1	964	0.05115838721394539	0.14682858	No	
row_11	IL4R	IL4R	1474	0.04368811473250389	0.13476007	No	
row_12	REV3L	REV3L	1541	0.04307425022125244	0.14313406	No	
row_13	PCSK2	PCSK2	2570	0.033937305212020874	0.104334295	No	
row_14	SEPT2	SEPT2	3624	0.02709748037159443	0.06255449	No	
row_15	NTRK3	NTRK3	3839	0.02593677118420601	0.059491392	No	
row_16	MKNK1	MKNK1	4120	0.02437329851090908	0.052942995	No	
row_17	GRIK4	GRIK4	4343	0.02330416440963745	0.04880835	No	
row_18	ETV1	ETV1	4563	0.022272750735282898	0.044539224	No	
row_19	CDK6	CDK6	4843	0.020974744111299515	0.03713442	No	
row_20	CLASP2	CLASP2	5119	0.019706575199961662	0.029578742	No	
row_21	BBS7	BBS7	5802	0.016702519729733467	0.0022938387	No	
row_22	DCX	DCX	5806	0.016682710498571396	0.006586537	No	
row_23	COBL	COBL	6195	0.015093652531504631	-0.007450753	No	
row_24	SEPT7	SEPT7	6205	0.01503662671893835	-0.003874466	No	
row_25	JAKMIP2	JAKMIP2	6318	0.014522355049848557	-0.005225731	No	
row_26	MAOB	MAOB	6447	0.014021609909832478	-0.007454254	No	
row_27	RHBDF2	RHBDF2	6721	0.013049401342868805	-0.016685572	No	
row_28	PTK7	PTK7	6817	0.012694167904555798	-0.017731814	No	
row_29	ASTN1	ASTN1	7102	0.011602219194173813	-0.027859269	No	
row_30	RGR	RGR	7204	0.011264260858297348	-0.029564487	No	
row_31	DOCK10	DOCK10	7217	0.011234096251428127	-0.027137993	No	
row_32	B3GAT1	B3GAT1	7384	0.010627011768519878	-0.032035913	No	
row_33	ACSBG1	ACSBG1	7763	0.00939107034355402	-0.04712312	No	
row_34	TBC1D9	TBC1D9	8088	0.008229618892073631	-0.060007155	No	
row_35	IER3	IER3	8602	0.006544340401887894	-0.08213004	No	
row_36	ZCCHC24	ZCCHC24	8630	0.00646783784031868	-0.08166754	No	
row_37	ABAT	ABAT	9125	0.0048569124191999435	-0.10335498	No	
row_38	OGFRL1	OGFRL1	9717	0.0028972793370485306	-0.13007489	No	
row_39	SNTG1	SNTG1	9810	0.0025972912553697824	-0.13366412	No	
row_40	TCF12	TCF12	10438	7.000960758887231E-4	-0.16264226	No	
row_41	TPBG	TPBG	10604	1.664112351136282E-4	-0.17027283	No	
row_42	ATP2B2	ATP2B2	11917	-0.004100007005035877	-0.23020963	No	
row_43	WBP4	WBP4	12066	-0.004639078862965107	-0.23586117	No	
row_44	QKI	QKI	12085	-0.004686730448156595	-0.23545325	No	
row_45	RPE65	RPE65	12670	-0.006573305930942297	-0.26087093	No	
row_46	P2RX7	P2RX7	12774	-0.006929055787622929	-0.26382095	No	
row_47	TUBB2B	TUBB2B	13277	-0.008576629683375359	-0.28489223	No	
row_48	ELAVL4	ELAVL4	13464	-0.009209278970956802	-0.2910971	No	
row_49	HAPLN1	HAPLN1	13689	-0.009924663230776787	-0.2988794	No	
row_50	MAP3K1	MAP3K1	13827	-0.010441509075462818	-0.30247772	No	
row_51	NDRG2	NDRG2	13872	-0.010588432662189007	-0.3017112	No	
