NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	THBS1	THBS1	13	0.12342531234025955	0.03233905	Yes	
row_1	TGFBR2	TGFBR2	80	0.09288688004016876	0.054060448	Yes	
row_2	RGS4	RGS4	88	0.09163209795951843	0.078192644	Yes	
row_3	COL6A2	COL6A2	92	0.09066322445869446	0.10225239	Yes	
row_4	B4GALT1	B4GALT1	155	0.08255644887685776	0.12140259	Yes	
row_5	COL1A1	COL1A1	158	0.08209547400474548	0.143222	Yes	
row_6	EDIL3	EDIL3	169	0.08043249696493149	0.16422525	Yes	
row_7	MYOF	MYOF	245	0.07433865964412689	0.18057702	Yes	
row_8	PPL	PPL	259	0.07325012236833572	0.19952357	Yes	
row_9	MDFIC	MDFIC	271	0.07225321233272552	0.21829711	Yes	
row_10	ADAMTS1	ADAMTS1	349	0.06785649806261063	0.2328256	Yes	
row_11	MET	MET	520	0.0606268048286438	0.2410964	Yes	
row_12	COL1A2	COL1A2	651	0.0573078952729702	0.25034285	Yes	
row_13	CAV1	CAV1	814	0.05417408049106598	0.2572636	Yes	
row_14	WNT5A	WNT5A	892	0.052789703011512756	0.26777056	Yes	
row_15	COL6A3	COL6A3	961	0.051207564771175385	0.27827406	Yes	
row_16	COL21A1	COL21A1	971	0.05104481056332588	0.29147986	Yes	
row_17	CPA4	CPA4	1066	0.049525707960128784	0.30032444	Yes	
row_18	CCDC88C	CCDC88C	1081	0.04926801845431328	0.3128233	Yes	
row_19	GCNT1	GCNT1	1093	0.04907391965389252	0.32540992	Yes	
row_20	ANXA2	ANXA2	1146	0.04821710288524628	0.33585984	Yes	
row_21	PTGER4	PTGER4	1207	0.047192614525556564	0.345664	Yes	
row_22	MBNL2	MBNL2	1310	0.045717306435108185	0.35311976	Yes	
row_23	LOX	LOX	1391	0.0447201170027256	0.36133322	Yes	
row_24	GEM	GEM	1403	0.04456712305545807	0.37271693	Yes	
row_25	SLC14A1	SLC14A1	1501	0.04340779408812523	0.37978896	Yes	
row_26	DPYD	DPYD	1704	0.04135391488671303	0.38142633	Yes	
row_27	ALDH1A1	ALDH1A1	1717	0.04124784097075462	0.39187753	Yes	
row_28	MCTP2	MCTP2	2044	0.038193367421627045	0.38690066	No	
row_29	ARHGAP10	ARHGAP10	2217	0.036647211760282516	0.38867787	No	
row_30	SEMA3C	SEMA3C	2863	0.03192242980003357	0.3671817	No	
row_31	MLPH	MLPH	2982	0.03112698718905449	0.3699985	No	
row_32	ACPP	ACPP	3084	0.03046233020722866	0.37342906	No	
row_33	ITGA1	ITGA1	3159	0.029924871399998665	0.37797266	No	
row_34	AMIGO2	AMIGO2	3194	0.029753796756267548	0.38433212	No	
row_35	OLFML2A	OLFML2A	3228	0.029513826593756676	0.39067405	No	
row_36	CNN1	CNN1	3496	0.027795324102044106	0.38566747	No	
row_37	CAST	CAST	3894	0.025577103719115257	0.37401897	No	
row_38	GBE1	GBE1	3983	0.02508031390607357	0.37661797	No	
row_39	CLEC2B	CLEC2B	4145	0.02423764020204544	0.3755948	No	
row_40	AQP1	AQP1	4279	0.0236379262059927	0.3757146	No	
row_41	TSPAN9	TSPAN9	4670	0.021769030019640923	0.36337543	No	
row_42	TGFBI	TGFBI	4792	0.02119065634906292	0.36340046	No	
row_43	PNPLA4	PNPLA4	4929	0.020604517310857773	0.362571	No	
row_44	CNN2	CNN2	5091	0.019818447530269623	0.36036828	No	
row_45	ANXA1	ANXA1	5293	0.018937932327389717	0.35606903	No	
row_46	PHACTR1	PHACTR1	5809	0.016645826399326324	0.3365452	No	
row_47	ASB13	ASB13	5884	0.016353972256183624	0.3374665	No	
row_48	ARPC1B	ARPC1B	6192	0.01510878000408411	0.32721224	No	
row_49	RAB27A	RAB27A	6204	0.015039166435599327	0.3307145	No	
row_50	ABLIM3	ABLIM3	6425	0.014124863781034946	0.32424635	No	
row_51	P4HA2	P4HA2	7058	0.01173954363912344	0.29796806	No	
row_52	SYNC	SYNC	7243	0.011149849742650986	0.2923812	No	
row_53	CAV2	CAV2	7429	0.010487714782357216	0.28657106	No	
row_54	ACVR1	ACVR1	7452	0.010414578951895237	0.28832704	No	
row_55	PLAUR	PLAUR	7477	0.010360135696828365	0.2899754	No	
