NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PMP22	PMP22	706	0.056181833148002625	0.0077512222	No	
row_1	CLU	CLU	1635	0.042021553963422775	-0.005003152	No	
row_2	AGT	AGT	3200	0.029717033728957176	-0.05612936	No	
row_3	ATP1A2	ATP1A2	7066	0.011712491512298584	-0.22696991	No	
row_4	ANXA5	ANXA5	7934	0.008753293193876743	-0.26087695	No	
row_5	HOPX	HOPX	9113	0.004897532053291798	-0.31198975	No	
row_6	S100A16	S100A16	9336	0.004182322882115841	-0.3192726	No	
row_7	PON2	PON2	9929	0.002198757603764534	-0.34514838	No	
row_8	GFAP	GFAP	10517	4.574402410071343E-4	-0.3720475	No	
row_9	PCDHGC3	PCDHGC3	10698	-1.1355931928846985E-4	-0.3803152	No	
row_10	GATM	GATM	11519	-0.002781111281365156	-0.4163473	No	
row_11	TSPAN7	TSPAN7	12707	-0.006688949652016163	-0.46658617	No	
row_12	DBI	DBI	13067	-0.007862893864512444	-0.47757074	No	
row_13	SPARC	SPARC	13228	-0.008386043831706047	-0.4789473	No	
row_14	EDNRB	EDNRB	13669	-0.009855566546320915	-0.49225274	No	
row_15	NDRG2	NDRG2	13872	-0.010588432662189007	-0.49398986	No	
row_16	FABP7	FABP7	14093	-0.0113558080047369	-0.49600878	No	
row_17	METTL7B	METTL7B	14209	-0.011783162131905556	-0.49284902	No	
row_18	HEPN1	HEPN1	15503	-0.016889221966266632	-0.54065174	No	
row_19	RAB31	RAB31	15883	-0.018469586968421936	-0.54491794	No	
row_20	GPM6B	GPM6B	16474	-0.02119927667081356	-0.557004	No	
row_21	F3	F3	17464	-0.026027752086520195	-0.5841174	No	
row_22	PPAP2B	PPAP2B	18150	-0.030071331188082695	-0.5942145	No	
row_23	HEY1	HEY1	18686	-0.03338656574487686	-0.5949637	Yes	
row_24	PTPRZ1	PTPRZ1	18797	-0.03412439301609993	-0.5754668	Yes	
row_25	SLC1A3	SLC1A3	19263	-0.03762687370181084	-0.56991225	Yes	
row_26	SPARCL1	SPARCL1	19426	-0.03880240395665169	-0.5494552	Yes	
row_27	PRCP	PRCP	19624	-0.04048427939414978	-0.5294092	Yes	
row_28	BCAN	BCAN	20254	-0.04756281524896622	-0.5242995	Yes	
row_29	CST3	CST3	20462	-0.05078070983290672	-0.49729493	Yes	
row_30	RAMP1	RAMP1	20701	-0.05545463413000107	-0.46835905	Yes	
row_31	ATP1B2	ATP1B2	20813	-0.057619642466306686	-0.4319714	Yes	
row_32	MLC1	MLC1	20941	-0.06085887551307678	-0.3939908	Yes	
row_33	S100B	S100B	21093	-0.06543818861246109	-0.35382244	Yes	
row_34	PLTP	PLTP	21208	-0.0705530121922493	-0.30825058	Yes	
row_35	AQP4	AQP4	21268	-0.0736905187368393	-0.25786573	Yes	
row_36	MT3	MT3	21407	-0.0841527208685875	-0.20360346	Yes	
row_37	TTYH1	TTYH1	21573	-0.13710597157478333	-0.11242095	Yes	
row_38	PMP2	PMP2	21584	-0.15736603736877441	5.5644533E-4	Yes	
