NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RRM2	RRM2	67	0.09534110873937607	0.12673707	Yes	
row_1	MCM2	MCM2	327	0.06905846297740936	0.2087786	Yes	
row_2	CCNE2	CCNE2	344	0.06817510724067688	0.3008833	Yes	
row_3	RRM1	RRM1	1971	0.038810938596725464	0.27835324	Yes	
row_4	PCNA	PCNA	2290	0.036089323461055756	0.31275928	Yes	
row_5	MCM7	MCM7	3002	0.03098379075527191	0.3219916	Yes	
row_6	GMNN	GMNN	3182	0.029808705672621727	0.3542886	Yes	
row_7	MLF1IP	MLF1IP	3203	0.029699131846427917	0.39380807	Yes	
row_8	CENPK	CENPK	4988	0.020307838916778564	0.33875364	No	
row_9	RAD51AP1	RAD51AP1	5628	0.017397422343492508	0.33282104	No	
row_10	MELK	MELK	6617	0.013429876416921616	0.30530447	No	
row_11	CDCA5	CDCA5	7456	0.010408326983451843	0.28062734	No	
row_12	ZWINT	ZWINT	7755	0.00940600223839283	0.2796211	No	
row_13	AURKB	AURKB	8124	0.008148235268890858	0.2736565	No	
row_14	MCM4	MCM4	8517	0.006865869276225567	0.26483276	No	
row_15	KIAA0101	KIAA0101	8693	0.00627247616648674	0.26526165	No	
row_16	MCM3	MCM3	8801	0.005919276271015406	0.2683622	No	
row_17	FEN1	FEN1	9230	0.004474691580981016	0.2546129	No	
row_18	DUT	DUT	9801	0.0026406755205243826	0.23178238	No	
row_19	TK1	TK1	10231	0.0012895290274173021	0.2136489	No	
row_20	CKS1B	CKS1B	10937	-9.13337105885148E-4	0.18220696	No	
row_21	ASF1B	ASF1B	11588	-0.0029876024927943945	0.15613988	No	
row_22	PKMYT1	PKMYT1	13029	-0.0077505894005298615	0.09993279	No	
row_23	HIST1H4C	HIST1H4C	17952	-0.02893250808119774	-0.088862404	No	
row_24	TMEM106C	TMEM106C	19588	-0.040130648761987686	-0.11001242	No	
row_25	CENPM	CENPM	20025	-0.0448446087539196	-0.06915353	No	
row_26	RNASEH2A	RNASEH2A	20066	-0.045233141630887985	-0.009405823	No	
row_27	GINS2	GINS2	20871	-0.058958493173122406	0.033612993	No	
