NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GFPT2	GFPT2	4	0.14090783894062042	0.09269567	Yes	
row_1	CD44	CD44	141	0.08368438482284546	0.14154558	Yes	
row_2	NAMPT	NAMPT	426	0.06468292325735092	0.17100172	Yes	
row_3	GJA1	GJA1	705	0.05619746074080467	0.195143	Yes	
row_4	SERPINE1	SERPINE1	725	0.05579598993062973	0.2310399	Yes	
row_5	EFEMP1	EFEMP1	973	0.051018934696912766	0.2532064	Yes	
row_6	ANXA2	ANXA2	1146	0.04821710288524628	0.2770068	Yes	
row_7	WWTR1	WWTR1	1155	0.04796293005347252	0.30825093	Yes	
row_8	ACTN1	ACTN1	1227	0.04688859358429909	0.33586305	Yes	
row_9	EMP1	EMP1	1560	0.04284142330288887	0.34869438	Yes	
row_10	CLIC4	CLIC4	2172	0.037044938653707504	0.34475645	Yes	
row_11	MGST1	MGST1	2364	0.035541798919439316	0.35931996	Yes	
row_12	SPP1	SPP1	2411	0.03523034229874611	0.38040766	Yes	
row_13	C1R	C1R	4214	0.023897795006632805	0.3125291	No	
row_14	C8orf4	C8orf4	4495	0.022567735984921455	0.31441006	No	
row_15	CHI3L1	CHI3L1	4752	0.021393023431301117	0.31663054	No	
row_16	TAGLN2	TAGLN2	4844	0.020974714308977127	0.326233	No	
row_17	ANXA1	ANXA1	5293	0.018937932327389717	0.31792444	No	
row_18	GSN	GSN	6634	0.013343238271772861	0.26453018	No	
row_19	C1S	C1S	6766	0.012866787612438202	0.26693177	No	
row_20	VIM	VIM	7053	0.011744022369384766	0.2613997	No	
row_21	SERPING1	SERPING1	7077	0.01167778205126524	0.2680298	No	
row_22	C3	C3	7114	0.011568864807486534	0.27398482	No	
row_23	PRDX6	PRDX6	7145	0.011478181928396225	0.28015852	No	
row_24	PLP2	PLP2	8380	0.007330107036978006	0.22772011	No	
row_25	MT1E	MT1E	8410	0.007210070267319679	0.23112683	No	
row_26	S100A16	S100A16	9336	0.004182322882115841	0.19095425	No	
row_27	TUBA1C	TUBA1C	10493	5.101997521705925E-4	0.1376404	No	
row_28	MT2A	MT2A	10578	2.3686967324465513E-4	0.13389808	No	
row_29	S100A11	S100A11	10703	-1.2165666703367606E-4	0.1282234	No	
row_30	LGALS1	LGALS1	11128	-0.0014770117122679949	0.10951909	No	
row_31	FN1	FN1	11144	-0.0015234526945278049	0.10982714	No	
row_32	S100A10	S100A10	11216	-0.00173753232229501	0.10767733	No	
row_33	CLIC1	CLIC1	11509	-0.0027480311691761017	0.09593697	No	
row_34	CTSB	CTSB	12661	-0.0065390728414058685	0.04682918	No	
row_35	RCAN1	RCAN1	12732	-0.006770349107682705	0.048043232	No	
row_36	SERPINA3	SERPINA3	14162	-0.011575089767575264	-0.010647027	No	
row_37	APOE	APOE	15188	-0.015601495280861855	-0.047933515	No	
row_38	TIMP1	TIMP1	16033	-0.019177911803126335	-0.074462324	No	
row_39	EMP3	EMP3	16399	-0.02085423842072487	-0.07765568	No	
row_40	MGP	MGP	17727	-0.027507735416293144	-0.12110988	No	
row_41	TNFRSF1A	TNFRSF1A	18376	-0.03142755106091499	-0.13046777	No	
row_42	IGFBP7	IGFBP7	18392	-0.03150447458028793	-0.11039733	No	
row_43	NNMT	NNMT	18514	-0.032230645418167114	-0.0947677	No	
row_44	MT1X	MT1X	19177	-0.036916617304086685	-0.10115714	No	
row_45	NPC2	NPC2	20205	-0.04684946686029434	-0.11793893	No	
row_46	SOD2	SOD2	20301	-0.04838082566857338	-0.090457015	No	
row_47	A2M	A2M	20660	-0.05451925843954086	-0.07113475	No	
row_48	LGALS3	LGALS3	21310	-0.07572716474533081	-0.05133837	No	
row_49	IFITM3	IFITM3	21498	-0.09795049577951431	0.004548326	No	
