NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NFIB	NFIB	313	0.06971768289804459	0.04199801	No	
row_1	MAP1B	MAP1B	807	0.054426416754722595	0.06324784	No	
row_2	DBN1	DBN1	840	0.05368980020284653	0.105289616	No	
row_3	CD24	CD24	1617	0.04226125776767731	0.10354669	No	
row_4	TCF4	TCF4	1950	0.03905373439192772	0.11980379	No	
row_5	DYNC1I1	DYNC1I1	3196	0.029730981215834618	0.08614221	No	
row_6	SOX11	SOX11	3515	0.027725212275981903	0.0938648	No	
row_7	PAK3	PAK3	3667	0.026832932606339455	0.10861236	No	
row_8	NFIX	NFIX	4067	0.024649787694215775	0.11008352	No	
row_9	MLLT11	MLLT11	4075	0.02462862990796566	0.12972525	No	
row_10	ENO2	ENO2	4590	0.022132953628897667	0.12382031	No	
row_11	LBH	LBH	4939	0.020559275522828102	0.12434154	No	
row_12	DCX	DCX	5806	0.016682710498571396	0.097686246	No	
row_13	KIF5C	KIF5C	5931	0.016150470823049545	0.10502622	No	
row_14	ATP1B1	ATP1B1	7841	0.009111919440329075	0.02384093	No	
row_15	HMP19	HMP19	8362	0.0074120475910604	0.0057233297	No	
row_16	SNAP25	SNAP25	9191	0.0045900181867182255	-0.028972454	No	
row_17	BLCAP	BLCAP	9800	0.0026441195514053106	-0.05503839	No	
row_18	STMN1	STMN1	10027	0.001889588194899261	-0.06399227	No	
row_19	KIF5A	KIF5A	12467	-0.005978869739919901	-0.17230809	No	
row_20	STMN4	STMN4	12976	-0.00761469267308712	-0.18970464	No	
row_21	TUBB3	TUBB3	13324	-0.00876042153686285	-0.19870238	No	
row_22	FNBP1L	FNBP1L	13350	-0.008823991753160954	-0.19270867	No	
row_23	ELAVL4	ELAVL4	13464	-0.009209278970956802	-0.19048557	No	
row_24	CEP170	CEP170	13861	-0.010542858392000198	-0.20031175	No	
row_25	DPYSL3	DPYSL3	14795	-0.013986876234412193	-0.23226118	No	
row_26	TUBB2A	TUBB2A	15383	-0.016331978142261505	-0.246256	Yes	
row_27	DLX5	DLX5	15548	-0.017068078741431236	-0.240028	Yes	
row_28	DDAH2	DDAH2	15638	-0.017483899369835854	-0.22998309	Yes	
row_29	NDRG4	NDRG4	15689	-0.017676489427685738	-0.21797256	Yes	
row_30	HN1	HN1	16160	-0.019789354875683784	-0.22373599	Yes	
row_31	DPYSL5	DPYSL5	16489	-0.021306514739990234	-0.22168101	Yes	
row_32	CD200	CD200	16725	-0.022405123338103294	-0.21442047	Yes	
row_33	UCHL1	UCHL1	16880	-0.02312939614057541	-0.20281458	Yes	
row_34	STMN2	STMN2	17573	-0.02665615640580654	-0.21331124	Yes	
row_35	GNG3	GNG3	17899	-0.028631119057536125	-0.205179	Yes	
row_36	CRABP1	CRABP1	18762	-0.03385569900274277	-0.21772651	Yes	
row_37	PKIA	PKIA	19374	-0.03843395411968231	-0.2149167	Yes	
row_38	RND3	RND3	20033	-0.04495047777891159	-0.20900461	Yes	
row_39	IGFBPL1	IGFBPL1	20092	-0.0455622635781765	-0.17475817	Yes	
row_40	SOX4	SOX4	20350	-0.04894695430994034	-0.14700082	Yes	
row_41	TAGLN3	TAGLN3	20999	-0.06277395039796829	-0.1261752	Yes	
row_42	SEPT3	SEPT3	21430	-0.08673237264156342	-0.075811796	Yes	
row_43	MIAT	MIAT	21516	-0.10295678675174713	0.0037118313	Yes	
