NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALCAM	ALCAM	45	0.10048025846481323	0.047161657	No	
row_1	VCAN	VCAN	54	0.0988459512591362	0.095239356	No	
row_2	CNTN1	CNTN1	452	0.06331703811883926	0.10784998	No	
row_3	LIMA1	LIMA1	552	0.05995817109942436	0.13264385	No	
row_4	NKAIN4	NKAIN4	1339	0.04544415324926376	0.11844143	No	
row_5	BCAS1	BCAS1	2069	0.03798908367753029	0.10323019	No	
row_6	EPB41L2	EPB41L2	2988	0.03109130635857582	0.075866915	No	
row_7	OMG	OMG	3005	0.030966145917773247	0.090302326	No	
row_8	SCD5	SCD5	3812	0.02607540413737297	0.065678224	No	
row_9	TNS3	TNS3	3849	0.0258615855127573	0.07668349	No	
row_10	CNP	CNP	4587	0.022144805639982224	0.053334974	No	
row_11	FGF12	FGF12	5004	0.020242517814040184	0.04395103	No	
row_12	LMF1	LMF1	6421	0.014136582612991333	-0.0148337325	No	
row_13	THY1	THY1	6652	0.013310236856341362	-0.018983614	No	
row_14	APOD	APOD	6973	0.012033084407448769	-0.027936209	No	
row_15	LHFPL3	LHFPL3	8340	0.007478010840713978	-0.08766425	No	
row_16	PLP1	PLP1	9543	0.003547246102243662	-0.14170802	No	
row_17	PGRMC1	PGRMC1	9583	0.003356450702995062	-0.14187278	No	
row_18	CA10	CA10	9972	0.002074282383546233	-0.15886238	No	
row_19	PCDHGC3	PCDHGC3	10698	-1.1355931928846985E-4	-0.19245254	No	
row_20	FABP5	FABP5	10933	-9.101773612201214E-4	-0.2028659	No	
row_21	SIRT2	SIRT2	11989	-0.004316502716392279	-0.24971063	No	
row_22	RTKN	RTKN	12739	-0.006778643932193518	-0.28114772	No	
row_23	P2RX7	P2RX7	12774	-0.006929055787622929	-0.27932933	No	
row_24	DBI	DBI	13067	-0.007862893864512444	-0.2890265	No	
row_25	SERINC5	SERINC5	13375	-0.008881486020982265	-0.29892054	No	
row_26	RNF13	RNF13	14728	-0.013781622983515263	-0.35490918	No	
row_27	HRASLS	HRASLS	14793	-0.01397700048983097	-0.35102853	No	
row_28	RAB31	RAB31	15883	-0.018469586968421936	-0.39251405	No	
row_29	LPPR1	LPPR1	16449	-0.021032268181443214	-0.4084257	No	
row_30	GPM6B	GPM6B	16474	-0.02119927667081356	-0.39914873	No	
row_31	CADM2	CADM2	17989	-0.029149476438760757	-0.45512298	No	
row_32	TNR	TNR	18665	-0.033220428973436356	-0.47016552	No	
row_33	PTPRZ1	PTPRZ1	18797	-0.03412439301609993	-0.45951903	No	
row_34	GPR17	GPR17	19501	-0.0394253134727478	-0.47281972	Yes	
row_35	TMEM206	TMEM206	19703	-0.04122748598456383	-0.46194023	Yes	
row_36	NLGN3	NLGN3	20159	-0.04635969176888466	-0.46033284	Yes	
row_37	BCAN	BCAN	20254	-0.04756281524896622	-0.44138247	Yes	
row_38	SCRG1	SCRG1	20553	-0.05247988924384117	-0.42948923	Yes	
row_39	PSAT1	PSAT1	20748	-0.05624281242489815	-0.41092518	Yes	
row_40	FIBIN	FIBIN	21159	-0.06861484050750732	-0.39632118	Yes	
row_41	PLLP	PLLP	21296	-0.07491497695446014	-0.36591336	Yes	
row_42	PHYHIPL	PHYHIPL	21383	-0.08175382018089294	-0.32983315	Yes	
row_43	FXYD6	FXYD6	21404	-0.08367323130369186	-0.28974918	Yes	
row_44	GPR37L1	GPR37L1	21472	-0.09340355545282364	-0.24707712	Yes	
row_45	OLIG1	OLIG1	21528	-0.10577806085348129	-0.19778286	Yes	
row_46	NEU4	NEU4	21549	-0.11520054191350937	-0.1422459	Yes	
row_47	TTYH1	TTYH1	21573	-0.13710597157478333	-0.07611132	Yes	
row_48	PMP2	PMP2	21584	-0.15736603736877441	5.569686E-4	Yes	
