NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BNC2	BNC2	40	0.10223007947206497	0.018639134	No	
row_1	CD44	CD44	141	0.08368438482284546	0.030761858	No	
row_2	NFAT5	NFAT5	196	0.07796870917081833	0.04388245	No	
row_3	MYOF	MYOF	245	0.07433865964412689	0.056554656	No	
row_4	AKAP12	AKAP12	299	0.07014883309602737	0.06815347	No	
row_5	ANXA2P1	ANXA2P1	365	0.06718050688505173	0.07859759	No	
row_6	ZNF544	ZNF544	502	0.06143556162714958	0.084579915	No	
row_7	ELL2	ELL2	633	0.05780903995037079	0.09011456	No	
row_8	CGREF1	CGREF1	645	0.057456549257040024	0.10112554	No	
row_9	FSTL1	FSTL1	853	0.05338137969374657	0.10218292	No	
row_10	GCNT1	GCNT1	1093	0.04907391965389252	0.10088475	No	
row_11	PTGER4	PTGER4	1207	0.047192614525556564	0.105082564	No	
row_12	RASSF2	RASSF2	1614	0.042290035635232925	0.09463933	No	
row_13	RASL12	RASL12	1912	0.03934694454073906	0.08868669	No	
row_14	SLIT2	SLIT2	1932	0.03920386731624603	0.09566392	No	
row_15	STARD7	STARD7	2033	0.03828035667538643	0.09868023	No	
row_16	CHST11	CHST11	2038	0.03823370859026909	0.10616208	No	
row_17	FZD7	FZD7	2089	0.037775371223688126	0.11140779	No	
row_18	SLC38A3	SLC38A3	2149	0.03724532946944237	0.11612766	No	
row_19	LGI2	LGI2	2301	0.03601645305752754	0.11631262	No	
row_20	DUSP6	DUSP6	2450	0.03501486778259277	0.11643654	No	
row_21	ATP9B	ATP9B	2779	0.032481636852025986	0.107661955	No	
row_22	BMP2K	BMP2K	3485	0.027867140248417854	0.08038856	No	
row_23	SOX11	SOX11	3515	0.027725212275981903	0.08459745	No	
row_24	MAP2K5	MAP2K5	3657	0.026896899566054344	0.083419494	No	
row_25	CAST	CAST	3894	0.025577103719115257	0.07754855	No	
row_26	IDH1	IDH1	4020	0.02488717995584011	0.07671333	No	
row_27	COL7A1	COL7A1	4041	0.024765564128756523	0.08074814	No	
row_28	LEPROTL1	LEPROTL1	4058	0.024691136553883553	0.08495448	No	
row_29	FSCN1	FSCN1	4059	0.02468949370086193	0.089906305	No	
row_30	APBB2	APBB2	4105	0.02448982186615467	0.09272047	No	
row_31	RAF1	RAF1	4425	0.022968027740716934	0.08245732	No	
row_32	PHACTR2	PHACTR2	4488	0.022590789943933487	0.084098175	No	
row_33	ETV5	ETV5	4658	0.021824052557349205	0.08059761	No	
row_34	KANK1	KANK1	4859	0.02092916890978813	0.07547254	No	
row_35	GNAZ	GNAZ	5244	0.019163828343153	0.06141652	No	
row_36	IL1A	IL1A	5336	0.01871253177523613	0.060927752	No	
row_37	MMP16	MMP16	5348	0.018629584461450577	0.06415143	No	
row_38	RBM38	RBM38	5672	0.017221612855792046	0.052549295	No	
row_39	FRMPD1	FRMPD1	5733	0.016956700012087822	0.05315339	No	
row_40	SNX27	SNX27	5745	0.016892876476049423	0.056028742	No	
row_41	ZYX	ZYX	5835	0.01651429757475853	0.05519231	No	
row_42	DNAH9	DNAH9	5883	0.016355391591787338	0.05628178	No	
row_43	RRAS2	RRAS2	5941	0.01611921563744545	0.056857742	No	
row_44	RAB27A	RAB27A	6204	0.015039166435599327	0.047661316	No	
row_45	LMF1	LMF1	6421	0.014136582612991333	0.040428083	No	
row_46	ART3	ART3	6777	0.012819494120776653	0.026451409	No	
row_47	TRIB2	TRIB2	6861	0.012522950768470764	0.025094138	No	
row_48	P4HA2	P4HA2	7058	0.01173954363912344	0.018312417	No	
row_49	GPR68	GPR68	7236	0.011179226450622082	0.0123039745	No	
row_50	AGPAT5	AGPAT5	7470	0.010377557948231697	0.0035243868	No	
row_51	CYP1B1	CYP1B1	7673	0.009707313030958176	-0.003944608	No	
row_52	PIK3R2	PIK3R2	7951	0.008692690171301365	-0.015113114	No	
row_53	HOMER1	HOMER1	7963	0.008645894005894661	-0.013891808	No	
row_54	PRDM8	PRDM8	8154	0.00806649960577488	-0.021130528	No	
row_55	NES	NES	8781	0.005984479561448097	-0.049110327	No	
row_56	SDC2	SDC2	8990	0.005359353497624397	-0.057731047	No	
row_57	ABAT	ABAT	9125	0.0048569124191999435	-0.06300314	No	
row_58	IRS1	IRS1	9195	0.004576819948852062	-0.06530152	No	
row_59	CCND2	CCND2	9507	0.00364411948248744	-0.079067454	No	
row_60	BCAR3	BCAR3	9513	0.0036326819099485874	-0.07857194	No	
row_61	GPD1L	GPD1L	9799	0.0026481542736291885	-0.09132566	No	
row_62	GOLM1	GOLM1	10031	0.0018806669395416975	-0.1017162	No	
row_63	SRGN	SRGN	10364	8.883094997145236E-4	-0.11701372	No	
row_64	GLDC	GLDC	10399	8.141155121847987E-4	-0.1184353	No	
row_65	ATXN10	ATXN10	10552	3.208048874512315E-4	-0.12545621	No	
row_66	TRIM24	TRIM24	11296	-0.0020416462793946266	-0.15968059	No	
row_67	TMPRSS5	TMPRSS5	11331	-0.002135541755706072	-0.16083713	No	
row_68	PTGS2	PTGS2	11356	-0.0022522464860230684	-0.16150413	No	
row_69	VEGFC	VEGFC	11483	-0.0026644316967576742	-0.16684306	No	
row_70	TBKBP1	TBKBP1	11505	-0.0027376937214285135	-0.16727285	No	
row_71	RGS20	RGS20	11978	-0.004277289845049381	-0.18841657	No	
row_72	FAM114A1	FAM114A1	12331	-0.00550343282520771	-0.20372075	No	
row_73	TUBA1A	TUBA1A	12515	-0.00612515676766634	-0.21102253	No	
row_74	MFAP2	MFAP2	12698	-0.00664490507915616	-0.21817346	No	
row_75	NINJ2	NINJ2	12841	-0.007166835013777018	-0.22335517	No	
row_76	DBI	DBI	13067	-0.007862893864512444	-0.2322662	No	
row_77	IFFO1	IFFO1	13112	-0.007993084378540516	-0.23271407	No	
row_78	TUBB2B	TUBB2B	13277	-0.008576629683375359	-0.23863854	No	
row_79	LAPTM4B	LAPTM4B	13289	-0.008614737540483475	-0.23742348	No	
row_80	SLC19A3	SLC19A3	13445	-0.00913205649703741	-0.24281701	No	
row_81	GPRC5B	GPRC5B	13715	-0.010040050372481346	-0.2533424	No	
row_82	MAP3K1	MAP3K1	13827	-0.010441509075462818	-0.25642228	No	
row_83	MAP2	MAP2	14012	-0.01105225458741188	-0.26278248	No	
row_84	FEZ1	FEZ1	14059	-0.011262994259595871	-0.26266778	No	
row_85	GAB1	GAB1	14329	-0.01219992060214281	-0.27275994	No	
row_86	POLR2F	POLR2F	14358	-0.01232853252440691	-0.27159247	No	
row_87	VASH1	VASH1	15305	-0.016001224517822266	-0.3124796	No	
row_88	NME4	NME4	15468	-0.01672530360519886	-0.31667647	No	
row_89	ATP6V0E2	ATP6V0E2	15592	-0.01725013181567192	-0.31895018	No	
row_90	HIP1	HIP1	15693	-0.017683960497379303	-0.32006478	No	
row_91	TRAF4	TRAF4	15844	-0.018319586291909218	-0.32338256	No	
row_92	RLBP1	RLBP1	15978	-0.018889673054218292	-0.32579356	No	
row_93	BCHE	BCHE	16186	-0.019930366426706314	-0.33144525	No	
row_94	PHLPP1	PHLPP1	16520	-0.021472143009305	-0.34266102	No	
row_95	TBC1D22B	TBC1D22B	16550	-0.02163383550941944	-0.33967385	No	
row_96	MARCKSL1	MARCKSL1	16590	-0.021815093234181404	-0.33711645	No	
row_97	ARC	ARC	17028	-0.0237713735550642	-0.35271886	No	
row_98	QDPR	QDPR	17496	-0.026251301169395447	-0.3692223	No	
row_99	PICK1	PICK1	17741	-0.02762605808675289	-0.37505522	No	
row_100	ENDOG	ENDOG	17853	-0.028355464339256287	-0.37454224	No	
row_101	COL4A6	COL4A6	18063	-0.02956845797598362	-0.3783541	No	
row_102	SHC3	SHC3	18098	-0.029741337522864342	-0.37397394	No	
row_103	NDE1	NDE1	18547	-0.0324445404112339	-0.38834956	No	
row_104	PTPRZ1	PTPRZ1	18797	-0.03412439301609993	-0.3931122	No	
row_105	PODXL2	PODXL2	18990	-0.03547001630067825	-0.394948	No	
row_106	VGLL4	VGLL4	19185	-0.03697417303919792	-0.39657533	Yes	
row_107	SPATA6	SPATA6	19249	-0.03747888281941414	-0.39199507	Yes	
row_108	BAALC	BAALC	19268	-0.03765285760164261	-0.3852823	Yes	
row_109	TMEM121	TMEM121	19317	-0.03799382597208023	-0.37989956	Yes	
row_110	CSPG4	CSPG4	19454	-0.0390295684337616	-0.37841108	Yes	
row_111	ST3GAL6	ST3GAL6	19536	-0.039685510098934174	-0.3742273	Yes	
row_112	RBBP9	RBBP9	19660	-0.040906328707933426	-0.3717564	Yes	
row_113	MYO1C	MYO1C	19667	-0.040926460176706314	-0.36382774	Yes	
row_114	SLC10A3	SLC10A3	19679	-0.04103895276784897	-0.35610953	Yes	
row_115	TMEM206	TMEM206	19703	-0.04122748598456383	-0.3489129	Yes	
row_116	HES1	HES1	19921	-0.04375949874520302	-0.35025144	Yes	
row_117	FAM131B	FAM131B	19958	-0.044155679643154144	-0.3430735	Yes	
row_118	PPFIBP2	PPFIBP2	20055	-0.0451350137591362	-0.33849594	Yes	
row_119	RAPGEF4	RAPGEF4	20103	-0.04565052688121796	-0.33153093	Yes	
row_120	CITED1	CITED1	20122	-0.04589231684803963	-0.32316563	Yes	
row_121	NLGN3	NLGN3	20159	-0.04635969176888466	-0.31554562	Yes	
row_122	SYT11	SYT11	20241	-0.047357603907585144	-0.30982307	Yes	
row_123	BCAN	BCAN	20254	-0.04756281524896622	-0.30084306	Yes	
row_124	PNMA2	PNMA2	20375	-0.04941588267683983	-0.29652563	Yes	
row_125	SYT17	SYT17	20494	-0.051312029361724854	-0.29173467	Yes	
row_126	CREB5	CREB5	20498	-0.05143442749977112	-0.2815586	Yes	
row_127	NOVA1	NOVA1	20622	-0.053784485906362534	-0.27650484	Yes	
row_128	HLA-DPA1	HLA-DPA1	20639	-0.054083388298749924	-0.2664035	Yes	
row_129	IRF1	IRF1	20690	-0.0551900640130043	-0.257665	Yes	
