NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITGA3	ITGA3	22	0.11566722393035889	0.029850531	Yes	
row_1	SPOCD1	SPOCD1	79	0.09293443709611893	0.05204953	Yes	
row_2	PMEPA1	PMEPA1	89	0.09118794649839401	0.07597123	Yes	
row_3	PLAU	PLAU	94	0.09020150452852249	0.099862486	Yes	
row_4	ITGA5	ITGA5	208	0.07680367678403854	0.11510107	Yes	
row_5	FGFRL1	FGFRL1	273	0.07198958843946457	0.13133667	Yes	
row_6	NCLN	NCLN	282	0.07168015092611313	0.15009771	Yes	
row_7	FAM38A	FAM38A	339	0.06828580051660538	0.16571724	Yes	
row_8	TWF1	TWF1	483	0.06210998445749283	0.17563646	Yes	
row_9	TNC	TNC	488	0.061920907348394394	0.19197875	Yes	
row_10	FLNA	FLNA	493	0.06184370443224907	0.20830044	Yes	
row_11	SGSH	SGSH	554	0.059909943491220474	0.22149791	Yes	
row_12	OSMR	OSMR	580	0.05923667177557945	0.23614568	Yes	
row_13	GPR116	GPR116	667	0.056897953152656555	0.24732827	Yes	
row_14	MVP	MVP	711	0.056071795523166656	0.26029295	Yes	
row_15	SERPINE1	SERPINE1	725	0.05579598993062973	0.27458116	Yes	
row_16	SHROOM3	SHROOM3	797	0.05460983142256737	0.28585157	Yes	
row_17	LZTS1	LZTS1	954	0.05141457915306091	0.2923104	Yes	
row_18	TAGLN	TAGLN	956	0.051308438181877136	0.3059596	Yes	
row_19	FLT1	FLT1	1023	0.050166357308626175	0.3162768	Yes	
row_20	ACTN1	ACTN1	1227	0.04688859358429909	0.31933862	Yes	
row_21	FAM20C	FAM20C	1251	0.04662991687655449	0.3307144	Yes	
row_22	COL4A2	COL4A2	1397	0.044627606868743896	0.3358739	Yes	
row_23	NRP1	NRP1	1414	0.044397760182619095	0.34697986	Yes	
row_24	FCGR2C	FCGR2C	1445	0.044008754193782806	0.35732996	Yes	
row_25	EMP1	EMP1	1560	0.04284142330288887	0.36345643	Yes	
row_26	SBNO2	SBNO2	1719	0.041243042796850204	0.36710703	Yes	
row_27	MYH9	MYH9	1778	0.04065137729048729	0.37525693	Yes	
row_28	NRP2	NRP2	1810	0.0403703898191452	0.38458928	Yes	
row_29	PI3	PI3	1922	0.03928275778889656	0.38990554	Yes	
row_30	C22orf26	C22orf26	2035	0.03826235979795456	0.39490283	Yes	
row_31	PTRF	PTRF	2260	0.03630843013525009	0.39416248	Yes	
row_32	OSBPL3	OSBPL3	2755	0.032620739191770554	0.37986323	Yes	
row_33	HSD3B7	HSD3B7	2762	0.03257293254137039	0.3882785	Yes	
row_34	ITGA7	ITGA7	2900	0.03169555962085724	0.39035863	Yes	
row_35	SLC16A3	SLC16A3	2914	0.03152180463075638	0.3981673	Yes	
row_36	ICAM1	ICAM1	2950	0.031270820647478104	0.40488443	Yes	
row_37	EFEMP2	EFEMP2	3022	0.030878569930791855	0.40982023	Yes	
row_38	CECR2	CECR2	3122	0.030232954770326614	0.41327968	Yes	
row_39	SLC39A8	SLC39A8	3202	0.02970065362751484	0.41752848	Yes	
row_40	SALL4	SALL4	3654	0.02691459096968174	0.40370873	No	
