NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C3orf34	C3orf34	16	0.11888822913169861	0.023030855	Yes	
row_1	RRM2	RRM2	67	0.09534110873937607	0.03976495	Yes	
row_2	MDFIC	MDFIC	271	0.07225321233272552	0.044738572	Yes	
row_3	DTL	DTL	278	0.07177119702100754	0.058812805	Yes	
row_4	ZWILCH	ZWILCH	311	0.06984792649745941	0.07128856	Yes	
row_5	E2F1	E2F1	314	0.06970527768135071	0.08513635	Yes	
row_6	AURKA	AURKA	326	0.06917807459831238	0.09845853	Yes	
row_7	MCM2	MCM2	327	0.06905846297740936	0.11227032	Yes	
row_8	LMNB1	LMNB1	337	0.06847590208053589	0.12554543	Yes	
row_9	CCNE2	CCNE2	344	0.06817510724067688	0.13890044	Yes	
row_10	NCAPG	NCAPG	399	0.06571822613477707	0.14952318	Yes	
row_11	HMMR	HMMR	419	0.06503967940807343	0.16164419	Yes	
row_12	CENPF	CENPF	504	0.06123877689242363	0.16997047	Yes	
row_13	DLGAP5	DLGAP5	517	0.060710929334163666	0.18155251	Yes	
row_14	KIF23	KIF23	521	0.06062629446387291	0.1935378	Yes	
row_15	EIF1AX	EIF1AX	540	0.06027957424521446	0.20475347	Yes	
row_16	ECT2	ECT2	565	0.05966699495911598	0.21556652	Yes	
row_17	KIF14	KIF14	608	0.05851254612207413	0.22530833	Yes	
row_18	TTK	TTK	655	0.05720040947198868	0.23460096	Yes	
row_19	RECQL	RECQL	717	0.056013479828834534	0.24295594	Yes	
row_20	SGOL2	SGOL2	729	0.05576523020863533	0.25359553	Yes	
row_21	CCNA2	CCNA2	936	0.05174081027507782	0.25432658	Yes	
row_22	ASPM	ASPM	950	0.051466356962919235	0.26401302	Yes	
row_23	ITGA2	ITGA2	1015	0.05024416372179985	0.27107406	Yes	
row_24	HJURP	HJURP	1220	0.04699917510151863	0.27095017	Yes	
row_25	CENPL	CENPL	1531	0.04314669594168663	0.2651071	Yes	
row_26	EMP2	EMP2	1549	0.042954519391059875	0.27290443	Yes	
row_27	CENPE	CENPE	1627	0.04214438423514366	0.2777386	Yes	
row_28	CEP152	CEP152	1732	0.04115329682826996	0.28111404	Yes	
row_29	BUB1	BUB1	1741	0.04109310358762741	0.28895923	Yes	
row_30	DEK	DEK	1818	0.04030713811516762	0.29347265	Yes	
row_31	RRM1	RRM1	1971	0.038810938596725464	0.2941387	Yes	
row_32	DBF4	DBF4	1978	0.03876708820462227	0.30161208	Yes	
row_33	GMPS	GMPS	2101	0.037599798291921616	0.30343646	Yes	
row_34	KIF4A	KIF4A	2109	0.03755766153335571	0.31062126	Yes	
row_35	PLK4	PLK4	2118	0.037505798041820526	0.317749	Yes	
row_36	WEE1	WEE1	2218	0.03664632886648178	0.32045648	Yes	
row_37	STIL	STIL	2246	0.03640885651111603	0.3264778	Yes	
row_38	PCNA	PCNA	2290	0.036089323461055756	0.33168823	Yes	
row_39	TOP2A	TOP2A	2360	0.03556215018033981	0.33557943	Yes	
row_40	SPIN4	SPIN4	2365	0.03551507368683815	0.34249574	Yes	
row_41	NUF2	NUF2	2400	0.03529523313045502	0.34796754	Yes	
row_42	FBXO5	FBXO5	2404	0.035273801535367966	0.3548823	Yes	
row_43	NEK2	NEK2	2578	0.03386303037405014	0.3535784	Yes	
row_44	NUSAP1	NUSAP1	2626	0.03354376554489136	0.358093	Yes	
row_45	LRIG3	LRIG3	2665	0.03323192149400711	0.36296538	Yes	
row_46	C12orf48	C12orf48	2899	0.03170670568943024	0.35842907	Yes	
row_47	PRPS2	PRPS2	2917	0.03150942549109459	0.36393735	Yes	
row_48	SMC4	SMC4	3088	0.030427617952227592	0.36208642	Yes	
row_49	MLF1IP	MLF1IP	3203	0.029699131846427917	0.36270416	Yes	
row_50	NDC80	NDC80	3260	0.02924405038356781	0.36593863	Yes	
row_51	WDHD1	WDHD1	3378	0.028565818443894386	0.36618966	Yes	
row_52	ZNF367	ZNF367	3455	0.028055887669324875	0.36825278	Yes	
row_53	DHFR	DHFR	3471	0.027938608080148697	0.37314028	Yes	
row_54	NUCB2	NUCB2	3816	0.026072759181261063	0.36229512	No	
row_55	CDC6	CDC6	3903	0.025511201471090317	0.36338246	No	
row_56	CDKN2C	CDKN2C	4193	0.02398602105677128	0.35468763	No	
row_57	MAD2L1	MAD2L1	4216	0.023894621059298515	0.3584395	No	
row_58	TOM1L1	TOM1L1	4252	0.02372528240084648	0.3615506	No	
row_59	FBXO11	FBXO11	4297	0.023566052317619324	0.36420968	No	
row_60	GCLM	GCLM	4379	0.02314082533121109	0.3650564	No	
row_61	SLC25A24	SLC25A24	4511	0.022526737302541733	0.363446	No	
row_62	PPIG	PPIG	4528	0.022433282807469368	0.3671857	No	
row_63	SMC2	SMC2	4588	0.0221415925770998	0.36885962	No	
row_64	CENPK	CENPK	4988	0.020307838916778564	0.35429376	No	
row_65	CENPI	CENPI	5193	0.01936848647892475	0.3486437	No	
row_66	BARD1	BARD1	5508	0.01795712672173977	0.33757594	No	
row_67	RAD51AP1	RAD51AP1	5628	0.017397422343492508	0.33549988	No	
row_68	HAUS6	HAUS6	5681	0.017171038314700127	0.3365065	No	
row_69	PEG10	PEG10	6183	0.015125995501875877	0.31614235	No	
row_70	FANCI	FANCI	6293	0.014638364315032959	0.31398135	No	
row_71	CDC25C	CDC25C	6407	0.01420331560075283	0.3115466	No	
row_72	MELK	MELK	6617	0.013429876416921616	0.30447534	No	
row_73	SHFM1	SHFM1	6840	0.012620154768228531	0.29663524	No	
row_74	RBM24	RBM24	7143	0.011484280228614807	0.28483316	No	
row_75	PAWR	PAWR	7205	0.011262510903179646	0.28423786	No	
row_76	ZWINT	ZWINT	7755	0.00940600223839283	0.26048884	No	
row_77	C6orf173	C6orf173	7794	0.009296650066971779	0.26057413	No	
row_78	SPC24	SPC24	7836	0.009127586148679256	0.26048556	No	
row_79	PPIL5	PPIL5	7860	0.009036451578140259	0.26121908	No	
row_80	MND1	MND1	8115	0.008165020495653152	0.25099403	No	
row_81	ORC6L	ORC6L	8326	0.007503733038902283	0.24269088	No	
row_82	C1orf133	C1orf133	8352	0.007439186796545982	0.2430116	No	
row_83	YEATS4	YEATS4	8497	0.006926823407411575	0.23767427	No	
row_84	CDKN2A	CDKN2A	8498	0.006924524437636137	0.2390592	No	
row_85	KIAA0101	KIAA0101	8693	0.00627247616648674	0.23125674	No	
row_86	EZH2	EZH2	8754	0.006076948717236519	0.22967102	No	
row_87	KIAA0895	KIAA0895	8837	0.005784870125353336	0.2269998	No	
row_88	NCAPH	NCAPH	8920	0.0055558462627232075	0.22428277	No	
row_89	HMGB2	HMGB2	8932	0.005535987671464682	0.22487645	No	
row_90	RAD51	RAD51	8999	0.005321568809449673	0.22285953	No	
row_91	DSN1	DSN1	9006	0.005287657491862774	0.22363696	No	
row_92	E2F7	E2F7	9177	0.0046671004965901375	0.21663389	No	
row_93	ITGB3BP	ITGB3BP	9518	0.00361242494545877	0.20148335	No	
row_94	CCNB1	CCNB1	9534	0.003563020145520568	0.20149568	No	
row_95	GJC1	GJC1	9791	0.00267994892783463	0.19008023	No	
row_96	CREBZF	CREBZF	9949	0.002151395659893751	0.18318091	No	
row_97	CDK2	CDK2	9977	0.0020593777298927307	0.18233229	No	
row_98	CENPA	CENPA	10022	0.0019085872918367386	0.18065985	No	
