NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LRRFIP1	LRRFIP1	5	0.13709935545921326	0.051805053	Yes	
row_1	CARD10	CARD10	51	0.09952161461114883	0.08748676	Yes	
row_2	PTCD3	PTCD3	150	0.08303672820329666	0.114446566	Yes	
row_3	ELOVL5	ELOVL5	1250	0.046638794243335724	0.08103731	Yes	
row_4	SV2A	SV2A	1300	0.04591958969831467	0.09618775	Yes	
row_5	CACNB2	CACNB2	1353	0.04522737115621567	0.11093592	Yes	
row_6	PSD3	PSD3	1363	0.045106109231710434	0.12763788	Yes	
row_7	FHL2	FHL2	1493	0.0434928834438324	0.13814664	Yes	
row_8	LUZP1	LUZP1	1593	0.042510986328125	0.14967795	Yes	
row_9	BCL2L1	BCL2L1	1730	0.04115891829133034	0.15897527	Yes	
row_10	CRTC1	CRTC1	2005	0.03851469233632088	0.16085096	Yes	
row_11	EFR3B	EFR3B	2305	0.03599750995635986	0.16060853	Yes	
row_12	KLF12	KLF12	2473	0.03476199135184288	0.16603611	Yes	
row_13	C1orf21	C1orf21	2595	0.033737629652023315	0.17321423	Yes	
row_14	EHD4	EHD4	2689	0.03312986344099045	0.18146385	Yes	
row_15	IBTK	IBTK	3050	0.030734043568372726	0.17638667	Yes	
row_16	KCNA2	KCNA2	3071	0.030564220622181892	0.18705751	Yes	
row_17	ATIC	ATIC	3081	0.03049464337527752	0.19821353	Yes	
row_18	FZD3	FZD3	3087	0.030436504632234573	0.20953351	Yes	
row_19	GOLPH3	GOLPH3	3145	0.03003525361418724	0.2182828	Yes	
row_20	ZNF117	ZNF117	3565	0.02745700627565384	0.20921786	Yes	
row_21	ZNF24	ZNF24	3604	0.0271795392036438	0.21776688	Yes	
row_22	EXTL3	EXTL3	3782	0.026225121691823006	0.21948913	Yes	
row_23	HPS5	HPS5	4444	0.022822082042694092	0.19741017	No	
row_24	TLE1	TLE1	4766	0.021318651735782623	0.19057307	No	
row_25	KANK1	KANK1	4859	0.02092916890978813	0.19423829	No	
row_26	DPP6	DPP6	5104	0.019780507311224937	0.19039842	No	
row_27	ACSL1	ACSL1	5130	0.01967175304889679	0.19670238	No	
row_28	ADD2	ADD2	5163	0.019532011821866035	0.20262773	No	
row_29	TRIM37	TRIM37	5334	0.01872367039322853	0.20182827	No	
row_30	KIF1B	KIF1B	5455	0.01815629005432129	0.20313881	No	
row_31	PDE4B	PDE4B	6042	0.015704508870840073	0.18184635	No	
row_32	TRPM3	TRPM3	6059	0.015638748183846474	0.1870381	No	
row_33	KLHL25	KLHL25	6325	0.014506002888083458	0.18021958	No	
row_34	CDH4	CDH4	6379	0.014311948791146278	0.18318695	No	
row_35	RGS12	RGS12	6724	0.013047439977526665	0.17214073	No	
row_36	RNMT	RNMT	7133	0.011518898420035839	0.15753789	No	
row_37	RFX4	RFX4	7904	0.008850217796862125	0.12508646	No	
row_38	FLRT1	FLRT1	8146	0.008083759807050228	0.11694648	No	
row_39	TMEM123	TMEM123	8774	0.005997220985591412	0.090062715	No	
row_40	RAB11FIP2	RAB11FIP2	8918	0.005560190882533789	0.08552261	No	
row_41	ZNF253	ZNF253	9103	0.0049308547750115395	0.07883682	No	
row_42	PURG	PURG	9522	0.003605050267651677	0.060765106	No	
row_43	UTY	UTY	9620	0.003232354996725917	0.057480775	No	
row_44	TBPL1	TBPL1	9781	0.0027099724393337965	0.051068205	No	
row_45	PCDH9	PCDH9	9850	0.0024581467732787132	0.048838727	No	
row_46	DNMT3A	DNMT3A	10310	0.0010613963240757585	0.027894739	No	
row_47	SALL1	SALL1	10618	1.0995977208949625E-4	0.013658734	No	
row_48	SCP2	SCP2	10700	-1.1474209895823151E-4	0.009935194	No	
row_49	SLC7A1	SLC7A1	10948	-9.459238499403E-4	-0.0011930739	No	
row_50	CACNG4	CACNG4	11146	-0.0015282981330528855	-0.00977493	No	
row_51	TARS	TARS	11342	-0.0021700013894587755	-0.018020205	No	
row_52	PBX1	PBX1	11395	-0.002381320344284177	-0.01953473	No	
row_53	RFX2	RFX2	12049	-0.004569863434880972	-0.048169456	No	
row_54	TUBA1A	TUBA1A	12515	-0.00612515676766634	-0.067470476	No	
row_55	UTP6	UTP6	13423	-0.009035465307533741	-0.10622309	No	
row_56	RAI14	RAI14	13643	-0.00978455226868391	-0.11269435	No	
row_57	GPRC5B	GPRC5B	13715	-0.010040050372481346	-0.11218556	No	
row_58	DZIP3	DZIP3	13776	-0.010272671468555927	-0.11107689	No	
row_59	ATF7IP	ATF7IP	13904	-0.010701805353164673	-0.11292133	No	
row_60	SRPK2	SRPK2	13946	-0.010847830213606358	-0.11071071	No	
row_61	FABP7	FABP7	14093	-0.0113558080047369	-0.113190554	No	
row_62	P2RY1	P2RY1	14374	-0.012381069362163544	-0.121513225	No	
row_63	TNIP1	TNIP1	14388	-0.012444742023944855	-0.11739428	No	
row_64	HP1BP3	HP1BP3	14549	-0.01305809710174799	-0.119879104	No	
row_65	LPIN1	LPIN1	14700	-0.013670740649104118	-0.12166632	No	
row_66	FXYD5	FXYD5	14924	-0.014499585144221783	-0.12653397	No	
row_67	PIK3C2B	PIK3C2B	14984	-0.014758249744772911	-0.12367624	No	
row_68	CACNG1	CACNG1	15275	-0.01592136174440384	-0.13112023	No	
row_69	TMEM156	TMEM156	15326	-0.016079168766736984	-0.12734257	No	
row_70	HIP1	HIP1	15693	-0.017683960497379303	-0.1376521	No	
row_71	C4orf19	C4orf19	15905	-0.018576838076114655	-0.14041409	No	
row_72	NSL1	NSL1	16698	-0.0222935751080513	-0.1687861	No	
row_73	SSBP2	SSBP2	16700	-0.022297726944088936	-0.16036925	No	
row_74	GLUL	GLUL	16877	-0.023121295496821404	-0.1597786	No	
row_75	TMCO1	TMCO1	16914	-0.023299645632505417	-0.15260921	No	
row_76	MEIS2	MEIS2	17076	-0.023941095918416977	-0.15100978	No	
row_77	C11orf49	C11orf49	18227	-0.03053385391831398	-0.19290371	No	
row_78	TEKT2	TEKT2	18606	-0.032753702253103256	-0.19805144	No	
row_79	ARL3	ARL3	18627	-0.03291007876396179	-0.18649021	No	
