NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LLGL1	LLGL1	143	0.08355965465307236	0.023186857	No	
row_1	TANC2	TANC2	472	0.06246758624911308	0.030240241	No	
row_2	RIN2	RIN2	560	0.05978556349873543	0.047542144	No	
row_3	MYLK	MYLK	654	0.057238273322582245	0.06365551	No	
row_4	NOTCH3	NOTCH3	698	0.05637089163064957	0.0817841	No	
row_5	NPAS3	NPAS3	1331	0.045520320534706116	0.068650626	No	
row_6	RASSF2	RASSF2	1614	0.042290035635232925	0.07063827	No	
row_7	STARD7	STARD7	2033	0.03828035667538643	0.06487038	No	
row_8	ZNF629	ZNF629	2174	0.037030987441539764	0.07158301	No	
row_9	ARNT2	ARNT2	2647	0.033369846642017365	0.061550822	No	
row_10	FZD3	FZD3	3087	0.030436504632234573	0.052005704	No	
row_11	KIF2A	KIF2A	3195	0.029745332896709442	0.05765134	No	
row_12	PCM1	PCM1	3407	0.02830829657614231	0.05794801	No	
row_13	CHD8	CHD8	3875	0.025738615542650223	0.045423474	No	
row_14	WNT11	WNT11	3973	0.025159113109111786	0.049896527	No	
row_15	APBA2	APBA2	4072	0.02464326098561287	0.054138884	No	
row_16	DIP2C	DIP2C	5061	0.019956324249505997	0.015323907	No	
row_17	CASP4	CASP4	5106	0.01977103389799595	0.020337496	No	
row_18	SNX7	SNX7	5273	0.01903454214334488	0.019415274	No	
row_19	KIF1B	KIF1B	5455	0.01815629005432129	0.017481979	No	
row_20	AGRN	AGRN	5601	0.017496274784207344	0.01698697	No	
row_21	LMNA	LMNA	5919	0.016221141442656517	0.008038887	No	
row_22	PLXNA2	PLXNA2	5961	0.016043100506067276	0.01186086	No	
row_23	ARPC1B	ARPC1B	6192	0.01510878000408411	0.0065609748	No	
row_24	MICAL2	MICAL2	6513	0.013786405324935913	-0.0033959618	No	
row_25	KL	KL	6957	0.01209915429353714	-0.019674689	No	
row_26	AGPAT5	AGPAT5	7470	0.010377557948231697	-0.039776545	No	
row_27	ACSBG1	ACSBG1	7763	0.00939107034355402	-0.050000936	No	
row_28	TBC1D8B	TBC1D8B	8379	0.007330970373004675	-0.07597998	No	
row_29	PLP2	PLP2	8380	0.007330107036978006	-0.073362656	No	
row_30	CHD7	CHD7	9974	0.002070752438157797	-0.14669561	No	
row_31	BAG5	BAG5	10111	0.0016540896613150835	-0.15242882	No	
row_32	DENND5A	DENND5A	10171	0.001478211721405387	-0.15464443	No	
row_33	CDC42BPB	CDC42BPB	10380	8.599536959081888E-4	-0.16400908	No	
row_34	ZNF219	ZNF219	10626	7.754684338578954E-5	-0.17537357	No	
row_35	PDCD6IP	PDCD6IP	10627	7.573097536806017E-5	-0.17534652	No	
row_36	RNFT2	RNFT2	10803	-4.980610683560371E-4	-0.18330595	No	
row_37	DICER1	DICER1	10819	-5.436456995084882E-4	-0.18380931	No	
row_38	POMT2	POMT2	11041	-0.0012240507639944553	-0.19364844	No	
row_39	ZMYM2	ZMYM2	11104	-0.0014009216101840138	-0.19603115	No	
row_40	TRIM24	TRIM24	11296	-0.0020416462793946266	-0.20418338	No	
row_41	ADAMTS3	ADAMTS3	11346	-0.002214339328929782	-0.20567116	No	
row_42	PTGS2	PTGS2	11356	-0.0022522464860230684	-0.20528546	No	
row_43	SEMA6A	SEMA6A	12257	-0.005237096920609474	-0.24526426	No	
row_44	MSI1	MSI1	12391	-0.005720133427530527	-0.24940613	No	
row_45	ZHX2	ZHX2	13866	-0.010568692348897457	-0.31417143	No	
row_46	MAP2	MAP2	14012	-0.01105225458741188	-0.31696737	No	
row_47	PROCR	PROCR	14056	-0.011223209090530872	-0.3149594	No	
row_48	STX3	STX3	14196	-0.011730894446372986	-0.31723404	No	
row_49	CEP68	CEP68	14552	-0.013061526231467724	-0.32907724	No	
row_50	YKT6	YKT6	14564	-0.013143299147486687	-0.32489574	No	
row_51	MED8	MED8	14705	-0.013696570880711079	-0.326515	No	
row_52	MEF2D	MEF2D	14907	-0.014424429275095463	-0.33071077	No	
row_53	FXYD5	FXYD5	14924	-0.014499585144221783	-0.32627746	No	
row_54	DTX3	DTX3	15280	-0.015933098271489143	-0.33709535	No	
row_55	VASH1	VASH1	15305	-0.016001224517822266	-0.33249786	No	
row_56	TARBP1	TARBP1	15334	-0.016114020720124245	-0.32804608	No	
row_57	PAQR6	PAQR6	15695	-0.01768876239657402	-0.33846956	No	
row_58	FLRT3	FLRT3	15795	-0.018131639808416367	-0.33659878	No	
row_59	COPB2	COPB2	15900	-0.01854897476732731	-0.33481145	No	
row_60	DHTKD1	DHTKD1	16357	-0.020637361332774162	-0.348646	No	
row_61	PHLPP1	PHLPP1	16520	-0.021472143009305	-0.34851182	No	
row_62	MARCKSL1	MARCKSL1	16590	-0.021815093234181404	-0.34393084	No	
row_63	CKB	CKB	17020	-0.023730982095003128	-0.35540527	No	
row_64	IL17RB	IL17RB	17025	-0.023758605122566223	-0.34710792	No	
row_65	SEC61A2	SEC61A2	17540	-0.026440555229783058	-0.36156726	No	
row_66	NTAN1	NTAN1	17810	-0.028033355250954628	-0.36406568	No	
row_67	TRAPPC3	TRAPPC3	17980	-0.02909807302057743	-0.3615341	No	
row_68	SGSM2	SGSM2	18132	-0.02994530461728573	-0.35786298	No	
row_69	SLC22A17	SLC22A17	18423	-0.03170665353536606	-0.36002627	No	
row_70	ENPP1	ENPP1	18657	-0.03312702476978302	-0.35903198	No	
row_71	ZFP30	ZFP30	18758	-0.03383379429578781	-0.351601	No	
row_72	OSTF1	OSTF1	20018	-0.044819995760917664	-0.3941392	Yes	
row_73	RAB8B	RAB8B	20048	-0.045032139867544174	-0.3794083	Yes	
row_74	GLRX2	GLRX2	20093	-0.045566268265247345	-0.36518416	Yes	
row_75	NLGN3	NLGN3	20159	-0.04635969176888466	-0.35165316	Yes	
row_76	EVL	EVL	20196	-0.04670271649956703	-0.33665127	Yes	
row_77	SOX4	SOX4	20350	-0.04894695430994034	-0.32628834	Yes	
row_78	RPL39L	RPL39L	20547	-0.052381258457899094	-0.3166986	Yes	
row_79	NCAN	NCAN	20556	-0.05252895876765251	-0.29831436	Yes	
row_80	EFNB3	EFNB3	20590	-0.053144752979278564	-0.28087273	Yes	
row_81	NOVA1	NOVA1	20622	-0.053784485906362534	-0.26310968	Yes	
row_82	ATP1B2	ATP1B2	20813	-0.057619642466306686	-0.25137052	Yes	
row_83	ALDH6A1	ALDH6A1	20966	-0.061836689710617065	-0.23635864	Yes	
row_84	CTNND2	CTNND2	20977	-0.06207550689578056	-0.21465868	Yes	
row_85	JAM2	JAM2	21217	-0.0708518996834755	-0.20047317	Yes	
row_86	GAL3ST4	GAL3ST4	21235	-0.07179197669029236	-0.1756293	Yes	
row_87	MT3	MT3	21407	-0.0841527208685875	-0.15353265	Yes	
row_88	PCP4	PCP4	21540	-0.11116035282611847	-0.11997908	Yes	
row_89	TTYH1	TTYH1	21573	-0.13710597157478333	-0.072511405	Yes	
row_90	ASCL1	ASCL1	21596	-0.20594258606433868	3.6023084E-7	Yes	
