NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCYRN1	BCYRN1	6	0.13507722318172455	0.015956335	No	
row_1	MAN2A1	MAN2A1	12	0.12508338689804077	0.030758204	No	
row_2	AHNAK2	AHNAK2	25	0.11426877975463867	0.043931726	No	
row_3	COL6A1	COL6A1	29	0.1066824197769165	0.0566154	No	
row_4	RDH10	RDH10	82	0.09251833707094193	0.0652982	No	
row_5	COL6A2	COL6A2	92	0.09066322445869446	0.07577478	No	
row_6	CD44	CD44	141	0.08368438482284546	0.08358325	No	
row_7	PTCHD1	PTCHD1	173	0.07982952147722244	0.09172566	No	
row_8	GOLT1B	GOLT1B	293	0.07059066742658615	0.09463007	No	
row_9	PDGFRB	PDGFRB	370	0.06697750836610794	0.09911694	No	
row_10	NAMPT	NAMPT	426	0.06468292325735092	0.104312904	No	
row_11	TNC	TNC	488	0.061920907348394394	0.10889544	No	
row_12	OSMR	OSMR	580	0.05923667177557945	0.11174824	No	
row_13	SGK1	SGK1	650	0.05732006952166557	0.11540249	No	
row_14	PMP22	PMP22	706	0.056181833148002625	0.119576536	No	
row_15	MVP	MVP	711	0.056071795523166656	0.12612937	No	
row_16	SERPINE1	SERPINE1	725	0.05579598993062973	0.13222693	No	
row_17	LDLR	LDLR	923	0.052026182413101196	0.12924132	No	
row_18	SNX10	SNX10	963	0.05116889625787735	0.13356319	No	
row_19	ABHD4	ABHD4	1124	0.048584941774606705	0.1318993	No	
row_20	PMM2	PMM2	1142	0.04828329756855965	0.13690613	No	
row_21	RUNX1T1	RUNX1T1	1160	0.0478789396584034	0.14186436	No	
row_22	SPTY2D1	SPTY2D1	1243	0.04668648540973663	0.14363061	No	
row_23	GRIK1	GRIK1	1270	0.04633698612451553	0.14798136	No	
row_24	HMGCS1	HMGCS1	1450	0.04396403208374977	0.14487083	No	
row_25	PPP2R5A	PPP2R5A	1498	0.04341945797204971	0.14788593	No	
row_26	SLC2A3	SLC2A3	1536	0.043110478669404984	0.1513329	No	
row_27	EMP1	EMP1	1560	0.04284142330288887	0.15540415	No	
row_28	CLU	CLU	1635	0.042021553963422775	0.15698485	No	
row_29	NRCAM	NRCAM	1689	0.04150477796792984	0.15948835	No	
row_30	GLIS3	GLIS3	1691	0.04149102792143822	0.16442913	No	
row_31	DUSP5	DUSP5	1702	0.041355617344379425	0.1689315	No	
row_32	IDI1	IDI1	1936	0.03917183727025986	0.16271219	No	
row_33	LIPG	LIPG	1986	0.03872016817331314	0.16506857	No	
row_34	GPR20	GPR20	2062	0.03805242478847504	0.16612522	No	
row_35	FGD4	FGD4	2095	0.03769126534461975	0.16915525	No	
row_36	NEDD9	NEDD9	2245	0.03641027212142944	0.16654375	No	
row_37	ZBTB41	ZBTB41	2533	0.034216638654470444	0.15719604	No	
row_38	NR4A3	NR4A3	2589	0.033764176070690155	0.15867525	No	
row_39	EPHA5	EPHA5	2756	0.03259853646159172	0.15480821	No	
row_40	HSD3B7	HSD3B7	2762	0.03257293254137039	0.15848932	No	
row_41	CHN2	CHN2	2905	0.03164241090416908	0.15563297	No	
row_42	ICAM1	ICAM1	2950	0.031270820647478104	0.15732837	No	
row_43	ATF3	ATF3	2995	0.031037548556923866	0.15899573	No	
row_44	SYCP2	SYCP2	3089	0.030414775013923645	0.15829001	No	
row_45	PTGES	PTGES	3126	0.030199488624930382	0.16023184	No	
row_46	GOLGB1	GOLGB1	3127	0.03019861690700054	0.16386205	No	
row_47	AGT	AGT	3200	0.029717033728957176	0.1640574	No	
row_48	SLC30A5	SLC30A5	3286	0.029134714975953102	0.16357303	No	
row_49	KIAA0040	KIAA0040	3344	0.028767410665750504	0.16435777	No	
row_50	LONRF1	LONRF1	3350	0.028723135590553284	0.16757609	No	
row_51	LGMN	LGMN	3450	0.02808939851820469	0.16630943	No	
row_52	TSC22D3	TSC22D3	3537	0.027591373771429062	0.16559263	No	
row_53	VASH2	VASH2	3549	0.027542512863874435	0.16838762	No	
row_54	BCAM	BCAM	3806	0.026098141446709633	0.15951796	No	
row_55	YOD1	YOD1	3836	0.02594805136322975	0.16127703	No	
row_56	SLC26A2	SLC26A2	3842	0.02591250278055668	0.16415748	No	
row_57	RAB5A	RAB5A	4090	0.02456551417708397	0.1555257	No	
row_58	MKNK1	MKNK1	4120	0.02437329851090908	0.15709548	No	
row_59	UFM1	UFM1	4157	0.024170666933059692	0.15831257	No	
row_60	ATG9B	ATG9B	4218	0.02388896234333515	0.15837017	No	
row_61	SEMA4B	SEMA4B	4397	0.023079514503479004	0.152796	No	
row_62	PROS1	PROS1	4512	0.022524716332554817	0.15015687	No	
row_63	CLIP2	CLIP2	4695	0.021632587537169456	0.14422116	No	
row_64	ACBD3	ACBD3	4741	0.021432548761367798	0.14468698	No	
row_65	TTC39B	TTC39B	4747	0.0214056558907032	0.14702566	No	
row_66	CHI3L1	CHI3L1	4752	0.021393023431301117	0.14940973	No	
row_67	PDP2	PDP2	4828	0.021028798073530197	0.14841996	No	
row_68	TMEM231	TMEM231	4837	0.02100767195224762	0.1505701	No	
row_69	TAGLN2	TAGLN2	4844	0.020974714308977127	0.15281007	No	
row_70	SLC16A4	SLC16A4	4867	0.020905444398522377	0.15429129	No	
row_71	PKIG	PKIG	5028	0.0201412346214056	0.14920814	No	
row_72	RPL37A	RPL37A	5043	0.020035142078995705	0.15095995	No	
row_73	CRELD1	CRELD1	5048	0.020010173320770264	0.15317778	No	
row_74	C1orf162	C1orf162	5313	0.01881890371441841	0.14305787	No	
row_75	DCAF4L1	DCAF4L1	5394	0.01843000389635563	0.14152119	No	
row_76	GLRX	GLRX	5615	0.01745140366256237	0.13330056	No	
row_77	MALT1	MALT1	5677	0.017201310023665428	0.13250732	No	
row_78	EIF2AK3	EIF2AK3	5823	0.016580937430262566	0.12769972	No	
row_79	GBP2	GBP2	5962	0.01603304222226143	0.12315457	No	
row_80	ZFP28	ZFP28	5974	0.015977060422301292	0.12455927	No	
row_81	JAG2	JAG2	6191	0.015112967230379581	0.11624515	No	
row_82	THBS2	THBS2	6206	0.015034946613013744	0.117395885	No	
row_83	ANXA11	ANXA11	6270	0.014753906987607479	0.11621463	No	
row_84	MOSPD1	MOSPD1	6292	0.014642971567809582	0.11698993	No	
row_85	GDA	GDA	6392	0.014280139468610287	0.11406325	No	
row_86	VMAC	VMAC	6394	0.014266902580857277	0.11573139	No	
row_87	RGS16	RGS16	6547	0.013655334711074829	0.11024378	No	
row_88	MYO5B	MYO5B	6571	0.013591288588941097	0.11079886	No	
row_89	FSTL5	FSTL5	6693	0.013165055774152279	0.106706284	No	
row_90	C1S	C1S	6766	0.012866787612438202	0.10487606	No	
row_91	KCNK10	KCNK10	6833	0.012644745409488678	0.10330055	No	
row_92	ACSS2	ACSS2	6878	0.01244973111897707	0.102733456	No	
row_93	PFKFB2	PFKFB2	6884	0.012439804151654243	0.10399434	No	
row_94	GPR107	GPR107	6891	0.01240334752947092	0.10520394	No	
row_95	SRPX	SRPX	6897	0.012358872219920158	0.1064551	No	
row_96	TMCC3	TMCC3	7155	0.011452262289822102	0.09577795	No	
row_97	GJA3	GJA3	7264	0.011075966991484165	0.09204397	No	
row_98	PORCN	PORCN	7296	0.010940682142972946	0.09190519	No	
row_99	EEPD1	EEPD1	7411	0.010550453327596188	0.08782663	No	
row_100	DCDC2	DCDC2	7487	0.010326412506401539	0.08555032	No	
row_101	SOCS3	SOCS3	7565	0.010044683702290058	0.08314633	No	
row_102	PJA2	PJA2	7649	0.009778831154108047	0.08042898	No	
row_103	IL21R	IL21R	7705	0.009582463651895523	0.079001285	No	
row_104	SPTB	SPTB	7785	0.009321803227066994	0.0764166	No	
row_105	SH3BP5	SH3BP5	7805	0.009237699210643768	0.07663593	No	
row_106	PGM2L1	PGM2L1	7861	0.009034449234604836	0.075142354	No	
row_107	IL13RA1	IL13RA1	8033	0.00838481355458498	0.06813004	No	
row_108	CSF1	CSF1	8101	0.008203716017305851	0.065973766	No	
row_109	KLF6	KLF6	8318	0.0075205545872449875	0.056746963	No	
row_110	DNHD1	DNHD1	8354	0.00742986798286438	0.05599854	No	
row_111	YPEL2	YPEL2	8392	0.007284169085323811	0.0551388	No	
row_112	FZD5	FZD5	8463	0.007019600830972195	0.052699484	No	
row_113	MERTK	MERTK	8524	0.006823342759162188	0.050705597	No	
row_114	TMEM87B	TMEM87B	8588	0.006614981684833765	0.048545957	No	
row_115	TAF1D	TAF1D	8715	0.00621973630040884	0.04338397	No	
row_116	MTUS1	MTUS1	8750	0.006089119706302881	0.042521276	No	
row_117	C9orf72	C9orf72	8849	0.005762847140431404	0.038617626	No	
row_118	CIR1	CIR1	9110	0.004901854321360588	0.027012331	No	
row_119	INSIG1	INSIG1	9121	0.004866370465606451	0.027128302	No	
row_120	TMEM50B	TMEM50B	9225	0.004489670507609844	0.022837091	No	
row_121	MAFF	MAFF	9596	0.0033098410349339247	0.005881187	No	
row_122	LAPTM5	LAPTM5	9604	0.0032724158372730017	0.005946252	No	
row_123	CAMK2D	CAMK2D	9629	0.0032031391747295856	0.005205653	No	
row_124	CCNG1	CCNG1	9675	0.003037878079339862	0.003460244	No	
row_125	ZBTB46	ZBTB46	9705	0.0029299890156835318	0.0024522992	No	
row_126	DGKI	DGKI	10108	0.0016614189371466637	-0.01620263	No	
row_127	APOL2	APOL2	10270	0.0011870713206008077	-0.023611171	No	
row_128	BMP5	BMP5	10348	9.653724846430123E-4	-0.027106587	No	
row_129	GOLGA4	GOLGA4	10466	6.080854800529778E-4	-0.032521036	No	
row_130	LIN7A	LIN7A	10583	2.2558092314284295E-4	-0.037934564	No	
row_131	BCL6	BCL6	10628	7.064622332109138E-5	-0.039989762	No	
row_132	PDXDC1	PDXDC1	10731	-2.116431132890284E-4	-0.044748336	No	
row_133	SEC14L1	SEC14L1	10735	-2.3958775273058563E-4	-0.044860244	No	
row_134	DDR1	DDR1	10864	-6.804403383284807E-4	-0.050781917	No	
row_135	LYST	LYST	10914	-8.560780552215874E-4	-0.05297721	No	
row_136	CBX7	CBX7	10970	-9.96340881101787E-4	-0.055437054	No	
row_137	GOLGA3	GOLGA3	11015	-0.0011576288379728794	-0.05736159	No	
row_138	HDAC9	HDAC9	11049	-0.0012506888015195727	-0.05875901	No	
row_139	COL14A1	COL14A1	11066	-0.001288189901970327	-0.059354592	No	
row_140	MAP3K6	MAP3K6	11111	-0.001425746246241033	-0.061246894	No	
row_141	S100A10	S100A10	11216	-0.00173753232229501	-0.065915845	No	
row_142	EDEM3	EDEM3	11335	-0.0021469807252287865	-0.071192205	No	
row_143	LHX9	LHX9	11566	-0.0029279503505676985	-0.08162772	No	
row_144	AHNAK	AHNAK	11869	-0.003946781624108553	-0.095317714	No	
row_145	KCNA4	KCNA4	12101	-0.004746011923998594	-0.10558158	No	
row_146	ITGA11	ITGA11	12219	-0.005140441469848156	-0.11045119	No	
row_147	ALPK1	ALPK1	12247	-0.00520003866404295	-0.11109245	No	
row_148	ARRDC3	ARRDC3	12290	-0.005360709968954325	-0.11241792	No	
row_149	FAM114A1	FAM114A1	12331	-0.00550343282520771	-0.11363243	No	
row_150	CLIC2	CLIC2	12353	-0.005595386493951082	-0.11394475	No	
row_151	FMN2	FMN2	12401	-0.00577140087261796	-0.11545536	No	
row_152	ACSL6	ACSL6	12624	-0.006431876681745052	-0.12509444	No	
row_153	RAB3B	RAB3B	12649	-0.006493682973086834	-0.1254395	No	
row_154	ARID5A	ARID5A	12660	-0.006537394132465124	-0.12512265	No	
row_155	RPE65	RPE65	12670	-0.006573305930942297	-0.124754585	No	
row_156	C4A	C4A	12892	-0.0073496014811098576	-0.13423645	No	
row_157	PPM1K	PPM1K	12992	-0.007642609067261219	-0.13796103	No	
row_158	FBXO32	FBXO32	13025	-0.0077326009050011635	-0.13853236	No	
row_159	TCP11L2	TCP11L2	13119	-0.008023387752473354	-0.14192976	No	
row_160	SPARC	SPARC	13228	-0.008386043831706047	-0.1459871	No	
row_161	RGS3	RGS3	13557	-0.009495025500655174	-0.16022958	No	
row_162	USP51	USP51	13624	-0.009741179645061493	-0.16215412	No	
row_163	PIKFYVE	PIKFYVE	13752	-0.01017564907670021	-0.16688746	No	
row_164	IL6R	IL6R	13823	-0.010431493632495403	-0.16891664	No	
row_165	NDRG2	NDRG2	13872	-0.010588432662189007	-0.1698951	No	
row_166	ARMCX1	ARMCX1	13972	-0.01093695592135191	-0.17322366	No	
row_167	TRAF1	TRAF1	13990	-0.010984018445014954	-0.1727006	No	
row_168	PDE4DIP	PDE4DIP	14030	-0.011114559136331081	-0.1731937	No	
row_169	SERPINA3	SERPINA3	14162	-0.011575089767575264	-0.17794642	No	
row_170	CRTAP	CRTAP	14254	-0.01196240447461605	-0.1807765	No	
row_171	PTP4A3	PTP4A3	14475	-0.012738226912915707	-0.18956369	No	
row_172	EML2	EML2	14507	-0.012843030504882336	-0.1894738	No	
row_173	N4BP2L1	N4BP2L1	14589	-0.013242470100522041	-0.19168097	No	
row_174	GOSR2	GOSR2	14718	-0.013747919350862503	-0.1960318	No	
row_175	TMEM97	TMEM97	14730	-0.013790521770715714	-0.19488995	No	
row_176	AKNA	AKNA	14787	-0.013962057419121265	-0.19583808	No	
row_177	FGFBP3	FGFBP3	14791	-0.013971230015158653	-0.19429928	No	
row_178	CDKN1A	CDKN1A	14918	-0.014471899718046188	-0.19846927	No	
row_179	TBC1D15	TBC1D15	15156	-0.015445596538484097	-0.20772834	No	
row_180	SLC22A18	SLC22A18	15179	-0.015556870959699154	-0.20689009	No	
row_181	JAK3	JAK3	15181	-0.015566219575703144	-0.20506576	No	
row_182	APOE	APOE	15188	-0.015601495280861855	-0.2034717	No	
row_183	TPST1	TPST1	15205	-0.01565598137676716	-0.20234013	No	
row_184	GCNT4	GCNT4	15337	-0.016120905056595802	-0.2065464	No	
row_185	WIPI1	WIPI1	15356	-0.01619013026356697	-0.2054444	No	
row_186	PLSCR4	PLSCR4	15367	-0.01624368317425251	-0.20396075	No	
row_187	COL11A2	COL11A2	15475	-0.016765005886554718	-0.20696394	No	
row_188	SYN3	SYN3	15537	-0.01700420491397381	-0.20778088	No	
row_189	KLF9	KLF9	15550	-0.017071900889277458	-0.20629148	No	
row_190	SLC2A4	SLC2A4	15768	-0.018037864938378334	-0.21430089	No	
row_191	GOLGA2	GOLGA2	15779	-0.018086152151226997	-0.21259576	No	
row_192	TMEM120A	TMEM120A	15962	-0.018837908282876015	-0.21886742	No	
row_193	PITPNC1	PITPNC1	16013	-0.01908940263092518	-0.21891777	No	
row_194	TBC1D23	TBC1D23	16014	-0.019091015681624413	-0.21662283	No	
row_195	TIMP1	TIMP1	16033	-0.019177911803126335	-0.21516168	No	
row_196	MEIS3	MEIS3	16068	-0.019311195239424706	-0.21443494	No	
row_197	TMEM173	TMEM173	16087	-0.01938166469335556	-0.21294929	No	
row_198	PRICKLE2	PRICKLE2	16208	-0.020002456381917	-0.21617302	No	
row_199	ULBP2	ULBP2	16324	-0.02053339034318924	-0.21909843	No	
row_200	DNAJB5	DNAJB5	16434	-0.020989546552300453	-0.22168759	No	
row_201	PDK4	PDK4	16555	-0.021641487255692482	-0.22471431	No	
row_202	SYDE2	SYDE2	16648	-0.02206011675298214	-0.22637743	No	
row_203	NUAK2	NUAK2	16714	-0.022352153435349464	-0.2267391	No	
row_204	ATCAY	ATCAY	16784	-0.022740811109542847	-0.22724165	No	
row_205	CBWD5	CBWD5	16814	-0.02284299023449421	-0.22585584	No	
row_206	SYNM	SYNM	16956	-0.02344534359872341	-0.22965065	No	
row_207	TXNIP	TXNIP	17036	-0.023791994899511337	-0.23049587	No	
row_208	ARF4	ARF4	17210	-0.024666951969265938	-0.2356447	No	
row_209	HABP4	HABP4	17367	-0.02548968978226185	-0.23989728	No	
row_210	POLR3D	POLR3D	17376	-0.025563659146428108	-0.23719947	No	
row_211	TRIM7	TRIM7	17458	-0.025983493775129318	-0.23787504	No	
row_212	F3	F3	17464	-0.026027752086520195	-0.23498075	No	
row_213	ZFP36	ZFP36	17472	-0.026082843542099	-0.23217362	No	
row_214	CCNB1IP1	CCNB1IP1	17578	-0.026680218055844307	-0.23389108	No	
row_215	GOLGA5	GOLGA5	17579	-0.026685792952775955	-0.23068316	No	
row_216	TRPM8	TRPM8	17614	-0.026890022680163383	-0.22904536	No	
row_217	ZNF608	ZNF608	17618	-0.02692723460495472	-0.22594912	No	
row_218	FTL	FTL	17640	-0.02708306349813938	-0.2236784	No	
row_219	RAB4A	RAB4A	17755	-0.027690298855304718	-0.22569656	No	
row_220	FUT1	FUT1	17919	-0.0287835281342268	-0.22988151	No	
row_221	ZFPL1	ZFPL1	17976	-0.029086949303746223	-0.22901146	No	
row_222	PODXL	PODXL	18139	-0.02997964434325695	-0.23300573	No	
