NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AHNAK2	AHNAK2	25	0.11426877975463867	0.012723972	No	
row_1	RDH10	RDH10	82	0.09251833707094193	0.021346645	No	
row_2	PLAU	PLAU	94	0.09020150452852249	0.031800903	No	
row_3	CD44	CD44	141	0.08368438482284546	0.03981877	No	
row_4	RBM3	RBM3	172	0.08035566657781601	0.048183206	No	
row_5	ADAMTS1	ADAMTS1	349	0.06785649806261063	0.0481707	No	
row_6	RNF145	RNF145	387	0.06631211936473846	0.054498326	No	
row_7	NAMPT	NAMPT	426	0.06468292325735092	0.06058083	No	
row_8	TNC	TNC	488	0.061920907348394394	0.06524724	No	
row_9	OSMR	OSMR	580	0.05923667177557945	0.06817826	No	
row_10	ELL2	ELL2	633	0.05780903995037079	0.072767235	No	
row_11	SGK1	SGK1	650	0.05732006952166557	0.07898743	No	
row_12	ITGAV	ITGAV	676	0.056695275008678436	0.08470896	No	
row_13	PMP22	PMP22	706	0.056181833148002625	0.09018019	No	
row_14	SH2B3	SH2B3	724	0.055811408907175064	0.096169926	No	
row_15	SERPINE1	SERPINE1	725	0.05579598993062973	0.102956176	No	
row_16	NFE2L3	NFE2L3	787	0.05471592769026756	0.10674627	No	
row_17	EGR2	EGR2	870	0.0532166063785553	0.109367765	No	
row_18	SNX10	SNX10	963	0.05116889625787735	0.11127057	No	
row_19	OSBPL5	OSBPL5	1007	0.05033007264137268	0.115372576	No	
row_20	NCOA7	NCOA7	1043	0.04995514079928398	0.119804695	No	
row_21	RPGR	RPGR	1089	0.0491190142929554	0.12366548	No	
row_22	FAM129A	FAM129A	1139	0.04834820330142975	0.12724465	No	
row_23	WWTR1	WWTR1	1155	0.04796293005347252	0.13237375	No	
row_24	SYT12	SYT12	1190	0.047421377152204514	0.13654466	No	
row_25	ARHGEF16	ARHGEF16	1218	0.047039955854415894	0.14099792	No	
row_26	LRRC4B	LRRC4B	1223	0.046919651329517365	0.14651671	No	
row_27	EFTUD2	EFTUD2	1256	0.04657713696360588	0.15067887	No	
row_28	ADAMTS9	ADAMTS9	1330	0.04552183300256729	0.15278716	No	
row_29	ARHGEF4	ARHGEF4	1335	0.045473940670490265	0.15813012	No	
row_30	GRWD1	GRWD1	1444	0.0440308079123497	0.15841332	No	
row_31	MAP3K11	MAP3K11	1466	0.043740641325712204	0.16274709	No	
row_32	SLC2A3	SLC2A3	1536	0.043110478669404984	0.16474995	No	
row_33	EMP1	EMP1	1560	0.04284142330288887	0.16888042	No	
