NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HIPK2	HIPK2	2	0.16396260261535645	0.043695148	Yes	
row_1	TGFBR2	TGFBR2	80	0.09288688004016876	0.064915374	Yes	
row_2	STK3	STK3	220	0.0759032815694809	0.078712165	Yes	
row_3	TGFBRAP1	TGFBRAP1	241	0.07467155903577805	0.09772262	Yes	
row_4	MYOF	MYOF	245	0.07433865964412689	0.11743598	Yes	
row_5	GPM6A	GPM6A	422	0.06491781026124954	0.12657562	Yes	
row_6	DNM3	DNM3	548	0.06001421809196472	0.13678111	Yes	
row_7	SMARCE1	SMARCE1	556	0.05986851081252098	0.15244372	Yes	
row_8	MYLK	MYLK	654	0.057238273322582245	0.163212	Yes	
row_9	MVP	MVP	711	0.056071795523166656	0.1755784	Yes	
row_10	FHOD1	FHOD1	726	0.05579235032200813	0.18982638	Yes	
row_11	DBN1	DBN1	840	0.05368980020284653	0.19890177	Yes	
row_12	ZNF195	ZNF195	948	0.05154313147068024	0.20768332	Yes	
row_13	ITGA2	ITGA2	1015	0.05024416372179985	0.2180276	Yes	
row_14	TCIRG1	TCIRG1	1021	0.05017362907528877	0.23119423	Yes	
row_15	ANXA2	ANXA2	1146	0.04821710288524628	0.23829572	Yes	
row_16	TAPBP	TAPBP	1578	0.042658403515815735	0.22961368	Yes	
row_17	ADNP	ADNP	1610	0.04231266304850578	0.23946993	Yes	
row_18	MAN1B1	MAN1B1	1866	0.039792317897081375	0.23821995	No	
row_19	PEX6	PEX6	2568	0.03395542874932289	0.21463796	No	
row_20	TRA2A	TRA2A	2748	0.032653745263814926	0.21502134	No	
row_21	NKAIN1	NKAIN1	2801	0.03231799229979515	0.2212303	No	
row_22	LDLRAP1	LDLRAP1	3019	0.030896076932549477	0.21937436	No	
row_23	WNT5B	WNT5B	3033	0.030838005244731903	0.22700454	No	
row_24	ZNF93	ZNF93	3249	0.02931053936481476	0.22481832	No	
row_25	WWP1	WWP1	3584	0.02732735499739647	0.21655986	No	
row_26	LRPPRC	LRPPRC	3615	0.02714511752128601	0.222412	No	
row_27	ZMIZ1	ZMIZ1	3766	0.026283234357833862	0.22244479	No	
row_28	CAST	CAST	3894	0.025577103719115257	0.22336024	No	
row_29	CYFIP2	CYFIP2	4705	0.02160325087606907	0.19140261	No	
row_30	PLD1	PLD1	5008	0.020235275849699974	0.18274055	No	
row_31	NLRX1	NLRX1	5209	0.019301386550068855	0.17857991	No	
row_32	VEZF1	VEZF1	5397	0.01842125877737999	0.17478973	No	
row_33	PGAP1	PGAP1	5714	0.017050160095095634	0.16462497	No	
row_34	LMNA	LMNA	5919	0.016221141442656517	0.1594554	No	
row_35	ARPC1B	ARPC1B	6192	0.01510878000408411	0.15082157	No	
row_36	RAB27A	RAB27A	6204	0.015039166435599327	0.15432562	No	
row_37	MICAL2	MICAL2	6513	0.013786405324935913	0.14366186	No	
row_38	SARM1	SARM1	7016	0.011861954815685749	0.12344828	No	
row_39	SEMA6C	SEMA6C	7350	0.010725024156272411	0.110802524	No	
row_40	BSN	BSN	7729	0.009497950784862041	0.095733106	No	
row_41	TRMT2B	TRMT2B	7894	0.008893251419067383	0.0904696	No	
row_42	ADNP2	ADNP2	7989	0.00851647648960352	0.08836583	No	
row_43	IL13RA1	IL13RA1	8033	0.00838481355458498	0.088602304	No	
row_44	CXCL5	CXCL5	8194	0.007926211692392826	0.08326685	No	
row_45	ZNF254	ZNF254	8202	0.007885326631367207	0.085046686	No	
row_46	PLP2	PLP2	8380	0.007330107036978006	0.07876022	No	
row_47	BCAS3	BCAS3	8401	0.007261158432811499	0.079767875	No	
row_48	NAT1	NAT1	8558	0.006706770975142717	0.074293055	No	
