NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MDFIC	MDFIC	271	0.07225321233272552	0.005828879	No	
row_1	LRP10	LRP10	479	0.06226101890206337	0.0120871505	No	
row_2	RETSAT	RETSAT	658	0.05717368423938751	0.018397067	No	
row_3	MVP	MVP	711	0.056071795523166656	0.030295044	No	
row_4	TBC1D8	TBC1D8	788	0.054712362587451935	0.04072784	No	
row_5	NPTN	NPTN	878	0.053017377853393555	0.050122164	No	
row_6	TCIRG1	TCIRG1	1021	0.05017362907528877	0.056321315	No	
row_7	ELK3	ELK3	1072	0.04941572993993759	0.06661255	No	
row_8	TAPBP	TAPBP	1578	0.042658403515815735	0.053982694	No	
row_9	ITGBL1	ITGBL1	2047	0.03816975653171539	0.041930046	No	
row_10	LRBA	LRBA	2261	0.036301687359809875	0.04127901	No	
row_11	OSBPL3	OSBPL3	2755	0.032620739191770554	0.02664461	No	
row_12	ICAM1	ICAM1	2950	0.031270820647478104	0.025593806	No	
row_13	GBP1	GBP1	2993	0.031062761321663857	0.0315705	No	
row_14	PML	PML	3150	0.029967917129397392	0.031957105	No	
row_15	AMIGO2	AMIGO2	3194	0.029753796756267548	0.03755292	No	
row_16	SMAGP	SMAGP	3414	0.028269682079553604	0.03457107	No	
row_17	SOX11	SOX11	3515	0.027725212275981903	0.036993563	No	
row_18	E2F5	E2F5	3627	0.027087563648819923	0.038740788	No	
row_19	CLEC2B	CLEC2B	4145	0.02423764020204544	0.020847414	No	
row_20	C1R	C1R	4214	0.023897795006632805	0.023783073	No	
row_21	CAMKV	CAMKV	4489	0.02258981578052044	0.016788557	No	
row_22	GATA6	GATA6	4962	0.02046268619596958	2.7331713E-5	No	
row_23	CASP4	CASP4	5106	0.01977103389799595	-0.0015846879	No	
row_24	RAB11FIP5	RAB11FIP5	5143	0.019620053470134735	0.0017491283	No	
row_25	HFE	HFE	5423	0.0182951632887125	-0.0065751225	No	
row_26	ASB13	ASB13	5884	0.016353972256183624	-0.023826685	No	
row_27	SLFN12	SLFN12	5907	0.016274817287921906	-0.020695051	No	
row_28	ARPC1B	ARPC1B	6192	0.01510878000408411	-0.030065997	No	
row_29	RAB27A	RAB27A	6204	0.015039166435599327	-0.026737524	No	
row_30	MICAL2	MICAL2	6513	0.013786405324935913	-0.03756419	No	
row_31	CYLD	CYLD	6516	0.01377210021018982	-0.034140065	No	
row_32	HCFC2	HCFC2	6633	0.01334537286311388	-0.036135405	No	
row_33	FAS	FAS	6689	0.013176905922591686	-0.0353322	No	
row_34	ERAP2	ERAP2	6928	0.01219191960990429	-0.043305263	No	
row_35	APOL1	APOL1	7368	0.010671681724488735	-0.06102979	No	
row_36	LPAR1	LPAR1	7876	0.008976174518465996	-0.08235499	No	
row_37	SHC1	SHC1	8045	0.008354270830750465	-0.08804734	No	
row_38	DDX60	DDX60	8367	0.007383808959275484	-0.10111476	No	
row_39	PLP2	PLP2	8380	0.007330107036978006	-0.099801704	No	
row_40	RALB	RALB	8436	0.007122970186173916	-0.100544624	No	
row_41	DENND4A	DENND4A	8647	0.0064006708562374115	-0.1086924	No	
row_42	UTRN	UTRN	9466	0.0037605303805321455	-0.145837	No	
row_43	TRIM38	TRIM38	9876	0.002367652952671051	-0.16428481	No	
row_44	CHD7	CHD7	9974	0.002070752438157797	-0.16827452	No	
row_45	IRF2	IRF2	9976	0.0020638350397348404	-0.16779402	No	
row_46	GNS	GNS	10291	0.0011299904435873032	-0.18213253	No	
row_47	ITGB5	ITGB5	10457	6.319914245977998E-4	-0.18965733	No	
row_48	SLC16A6	SLC16A6	10468	6.063834298402071E-4	-0.1899683	No	
row_49	TPBG	TPBG	10604	1.664112351136282E-4	-0.19621453	No	
row_50	S100A11	S100A11	10703	-1.2165666703367606E-4	-0.20074861	No	
row_51	SP140L	SP140L	10912	-8.447992149740458E-4	-0.21022214	No	
row_52	TRIM5	TRIM5	11347	-0.002216075547039509	-0.22987325	No	
row_53	NUDT11	NUDT11	11624	-0.0031126539688557386	-0.24193524	No	
row_54	PARP12	PARP12	11918	-0.004100895952433348	-0.25453678	No	
row_55	C1QTNF1	C1QTNF1	11992	-0.004323353059589863	-0.2568332	No	
row_56	SECTM1	SECTM1	12070	-0.00465781893581152	-0.25923052	No	
row_57	OAS2	OAS2	12174	-0.004969857633113861	-0.2627593	No	
row_58	MMP14	MMP14	12245	-0.005196876358240843	-0.2646929	No	
row_59	TAP1	TAP1	12289	-0.00535888085141778	-0.26532733	No	
row_60	KBTBD11	KBTBD11	12489	-0.00603118259459734	-0.27305707	No	
row_61	CASP8	CASP8	12893	-0.007349690888077021	-0.28995302	No	
row_62	BACH2	BACH2	12964	-0.007570984307676554	-0.29128027	No	
row_63	RUNX2	RUNX2	13175	-0.008179605938494205	-0.2989737	No	
row_64	CASP1	CASP1	13302	-0.008674617856740952	-0.30262777	No	
row_65	NLRP1	NLRP1	13867	-0.010569816455245018	-0.3262012	No	
row_66	INTS9	INTS9	13879	-0.010600666515529156	-0.3240063	No	
row_67	SCPEP1	SCPEP1	13899	-0.010686827823519707	-0.32216203	No	
row_68	ERAP1	ERAP1	13923	-0.010768388397991657	-0.32048327	No	
row_69	PARP3	PARP3	13963	-0.010901274159550667	-0.3195159	No	
row_70	BIN1	BIN1	13979	-0.010961434803903103	-0.3174152	No	
row_71	PROCR	PROCR	14056	-0.011223209090530872	-0.3180892	No	
row_72	IFI16	IFI16	14371	-0.01236984133720398	-0.32955715	No	
row_73	SDF4	SDF4	14481	-0.012758496217429638	-0.33137628	No	
row_74	YPEL1	YPEL1	14618	-0.013345446437597275	-0.33430326	No	
row_75	ANXA4	ANXA4	14631	-0.013402098789811134	-0.33143947	No	
row_76	VRK1	VRK1	14755	-0.013870181515812874	-0.33362687	No	
row_77	TRADD	TRADD	14833	-0.014136518351733685	-0.3336034	No	
row_78	TLR3	TLR3	15001	-0.014853302389383316	-0.33758938	No	
row_79	ALAD	ALAD	15243	-0.015811124816536903	-0.34477785	No	
row_80	WIPI1	WIPI1	15356	-0.01619013026356697	-0.34586033	No	
row_81	SEPHS1	SEPHS1	15849	-0.01834516040980816	-0.36409402	No	
row_82	MR1	MR1	15904	-0.018567850813269615	-0.36186743	No	
row_83	DDO	DDO	16097	-0.019411489367485046	-0.36585385	No	
row_84	C1RL	C1RL	16390	-0.020800594240427017	-0.3741438	No	
row_85	APOL3	APOL3	16408	-0.02087588422000408	-0.3696042	No	
row_86	BTN3A3	BTN3A3	16601	-0.021880250424146652	-0.37296012	No	
row_87	MGLL	MGLL	16941	-0.023389240726828575	-0.38277835	No	
row_88	MFSD1	MFSD1	16964	-0.023493023589253426	-0.37780324	No	
row_89	RNASEL	RNASEL	17483	-0.026194531470537186	-0.39524344	No	
row_90	B2M	B2M	17865	-0.02842848375439644	-0.4057312	No	
row_91	PSMB8	PSMB8	18363	-0.031350214034318924	-0.4208764	No	
row_92	CBX5	CBX5	18368	-0.031388334929943085	-0.4130464	No	
row_93	LNPEP	LNPEP	18551	-0.03245554864406586	-0.41323563	No	
row_94	TRIM21	TRIM21	18682	-0.03336670249700546	-0.41076985	No	
row_95	SALL2	SALL2	18895	-0.03474484384059906	-0.41177192	No	
row_96	HLA-B	HLA-B	18926	-0.03502938151359558	-0.40422317	No	
row_97	GSDMD	GSDMD	19445	-0.03894753009080887	-0.41840634	No	
row_98	FLT3LG	FLT3LG	19792	-0.04207846522331238	-0.42377758	Yes	
row_99	CUEDC2	CUEDC2	19824	-0.042433883994817734	-0.41438437	Yes	
row_100	APOBEC3G	APOBEC3G	19920	-0.043749380856752396	-0.40763652	Yes	
row_101	MX1	MX1	19984	-0.04448605701327324	-0.39920986	Yes	
row_102	OSTF1	OSTF1	20018	-0.044819995760917664	-0.38930044	Yes	
row_103	DDX58	DDX58	20077	-0.045320212841033936	-0.38042784	Yes	
row_104	IFIT3	IFIT3	20082	-0.04546896368265152	-0.36900175	Yes	
row_105	SAMD9	SAMD9	20134	-0.045994147658348083	-0.35963094	Yes	
row_106	HERC5	HERC5	20185	-0.046632397919893265	-0.35005054	Yes	
row_107	MTSS1	MTSS1	20289	-0.04814355820417404	-0.3425531	Yes	
row_108	PHF11	PHF11	20428	-0.050229430198669434	-0.3361534	Yes	
row_109	HLA-F	HLA-F	20653	-0.05443081632256508	-0.33268678	Yes	
row_110	HERC6	HERC6	20663	-0.05454966798424721	-0.31917447	Yes	
row_111	IRF1	IRF1	20690	-0.0551900640130043	-0.30629054	Yes	
row_112	PPIC	PPIC	20717	-0.05569905787706375	-0.29327658	Yes	
row_113	SP110	SP110	20846	-0.058246683329343796	-0.28436348	Yes	
row_114	APOM	APOM	20908	-0.05999399721622467	-0.27188304	Yes	
row_115	TMEM140	TMEM140	20922	-0.06035827100276947	-0.25707358	Yes	
row_116	HLA-E	HLA-E	20930	-0.06061406433582306	-0.24191931	Yes	
row_117	RTP4	RTP4	21020	-0.06328381597995758	-0.22990301	Yes	
row_118	BLVRB	BLVRB	21104	-0.06626267731189728	-0.21684645	Yes	
row_119	HLA-C	HLA-C	21127	-0.06738533824682236	-0.20066158	Yes	
row_120	DHX58	DHX58	21153	-0.06841182708740234	-0.18435432	Yes	
row_121	TAPBPL	TAPBPL	21272	-0.07390611618757248	-0.17097609	Yes	
row_122	NMI	NMI	21290	-0.07461374253034592	-0.15271223	Yes	
row_123	TNFRSF14	TNFRSF14	21312	-0.07579728215932846	-0.13433243	Yes	
row_124	STAT1	STAT1	21320	-0.0762300118803978	-0.11518997	Yes	
row_125	IFI35	IFI35	21374	-0.08097068220376968	-0.09697959	Yes	
row_126	XAF1	XAF1	21402	-0.08355684578418732	-0.07689757	Yes	
row_127	PSMB9	PSMB9	21406	-0.08415262401103973	-0.05554539	Yes	
row_128	C19orf66	C19orf66	21434	-0.08740610629320145	-0.034480296	Yes	
row_129	BST2	BST2	21587	-0.16437529027462006	4.1923777E-4	Yes	
