NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PI15	PI15	10	0.1289207488298416	0.036734845	No	
row_1	DENND3	DENND3	103	0.08847673237323761	0.057975132	No	
row_2	ME1	ME1	338	0.06844974309206009	0.066814244	No	
row_3	S100A8	S100A8	546	0.06011001765727997	0.074506015	No	
row_4	NAV3	NAV3	547	0.06003710627555847	0.09183024	No	
row_5	TNFSF9	TNFSF9	638	0.05757042020559311	0.104245506	No	
row_6	ABCA7	ABCA7	978	0.05093918740749359	0.1031351	No	
row_7	TCIRG1	TCIRG1	1021	0.05017362907528877	0.11565445	No	
row_8	GPR39	GPR39	1040	0.04996846616268158	0.12923385	No	
row_9	GCNT1	GCNT1	1093	0.04907391965389252	0.14096953	No	
row_10	TFAP2C	TFAP2C	1625	0.042167358100414276	0.12837395	No	
row_11	SERPINB7	SERPINB7	1742	0.04108797013759613	0.13482055	No	
row_12	IL15RA	IL15RA	2486	0.03461260348558426	0.11015832	No	
row_13	ZFR	ZFR	2694	0.03308023139834404	0.1100504	No	
row_14	TNNT1	TNNT1	2796	0.032379042357206345	0.114683494	No	
row_15	MPZ	MPZ	2812	0.03224540874361992	0.12328866	No	
row_16	SMARCD2	SMARCD2	2857	0.031955983489751816	0.13045788	No	
row_17	DCAF7	DCAF7	3001	0.030987989157438278	0.13273089	No	
row_18	STX11	STX11	3320	0.028886958956718445	0.12623647	No	
row_19	UBE2Z	UBE2Z	3359	0.028688127174973488	0.13274252	No	
row_20	CXCL3	CXCL3	3433	0.028179852291941643	0.1374697	No	
row_21	CPPED1	CPPED1	3434	0.028172142803668976	0.14559901	No	
row_22	SOX11	SOX11	3515	0.027725212275981903	0.14986853	No	
row_23	MSX2	MSX2	3553	0.027507588267326355	0.15608059	No	
row_24	GALNT6	GALNT6	3611	0.027160275727510452	0.16125971	No	
row_25	CD55	CD55	3796	0.026167800650000572	0.16022977	No	
row_26	RAD50	RAD50	3817	0.026065586134791374	0.16681851	No	
row_27	STEAP3	STEAP3	3930	0.025373337790369987	0.16891706	No	
row_28	STARD5	STARD5	4284	0.02362295612692833	0.15927142	No	
row_29	AOX1	AOX1	4815	0.02108749747276306	0.1406397	No	
row_30	LAMC2	LAMC2	4972	0.020390251651406288	0.13924839	No	
row_31	TMEM40	TMEM40	5059	0.01996431313455105	0.14099863	No	
row_32	CASP4	CASP4	5106	0.01977103389799595	0.14455852	No	
row_33	IPPK	IPPK	5560	0.017710544168949127	0.12854327	No	
row_34	EVI2A	EVI2A	5634	0.017363904044032097	0.1301494	No	
row_35	RAB27A	RAB27A	6204	0.015039166435599327	0.107953615	No	
row_36	CDCP1	CDCP1	6238	0.014864030294120312	0.110703796	No	
row_37	HPCAL1	HPCAL1	6281	0.014702975749969482	0.11298779	No	
row_38	COL17A1	COL17A1	6403	0.014223647303879261	0.11144928	No	
row_39	ABLIM3	ABLIM3	6425	0.014124863781034946	0.114545785	No	
row_40	YWHAE	YWHAE	6501	0.013817783445119858	0.115035385	No	
row_41	IQSEC2	IQSEC2	6523	0.013756830245256424	0.1180257	No	
row_42	ITPR3	ITPR3	6821	0.012678400613367558	0.10783348	No	
row_43	LTBR	LTBR	6919	0.01223698165267706	0.10684095	No	
row_44	BANK1	BANK1	7027	0.011805593967437744	0.105257586	No	
row_45	C3	C3	7114	0.011568864807486534	0.104585245	No	
row_46	TGM2	TGM2	7178	0.011339208111166954	0.104919255	No	
row_47	SH3TC1	SH3TC1	7346	0.010737785138189793	0.10022964	No	
row_48	AKR1C1	AKR1C1	7362	0.010683955624699593	0.10261306	No	
row_49	APOL1	APOL1	7368	0.010671681724488735	0.105459295	No	
row_50	SELPLG	SELPLG	7403	0.010587367229163647	0.10692877	No	
