NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DMWD	DMWD	101	0.08869659900665283	0.016236821	No	
row_1	RIN1	RIN1	125	0.08568136394023895	0.03539959	No	
row_2	ITGB8	ITGB8	222	0.07581951469182968	0.048828416	No	
row_3	LRP10	LRP10	479	0.06226101890206337	0.051592417	No	
row_4	EPHB4	EPHB4	491	0.061857935041189194	0.06568846	No	
row_5	GJA1	GJA1	705	0.05619746074080467	0.06902602	No	
row_6	PMP22	PMP22	706	0.056181833148002625	0.08229459	No	
row_7	BTBD2	BTBD2	945	0.05163855850696564	0.083389424	No	
row_8	ZNF45	ZNF45	1157	0.0479300357401371	0.08486773	No	
row_9	GRIK1	GRIK1	1270	0.04633698612451553	0.09058734	No	
row_10	NPAS3	NPAS3	1331	0.045520320534706116	0.09853946	No	
row_11	LRP5	LRP5	1507	0.043381910771131516	0.10062273	No	
row_12	DAG1	DAG1	1553	0.04290337488055229	0.10865642	No	
row_13	LAMB2	LAMB2	1622	0.04218575730919838	0.115447864	No	
row_14	ZNF8	ZNF8	1652	0.041866954416036606	0.123983055	No	
row_15	POFUT1	POFUT1	1869	0.03973717242479324	0.12329323	No	
row_16	NR2F6	NR2F6	1883	0.03965718671679497	0.1320528	No	
row_17	FZD7	FZD7	2089	0.037775371223688126	0.13141271	No	
row_18	ADAM19	ADAM19	2199	0.036807041615247726	0.13502154	No	
row_19	FBXO17	FBXO17	2679	0.03318275138735771	0.120516956	No	
row_20	HS3ST3B1	HS3ST3B1	2725	0.03285031393170357	0.1261764	No	
row_21	OSBPL3	OSBPL3	2755	0.032620739191770554	0.13252789	No	
row_22	SOX9	SOX9	2786	0.0324585922062397	0.13879444	No	
row_23	IRS2	IRS2	2823	0.032183609902858734	0.1447162	No	
row_24	SLC6A11	SLC6A11	2837	0.03210223838686943	0.1516915	No	
row_25	SMO	SMO	2849	0.03200884908437729	0.15873803	No	
row_26	ITGA7	ITGA7	2900	0.03169555962085724	0.16389154	No	
row_27	ZFHX4	ZFHX4	3078	0.03050880692899227	0.16284128	No	
row_28	FZD3	FZD3	3087	0.030436504632234573	0.16965638	No	
row_29	JAG1	JAG1	3388	0.028459126129746437	0.16238509	No	
row_30	TRIP6	TRIP6	3449	0.028095819056034088	0.16622202	No	
row_31	EXTL3	EXTL3	3782	0.026225121691823006	0.15693058	No	
row_32	CD151	CD151	4233	0.023847239091992378	0.14157383	No	
row_33	MGC2752	MGC2752	4354	0.023288153111934662	0.14147682	No	
row_34	M6PRBP1	M6PRBP1	4415	0.02301083505153656	0.14411283	No	
row_35	CDH2	CDH2	4651	0.021857313811779022	0.13831408	No	
row_36	CLIP2	CLIP2	4695	0.021632587537169456	0.1414175	No	
row_37	DENND2A	DENND2A	4698	0.02162463590502739	0.14643134	No	
row_38	LRFN3	LRFN3	4760	0.021335408091545105	0.14862502	No	
row_39	GLI2	GLI2	4826	0.021037306636571884	0.15056172	No	
row_40	CDK6	CDK6	4843	0.020974744111299515	0.1547691	No	
row_41	GRIK5	GRIK5	5242	0.01917119324207306	0.14073336	No	
row_42	TGFB3	TGFB3	5291	0.0189660657197237	0.14297381	No	
row_43	EGFR	EGFR	5421	0.018300656229257584	0.14127912	No	
row_44	GLG1	GLG1	5741	0.01691550202667713	0.13039535	No	
row_45	TLE2	TLE2	5963	0.01603137142956257	0.12387367	No	
row_46	MAB21L1	MAB21L1	6064	0.01561272144317627	0.12289678	No	
