NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LRRFIP1	LRRFIP1	5	0.13709935545921326	0.02178372	Yes	
row_1	MAN2A1	MAN2A1	12	0.12508338689804077	0.041590966	Yes	
row_2	THBS1	THBS1	13	0.12342531234025955	0.061412517	Yes	
row_3	BNC2	BNC2	40	0.10223007947206497	0.07661435	Yes	
row_4	LAMB1	LAMB1	72	0.09464477002620697	0.09036419	Yes	
row_5	TGFBR2	TGFBR2	80	0.09288688004016876	0.10495406	Yes	
row_6	PLAU	PLAU	94	0.09020150452852249	0.11883208	Yes	
row_7	COL1A1	COL1A1	158	0.08209547400474548	0.12907012	Yes	
row_8	ITGA5	ITGA5	208	0.07680367678403854	0.13911301	Yes	
row_9	ELF4	ELF4	328	0.068996861577034	0.14462869	Yes	
row_10	IQGAP1	IQGAP1	378	0.06660231947898865	0.15303329	Yes	
row_11	DCBLD2	DCBLD2	494	0.0618322528898716	0.15758541	Yes	
row_12	COL1A2	COL1A2	651	0.0573078952729702	0.15949364	Yes	
row_13	MVP	MVP	711	0.056071795523166656	0.16573945	Yes	
row_14	SH2B3	SH2B3	724	0.055811408907175064	0.17414133	Yes	
row_15	SERPINE1	SERPINE1	725	0.05579598993062973	0.18310192	Yes	
row_16	FHOD1	FHOD1	726	0.05579235032200813	0.19206192	Yes	
row_17	YAP1	YAP1	783	0.05476601794362068	0.19823831	Yes	
row_18	TCIRG1	TCIRG1	1021	0.05017362907528877	0.19521293	Yes	
row_19	GCNT1	GCNT1	1093	0.04907391965389252	0.19977374	Yes	
row_20	FER1L3	FER1L3	1126	0.04855499044060707	0.206075	Yes	
row_21	ANXA2	ANXA2	1146	0.04821710288524628	0.21292993	Yes	
row_22	WWTR1	WWTR1	1155	0.04796293005347252	0.22025846	Yes	
row_23	CTSZ	CTSZ	1161	0.047873605042696	0.22771293	Yes	
row_24	PTGER4	PTGER4	1207	0.047192614525556564	0.23318747	Yes	
row_25	CD2AP	CD2AP	1214	0.04708921164274216	0.2404692	Yes	
row_26	LOX	LOX	1391	0.0447201170027256	0.2394206	Yes	
row_27	TLR4	TLR4	1412	0.04441311955451965	0.24561787	Yes	
row_28	NRP1	NRP1	1414	0.044397760182619095	0.2527012	Yes	
row_29	IL4R	IL4R	1474	0.04368811473250389	0.25695822	Yes	
row_30	FHL2	FHL2	1493	0.0434928834438324	0.26310125	Yes	
row_31	CLCF1	CLCF1	1758	0.04089120030403137	0.2573225	Yes	
row_32	MYH9	MYH9	1778	0.04065137729048729	0.2629624	Yes	
row_33	SQRDL	SQRDL	1888	0.039616767317056656	0.26422742	Yes	
row_34	ZNF217	ZNF217	1934	0.03919726237654686	0.26841795	Yes	
row_35	PLS3	PLS3	2001	0.03854266554117203	0.2715213	Yes	
row_36	SYPL1	SYPL1	2107	0.03755965456366539	0.272643	Yes	
row_37	FNDC3B	FNDC3B	2151	0.03721481189131737	0.27660868	Yes	
row_38	FOLR2	FOLR2	2183	0.03697425499558449	0.2810969	Yes	
row_39	DOK3	DOK3	2188	0.036939602345228195	0.2868422	Yes	
row_40	C1orf38	C1orf38	2216	0.03669196739792824	0.29147214	Yes	
row_41	PTRF	PTRF	2260	0.03630843013525009	0.29529226	Yes	
row_42	NCF4	NCF4	2426	0.035134945064783096	0.2932187	Yes	
row_43	IL15RA	IL15RA	2486	0.03461260348558426	0.29601827	Yes	
row_44	SRPX2	SRPX2	2851	0.032004259526729584	0.28413594	Yes	
row_45	ARHGAP29	ARHGAP29	2887	0.0317925363779068	0.28760493	Yes	
row_46	SLC16A3	SLC16A3	2914	0.03152180463075638	0.29145133	Yes	
row_47	SEC24D	SEC24D	2951	0.03126929700374603	0.29478952	Yes	
row_48	EFEMP2	EFEMP2	3022	0.030878569930791855	0.29647502	Yes	
row_49	ACPP	ACPP	3084	0.03046233020722866	0.29851454	Yes	
row_50	ADAM12	ADAM12	3114	0.03027127869427204	0.3020198	Yes	
row_51	ARSJ	ARSJ	3133	0.030158812180161476	0.30602142	Yes	
row_52	LCP2	LCP2	3720	0.026526829227805138	0.28287786	No	
row_53	CAST	CAST	3894	0.025577103719115257	0.27889526	No	
row_54	NCF2	NCF2	3940	0.025324298068881035	0.28085786	No	
row_55	CLEC2B	CLEC2B	4145	0.02423764020204544	0.27521047	No	
row_56	PLK3	PLK3	4263	0.023682545870542526	0.2735424	No	
row_57	GLT25D1	GLT25D1	4708	0.021572908386588097	0.2562437	No	
row_58	CHI3L1	CHI3L1	4752	0.021393023431301117	0.2576685	No	
row_59	TGFBI	TGFBI	4792	0.02119065634906292	0.2592478	No	
row_60	PSCDBP	PSCDBP	4800	0.021162141114473343	0.26231903	No	
row_61	TNFRSF1B	TNFRSF1B	4866	0.020907822996377945	0.26263708	No	
row_62	ALOX5	ALOX5	4872	0.02086414024233818	0.26575392	No	
row_63	HEXB	HEXB	5023	0.02016982063651085	0.26197854	No	
row_64	CNN2	CNN2	5091	0.019818447530269623	0.2620281	No	
row_65	CASP4	CASP4	5106	0.01977103389799595	0.26454854	No	
row_66	ACSL1	ACSL1	5130	0.01967175304889679	0.26663217	No	
row_67	FLJ22662	FLJ22662	5151	0.019575364887714386	0.2688406	No	
row_68	ANXA1	ANXA1	5293	0.018937932327389717	0.26528823	No	
row_69	FCGR2A	FCGR2A	5414	0.018328607082366943	0.26262006	No	
row_70	HFE	HFE	5423	0.0182951632887125	0.26518407	No	
row_71	TMBIM1	TMBIM1	5437	0.018248707056045532	0.26750678	No	
row_72	TNFAIP8	TNFAIP8	5465	0.0181308351457119	0.2691559	No	
row_73	BATF	BATF	5532	0.0178558100014925	0.26893705	No	
row_74	PYGL	PYGL	5661	0.01725403219461441	0.2657222	No	
row_75	PTPRC	PTPRC	5766	0.0168389230966568	0.26356298	No	
row_76	TRPM2	TRPM2	5773	0.016824230551719666	0.2659843	No	
row_77	CTSC	CTSC	6083	0.015556108206510544	0.2540325	No	
row_78	MGAT1	MGAT1	6097	0.015498249791562557	0.2559135	No	
row_79	CD14	CD14	6129	0.01537070982158184	0.2569323	No	
row_80	ARPC1B	ARPC1B	6192	0.01510878000408411	0.25645933	No	
row_81	RAB27A	RAB27A	6204	0.015039166435599327	0.25836015	No	
row_82	CD4	CD4	6236	0.014866247773170471	0.2592979	No	
row_83	CDCP1	CDCP1	6238	0.014864030294120312	0.26163825	No	
row_84	EHD2	EHD2	6388	0.014287897385656834	0.25696498	No	
