NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BASP1	BASP1	136	0.0843115746974945	0.019804884	No	
row_1	EDIL3	EDIL3	169	0.08043249696493149	0.043251097	No	
row_2	KIAA1598	KIAA1598	361	0.06741181761026382	0.0552548	No	
row_3	ANKRD46	ANKRD46	412	0.06526950001716614	0.07316162	No	
row_4	MBP	MBP	741	0.05543499067425728	0.07507112	No	
row_5	EPB41L3	EPB41L3	764	0.05512578785419464	0.0911372	No	
row_6	USP33	USP33	937	0.051739662885665894	0.09916699	No	
row_7	PPP2R5A	PPP2R5A	1498	0.04341945797204971	0.08654551	No	
row_8	FEZF2	FEZF2	1595	0.042490892112255096	0.0952477	No	
row_9	MYBPC1	MYBPC1	1665	0.04175427556037903	0.10497908	No	
row_10	MAT2B	MAT2B	1715	0.041265539824962616	0.11549048	No	
row_11	BCAS1	BCAS1	2069	0.03798908367753029	0.110826775	No	
row_12	SPAST	SPAST	2072	0.03797634318470955	0.12250751	No	
row_13	ADD3	ADD3	2214	0.036710407584905624	0.12732162	No	
row_14	CCK	CCK	2539	0.034156184643507004	0.12282031	No	
row_15	PARP8	PARP8	2634	0.03345926105976105	0.12881556	No	
row_16	MMD	MMD	2816	0.03220874071121216	0.13037093	No	
row_17	FBXO3	FBXO3	3112	0.030289705842733383	0.12602162	No	
row_18	VIP	VIP	3142	0.0300501249730587	0.1339874	No	
row_19	DYNC1I1	DYNC1I1	3196	0.029730981215834618	0.1407364	No	
row_20	YPEL5	YPEL5	3639	0.027005432173609734	0.1285221	No	
row_21	HPCAL4	HPCAL4	3697	0.026665546000003815	0.1341344	No	
row_22	CPNE6	CPNE6	3837	0.025943873450160027	0.1357037	No	
row_23	CRYZL1	CRYZL1	3990	0.02505156211555004	0.13639084	No	
row_24	SNCG	SNCG	4086	0.024585330858826637	0.1395883	No	
row_25	MORF4L2	MORF4L2	4334	0.023371538147330284	0.13532981	No	
row_26	AGTPBP1	AGTPBP1	4518	0.022489432245492935	0.13377874	No	
row_27	SLCO1A2	SLCO1A2	4612	0.022022603079676628	0.13627483	No	
row_28	DHRS9	DHRS9	5582	0.01762513630092144	0.09660644	No	
row_29	EVI2A	EVI2A	5634	0.017363904044032097	0.099614404	No	
row_30	IMPA1	IMPA1	5662	0.017251357436180115	0.10370532	No	
row_31	PLCL1	PLCL1	5924	0.01617344282567501	0.09656311	No	
row_32	CRYM	CRYM	6273	0.014745905064046383	0.08492615	No	
row_33	PPFIA2	PPFIA2	6529	0.013729355297982693	0.07730565	No	
row_34	TSNAX	TSNAX	6572	0.013590398244559765	0.079562895	No	
row_35	GNAI1	GNAI1	6998	0.011931000277400017	0.06346683	No	
row_36	CASQ1	CASQ1	7579	0.009992992505431175	0.03955054	No	
row_37	SLC30A10	SLC30A10	7589	0.009962379932403564	0.04222001	No	
row_38	PEX19	PEX19	7643	0.009806725196540356	0.04279185	No	
row_39	TMEM144	TMEM144	7676	0.009699671529233456	0.04430861	No	
row_40	HPRT1	HPRT1	7706	0.009578157216310501	0.045927424	No	
row_41	HPCA	HPCA	7734	0.009477161802351475	0.04760808	No	
row_42	SLC31A2	SLC31A2	7855	0.009052940644323826	0.04482559	No	
row_43	PEX11B	PEX11B	8192	0.007930520921945572	0.031634565	No	
row_44	SAR1A	SAR1A	8704	0.006256348919123411	0.009773582	No	
row_45	ORC4L	ORC4L	8860	0.005739502143114805	0.004333637	No	
row_46	SIRT5	SIRT5	8862	0.005730972159653902	0.0060638464	No	
row_47	PSCD1	PSCD1	9279	0.004338369704782963	-0.011966992	No	
row_48	SNX11	SNX11	9283	0.0043338933028280735	-0.010763075	No	
row_49	SH3GL3	SH3GL3	9333	0.0041934773325920105	-0.011745216	No	
