NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALCAM	ALCAM	45	0.10048025846481323	0.019092597	No	
row_1	CBX1	CBX1	58	0.09797678142786026	0.039197147	No	
row_2	RAP2A	RAP2A	236	0.07503467798233032	0.04676307	No	
row_3	ZNF286A	ZNF286A	295	0.07036808878183365	0.058897976	No	
row_4	GPM6A	GPM6A	422	0.06491781026124954	0.06671008	No	
row_5	CNTN1	CNTN1	452	0.06331703811883926	0.07871114	No	
row_6	DNM3	DNM3	548	0.06001421809196472	0.08693565	No	
row_7	ACTR1A	ACTR1A	747	0.055323339998722076	0.08936422	No	
row_8	TOP2B	TOP2B	794	0.054653700441122055	0.09874475	No	
row_9	CAMSAP1L1	CAMSAP1L1	829	0.05385236069560051	0.10851626	No	
row_10	DBN1	DBN1	840	0.05368980020284653	0.119373456	No	
row_11	RAD21	RAD21	863	0.05329151079058647	0.12958667	No	
row_12	GABRA3	GABRA3	989	0.05059686675667763	0.13442497	No	
row_13	FHOD3	FHOD3	1516	0.04332461953163147	0.1190165	No	
row_14	ZNF510	ZNF510	1794	0.04052300751209259	0.114636905	No	
row_15	BCOR	BCOR	1830	0.04022214934229851	0.12148696	No	
row_16	SEZ6L	SEZ6L	2022	0.03836285322904587	0.120665014	No	
row_17	TTC3	TTC3	2176	0.037027936428785324	0.12133482	No	
row_18	HDAC2	HDAC2	2530	0.034244317561388016	0.112084374	No	
row_19	NOL4	NOL4	3041	0.03081892617046833	0.09478495	No	
row_20	LPHN3	LPHN3	3072	0.030552929267287254	0.09982897	No	
row_21	E2F3	E2F3	3108	0.030316663905978203	0.10458984	No	
row_22	HOXD3	HOXD3	3432	0.028180008754134178	0.09546033	No	
row_23	NRXN2	NRXN2	3492	0.027835963293910027	0.098578006	No	
row_24	SOX11	SOX11	3515	0.027725212275981903	0.10339896	No	
row_25	FGF9	FGF9	3578	0.027358023449778557	0.106275834	No	
row_26	SLC1A1	SLC1A1	3612	0.027156053110957146	0.11046342	No	
