NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PNPLA6	PNPLA6	63	0.09632765501737595	0.066185065	No	
row_1	PHKB	PHKB	444	0.06373514980077744	0.09427507	No	
row_2	ZNF45	ZNF45	1157	0.0479300357401371	0.09561775	No	
row_3	GRIK1	GRIK1	1270	0.04633698612451553	0.12366362	No	
row_4	UPF1	UPF1	1535	0.04311257228255272	0.14234184	No	
row_5	TJP1	TJP1	1858	0.03987925872206688	0.15600856	No	
row_6	PLCG1	PLCG1	2560	0.03405193239450455	0.14790511	No	
row_7	SOX9	SOX9	2786	0.0324585922062397	0.16074978	No	
row_8	ZFHX4	ZFHX4	3078	0.03050880692899227	0.16913252	No	
row_9	SLC20A2	SLC20A2	4204	0.02394930273294449	0.13410316	No	
row_10	BBS1	BBS1	4501	0.022554758936166763	0.13654734	No	
row_11	DENND2A	DENND2A	4698	0.02162463590502739	0.14296523	No	
row_12	POLRMT	POLRMT	5040	0.02005581371486187	0.14152813	No	
row_13	CTNND1	CTNND1	5629	0.01739354431629181	0.12671769	No	
row_14	TYK2	TYK2	6134	0.015329057350754738	0.11432458	No	
row_15	ACSL3	ACSL3	6283	0.014698578044772148	0.118001156	No	
row_16	CDH4	CDH4	6379	0.014311948791146278	0.1238601	No	
row_17	USP8	USP8	6609	0.013460605405271053	0.12288929	No	
row_18	PLCE1	PLCE1	7640	0.009814167395234108	0.08212784	No	
row_19	ACSBG1	ACSBG1	7763	0.00939107034355402	0.08320329	No	
row_20	PTPRA	PTPRA	8701	0.006258224602788687	0.04420683	No	
row_21	SPRY2	SPRY2	9196	0.004574809223413467	0.02456234	No	
row_22	STXBP3	STXBP3	10244	0.0012621603673323989	-0.023123592	No	
row_23	SALL1	SALL1	10618	1.0995977208949625E-4	-0.040355697	No	
row_24	KIAA0494	KIAA0494	10644	2.3924270863062702E-5	-0.041498788	No	
row_25	ELOVL2	ELOVL2	10941	-9.19453683309257E-4	-0.05457655	No	
row_26	SEPT11	SEPT11	11067	-0.0012918144930154085	-0.059451025	No	
row_27	C14orf159	C14orf159	11401	-0.002386248903349042	-0.07319363	No	
row_28	DTNA	DTNA	11438	-0.002515269909054041	-0.07305986	No	
row_29	GATM	GATM	11519	-0.002781111281365156	-0.0747774	No	
row_30	NCOA1	NCOA1	11530	-0.0028168815188109875	-0.07322057	No	
row_31	MEOX2	MEOX2	14875	-0.014294794760644436	-0.21816058	No	
row_32	LHFP	LHFP	14968	-0.014699246734380722	-0.21188456	No	
row_33	EYA2	EYA2	15194	-0.015618118457496166	-0.21112186	No	
row_34	ARNTL	ARNTL	16153	-0.019739756360650063	-0.24142079	No	
row_35	NPEPL1	NPEPL1	16370	-0.020698919892311096	-0.23659524	No	
row_36	ABLIM1	ABLIM1	16439	-0.021003713831305504	-0.22468232	No	
row_37	PPARGC1A	PPARGC1A	16746	-0.022525466978549957	-0.22272326	No	
row_38	RASGRP1	RASGRP1	17176	-0.024451203644275665	-0.22509106	No	
row_39	FGFR3	FGFR3	17239	-0.024831654503941536	-0.21015337	No	
row_40	MYO5C	MYO5C	17998	-0.029220599681138992	-0.22436838	No	
row_41	RBCK1	RBCK1	18696	-0.03343542292714119	-0.2327285	No	
row_42	ZHX3	ZHX3	19794	-0.04212261363863945	-0.2534202	Yes	
row_43	CST3	CST3	20462	-0.05078070983290672	-0.24794388	Yes	
row_44	SLC3A2	SLC3A2	20700	-0.055442340672016144	-0.21916677	Yes	
row_45	PAX6	PAX6	20768	-0.05672595277428627	-0.18157902	Yes	
row_46	MLC1	MLC1	20941	-0.06085887551307678	-0.14589925	Yes	
row_47	BCKDHB	BCKDHB	21194	-0.06982376426458359	-0.107500546	Yes	
row_48	SLC4A4	SLC4A4	21238	-0.07195443660020828	-0.0578735	Yes	
row_49	VAV3	VAV3	21521	-0.1037612035870552	0.003480825	Yes	
