NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	THBS1	THBS1	13	0.12342531234025955	0.09716041	Yes	
row_1	BNC2	BNC2	40	0.10223007947206497	0.17692898	Yes	
row_2	COL1A1	COL1A1	158	0.08209547400474548	0.23652585	Yes	
row_3	IL7R	IL7R	279	0.0717635527253151	0.2877997	Yes	
row_4	COL1A2	COL1A2	651	0.0573078952729702	0.31597444	Yes	
row_5	CAV1	CAV1	814	0.05417408049106598	0.35136664	Yes	
row_6	ITGB1	ITGB1	957	0.0512969084084034	0.38540807	Yes	
row_7	LOX	LOX	1391	0.0447201170027256	0.40073475	Yes	
row_8	PI3	PI3	1922	0.03928275778889656	0.40725276	Yes	
row_9	NDRG1	NDRG1	2507	0.03440465033054352	0.40740073	Yes	
row_10	CD72	CD72	2847	0.032017599791288376	0.41702846	Yes	
row_11	ACPP	ACPP	3084	0.03046233020722866	0.4302045	Yes	
row_12	TGFBI	TGFBI	4792	0.02119065634906292	0.3677672	No	
row_13	CNN2	CNN2	5091	0.019818447530269623	0.36963493	No	
row_14	SLPI	SLPI	5413	0.018330439925193787	0.3692566	No	
row_15	TNFAIP8	TNFAIP8	5465	0.0181308351457119	0.3812509	No	
row_16	GLIPR1	GLIPR1	5605	0.017491549253463745	0.38865474	No	
row_17	IL6	IL6	5609	0.01746528223156929	0.40234956	No	
row_18	CTSC	CTSC	6083	0.015556108206510544	0.39271936	No	
row_19	ARPC1B	ARPC1B	6192	0.01510878000408411	0.39967453	No	
row_20	RAB27A	RAB27A	6204	0.015039166435599327	0.41107637	No	
row_21	CDCP1	CDCP1	6238	0.014864030294120312	0.42131847	No	
row_22	P4HA2	P4HA2	7058	0.01173954363912344	0.39260727	No	
row_23	PLAUR	PLAUR	7477	0.010360135696828365	0.38141397	No	
row_24	CYP1B1	CYP1B1	7673	0.009707313030958176	0.38005304	No	
row_25	IER3	IER3	8602	0.006544340401887894	0.3421681	No	
row_26	RGS2	RGS2	9049	0.0051315766759216785	0.3255338	No	
row_27	SYNGR2	SYNGR2	9437	0.0038923469837754965	0.31065616	No	
row_28	BCL3	BCL3	9852	0.002451268257573247	0.29338396	No	
row_29	ANPEP	ANPEP	9908	0.002262322697788477	0.29262337	No	
row_30	S100A11	S100A11	10703	-1.2165666703367606E-4	0.25587004	No	
row_31	SDC1	SDC1	11233	-0.0017896844074130058	0.23273666	No	
row_32	PTGS2	PTGS2	11356	-0.0022522464860230684	0.2288586	No	
row_33	RARRES1	RARRES1	11546	-0.002873587654903531	0.22236322	No	
row_34	GPRC5A	GPRC5A	11746	-0.0035412879660725594	0.21593261	No	
row_35	RUNX1	RUNX1	12042	-0.004562439396977425	0.20585546	No	
row_36	COL15A1	COL15A1	12302	-0.005399000830948353	0.1981117	No	
row_37	PRSS23	PRSS23	12359	-0.005612736102193594	0.19995852	No	
row_38	CTSB	CTSB	12661	-0.0065390728414058685	0.19116858	No	
row_39	COL5A1	COL5A1	14074	-0.011317073367536068	0.13460153	No	
row_40	LY96	LY96	14269	-0.011990408413112164	0.13509542	No	
row_41	BACE2	BACE2	15352	-0.01618129573762417	0.09769663	No	
row_42	SPAG4	SPAG4	16140	-0.019669601693749428	0.07675189	No	
row_43	COL3A1	COL3A1	16349	-0.020616402849555016	0.08342858	No	
row_44	MMP7	MMP7	16754	-0.0225608441978693	0.08254905	No	
row_45	VDR	VDR	17575	-0.026660507544875145	0.06561018	No	
row_46	FTL	FTL	17640	-0.02708306349813938	0.0840921	No	
row_47	LUM	LUM	18137	-0.029974978417158127	0.08481549	No	
row_48	NNMT	NNMT	18514	-0.032230645418167114	0.09289478	No	
row_49	RAC2	RAC2	21019	-0.06324445456266403	0.026778895	No	
