NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DACH1	DACH1	2162	0.03714430332183838	-0.06194142	No	
row_1	HDAC2	HDAC2	2530	0.034244317561388016	-0.043574397	No	
row_2	CDKN1C	CDKN1C	3368	0.028617151081562042	-0.052837156	No	
row_3	HOXD3	HOXD3	3432	0.028180008754134178	-0.02663033	No	
row_4	TCP1	TCP1	3438	0.02815370075404644	0.0022410895	No	
row_5	SLC1A1	SLC1A1	3612	0.027156053110957146	0.022284297	No	
row_6	VIPR2	VIPR2	3738	0.02643057145178318	0.043805238	No	
row_7	PDGFRA	PDGFRA	4907	0.020675819367170334	0.010971478	No	
row_8	PAK7	PAK7	5215	0.019289810210466385	0.01666411	No	
row_9	PCDHA9	PCDHA9	6312	0.014557000249624252	-0.019153355	No	
row_10	GRID2	GRID2	6874	0.012479351833462715	-0.032289118	No	
row_11	SLC17A6	SLC17A6	7494	0.01030692458152771	-0.050362382	No	
row_12	NMU	NMU	7508	0.010243813507258892	-0.040376324	No	
row_13	KLRC4	KLRC4	7526	0.010168656706809998	-0.0306536	No	
row_14	NPPA	NPPA	8364	0.007398245856165886	-0.061851088	No	
row_15	KLRK1	KLRK1	9147	0.004759220872074366	-0.09322407	No	
row_16	CLGN	CLGN	9585	0.003347103949636221	-0.11004529	No	
row_17	SOX10	SOX10	9761	0.0027666494715958834	-0.11530709	No	
row_18	CA10	CA10	9972	0.002074282383546233	-0.12290897	No	
row_19	KLRC3	KLRC3	10008	0.001953661208972335	-0.122513756	No	
row_20	NHLH1	NHLH1	10987	-0.001073627732694149	-0.16679306	No	
row_21	IL1RAPL1	IL1RAPL1	11319	-0.0020876138005405664	-0.17999679	No	
row_22	NARF	NARF	11359	-0.002257511718198657	-0.17947312	No	
row_23	ZNF643	ZNF643	11822	-0.0037800478748977184	-0.19700705	No	
row_24	UGT8	UGT8	12182	-0.004992023576050997	-0.20850787	No	
row_25	PLCB4	PLCB4	12472	-0.005991086829453707	-0.21572721	No	
row_26	PKMYT1	PKMYT1	13029	-0.0077505894005298615	-0.23351921	No	
row_27	CENPJ	CENPJ	13355	-0.00884044636040926	-0.23946384	No	
row_28	MYB	MYB	13495	-0.009300610050559044	-0.23630048	No	
row_29	SMPD3	SMPD3	14028	-0.011106936261057854	-0.24950907	No	
row_30	ERBB3	ERBB3	14471	-0.01272802334278822	-0.25686494	No	
row_31	HRASLS	HRASLS	14793	-0.01397700048983097	-0.2573141	Yes	
row_32	SIM2	SIM2	14802	-0.014018149115145206	-0.24319433	Yes	
row_33	BCL11A	BCL11A	14866	-0.014274620451033115	-0.23136199	Yes	
row_34	PTTG1	PTTG1	15106	-0.01520678773522377	-0.22673422	Yes	
row_35	MYT1	MYT1	15328	-0.016089677810668945	-0.22035842	Yes	
row_36	GABRB3	GABRB3	15373	-0.01626892015337944	-0.20558271	Yes	
row_37	ZNF804A	ZNF804A	15432	-0.016567954793572426	-0.19114761	Yes	
row_38	EPHB1	EPHB1	15812	-0.01821281760931015	-0.18990985	Yes	
row_39	HN1	HN1	16160	-0.019789354875683784	-0.18555722	Yes	
row_40	JPH3	JPH3	17299	-0.025188878178596497	-0.21233337	Yes	
row_41	DCTN3	DCTN3	17638	-0.027053816244006157	-0.20005353	Yes	
row_42	KCNK3	KCNK3	17795	-0.02794097177684307	-0.17840995	Yes	
row_43	PFDN2	PFDN2	17830	-0.02818099595606327	-0.1508562	Yes	
row_44	MAST1	MAST1	18212	-0.03046412020921707	-0.13704665	Yes	
row_45	GPR17	GPR17	19501	-0.0394253134727478	-0.15606761	Yes	
row_46	RAB33A	RAB33A	19565	-0.039937928318977356	-0.11770621	Yes	
row_47	MTSS1	MTSS1	20289	-0.04814355820417404	-0.10149307	Yes	
row_48	RASL11B	RASL11B	20713	-0.055590592324733734	-0.063658625	Yes	
row_49	BAMBI	BAMBI	21510	-0.10117923468351364	0.0039914134	Yes	
