NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
RICHARDS_DEV_2021	3968	2907		
RICHARDS_INJ_2021	4399	3632		
WANG_MES_2017	50	50		
WANG_PN_2017	50	50		
WANG_CL_2017	50	50		
SCHMITT_TNF_2020	350	304		
SCHMITT_HMG_2020	344	276		
NEFTEL_MES2_2019	50	49		
NEFTEL_MES1_2019	50	50		
NEFTEL_AC_2019	39	39		
NEFTEL_OPC_2019	50	49		
NEFTEL_NPC1_2019	50	50		
NEFTEL_NPC2_2019	50	44		
NEFTEL_G1.S_2019	29	28		
NEFTEL_G2.M_2019	45	42		
VERHAAK_MES_2010	216	213		
VERHAAK_PN_2010	178	168		
VERHAAK_CL_2010	162	157		
VERHAAK_NEU_2010	129	127		
PHILLIPS_MES_2006	129	125		
PHILLIPS_PN_2006	236	226		
PHILLIPS_PROLIFERATIVE_2006	180	177		
FOSL1_REGULON	219	219		
VDR_REGULON	154	154		
SP100_REGULON	130	130		
ELF4_REGULON	132	132		
BNC2_REGULON	109	109		
OLIG2_REGULON	144	144		
SOX11_REGULON	127	127		
ASCL1_REGULON	98	98		
SALL2_REGULON	91	91		
POU3F3_REGULON	95	95		
