NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
NEFTEL_NPC1_2019	NEFTEL_NPC1_2019	Details ...	50	-0.60791695	-2.203602	0.0	0.0	0.0	1596	tags=28%, list=7%, signal=30%	
NEFTEL_AC_2019	NEFTEL_AC_2019	Details ...	39	-0.6190313	-2.1761847	0.0	0.0	0.0	2912	tags=41%, list=13%, signal=47%	
ASCL1_REGULON	ASCL1_REGULON	Details ...	98	-0.4683167	-1.9404763	0.0	4.1666668E-4	0.001	2765	tags=33%, list=13%, signal=37%	
SP100_REGULON	SP100_REGULON	Details ...	130	-0.4345241	-1.8772086	0.0	5.756579E-4	0.002	1806	tags=25%, list=8%, signal=27%	
NEFTEL_OPC_2019	NEFTEL_OPC_2019	Details ...	49	-0.49214387	-1.7961828	0.0018083183	0.002079226	0.01	2097	tags=31%, list=10%, signal=34%	
OLIG2_REGULON	OLIG2_REGULON	Details ...	144	-0.40399104	-1.7801429	0.0	0.0018993549	0.011	2413	tags=26%, list=11%, signal=30%	
RICHARDS_DEV_2021	RICHARDS_DEV_2021	Details ...	2907	-0.30960107	-1.7323713	0.0	0.00286547	0.019	4814	tags=29%, list=22%, signal=32%	
SALL2_REGULON	SALL2_REGULON	Details ...	91	-0.4101428	-1.6800829	0.0017953322	0.005655233	0.041	1580	tags=21%, list=7%, signal=22%	
PHILLIPS_PN_2006	PHILLIPS_PN_2006	Details ...	226	-0.32946315	-1.5353752	0.0	0.016571008	0.136	1876	tags=14%, list=9%, signal=15%	
VERHAAK_PN_2010	VERHAAK_PN_2010	Details ...	168	-0.31741506	-1.4421126	0.005076142	0.03953936	0.315	3456	tags=21%, list=16%, signal=25%	
SCHMITT_HMG_2020	SCHMITT_HMG_2020	Details ...	276	-0.24968427	-1.1926215	0.09256198	0.2458025	0.939	2255	tags=16%, list=10%, signal=17%	
ELF4_REGULON	ELF4_REGULON	Details ...	132	-0.2526686	-1.1024442	0.25357142	0.40713987	0.998	3828	tags=20%, list=18%, signal=25%	
VERHAAK_NEU_2010	VERHAAK_NEU_2010	Details ...	127	-0.25262275	-1.0977135	0.25906736	0.38658342	0.998	5507	tags=31%, list=25%, signal=42%	
VERHAAK_CL_2010	VERHAAK_CL_2010	Details ...	157	-0.24073233	-1.0741992	0.3026316	0.41749892	0.999	2702	tags=17%, list=13%, signal=19%	
SCHMITT_TNF_2020	SCHMITT_TNF_2020	Details ...	304	-0.21984534	-1.0642393	0.273021	0.4127448	0.999	3459	tags=19%, list=16%, signal=22%	
SOX11_REGULON	SOX11_REGULON	Details ...	127	-0.23992704	-1.0461549	0.35714287	0.43592647	1.0	2152	tags=17%, list=10%, signal=18%	
WANG_CL_2017	WANG_CL_2017	Details ...	50	-0.2843758	-1.0366416	0.3882784	0.4323487	1.0	1136	tags=14%, list=5%, signal=15%	
WANG_PN_2017	WANG_PN_2017	Details ...	50	-0.2717626	-1.0216365	0.4257603	0.44682175	1.0	6805	tags=38%, list=32%, signal=55%	
NEFTEL_NPC2_2019	NEFTEL_NPC2_2019	Details ...	44	-0.25949636	-0.9178193	0.6044776	0.703177	1.0	6215	tags=41%, list=29%, signal=57%	
VDR_REGULON	VDR_REGULON	Details ...	154	-0.18814127	-0.844639	0.8446281	0.8173369	1.0	5680	tags=26%, list=26%, signal=35%	
