NAME	TITLE	SCORE	
MIR1974	MIR1974	0.18689272	
PDSS2	PDSS2	0.17518227	
HIPK2	HIPK2	0.1639626	
GJB2	GJB2	0.15493949	
GFPT2	GFPT2	0.14090784	
LRRFIP1	LRRFIP1	0.13709936	
BCYRN1	BCYRN1	0.13507722	
NEDD4L	NEDD4L	0.13259865	
SLC4A7	SLC4A7	0.13209221	
BTBD3	BTBD3	0.13193111	
PI15	PI15	0.12892075	
ZNF91	ZNF91	0.12790987	
MAN2A1	MAN2A1	0.12508339	
THBS1	THBS1	0.12342531	
SEMA3E	SEMA3E	0.12000627	
SHROOM4	SHROOM4	0.119071834	
C3orf34	C3orf34	0.11888823	
ZNF462	ZNF462	0.11819798	
SAMD4B	SAMD4B	0.11815541	
SDPR	SDPR	0.11805638	
SORL1	SORL1	0.11725278	
SNORD13	SNORD13	0.1172288	
ITGA3	ITGA3	0.115667224	
POSTN	POSTN	0.115437336	
CYR61	CYR61	0.11494407	
AHNAK2	AHNAK2	0.11426878	
RCAN2	RCAN2	0.11097221	
TAOK1	TAOK1	0.11059421	
ATP13A2	ATP13A2	0.11007067	
COL6A1	COL6A1	0.10668242	
FLG	FLG	0.10646728	
NAP1L1	NAP1L1	0.10601801	
TLN1	TLN1	0.10571611	
MYST3	MYST3	0.105652325	
MAP1A	MAP1A	0.10469683	
PHF15	PHF15	0.10370803	
CEP55	CEP55	0.10341486	
EID2B	EID2B	0.10335201	
FAM122B	FAM122B	0.10298727	
ALDH1A3	ALDH1A3	0.102859475	
BNC2	BNC2	0.10223008	
ZBTB20	ZBTB20	0.10196647	
CLDN11	CLDN11	0.10189776	
TNPO1	TNPO1	0.10107495	
POLR3A	POLR3A	0.10071902	
ALCAM	ALCAM	0.10048026	
LHB	LHB	0.10037761	
CHPF2	CHPF2	0.10026111	
MYO9A	MYO9A	0.100224994	
DYNLT3	DYNLT3	0.09974978	
BMPR2	BMPR2	0.09956456	
CARD10	CARD10	0.099521615	
GNA13	GNA13	0.09948739	
LRAP	LRAP	0.0994298	
VCAN	VCAN	0.09884595	
ZNF394	ZNF394	0.09877281	
GALNT1	GALNT1	0.09849915	
ASAP2	ASAP2	0.09814773	
CBX1	CBX1	0.09797678	
SEMA4F	SEMA4F	0.09770328	
CHRNA5	CHRNA5	0.09750857	
ATP6V1C1	ATP6V1C1	0.09725883	
RAB36	RAB36	0.09706988	
PNPLA6	PNPLA6	0.096327655	
ABCB10	ABCB10	0.095992036	
